ID,mag_name,link_to_assembly,AB_batch,eha_number,GTDB_version,GTDB_release,domain,phylum,class,order,family,genus,species,fastani_ani,closest_placement_ani,closest_placement_af,completeness,contamination,size,GC,N50,coding_density,contigs,number_genes,number_unannotated_genes,DM_batch,host_species,host_order,host_class,locality,country,MAG_url,anno_url,kegg_url,annotated,taxonomy_level,assembly_type,sample_type,gbk_url,kegg_hits,Capture ID,percent_unannotated_genes,percent_unannotated_kegg,dereplicated,metagenomic source,completeness software,binning software,assembly quality,binning parameters,taxonomic identity marker, isolation_source, assembly software,Submission
EHM073322,EHA04874_bin.262.fa,EHA04874,ABB0586,EHA04874,2.3.0,,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__1XD42-69,s__1XD42-69 sp910585825,96.57,96.57,0.85,75.27,4.48,3254979,47.00%,10414,0.90,453,2511,537,DMB0173,Apodemus sylvaticus,Rodentia,Mammalia,Scotland,United Kingdom,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0586/EHA04874_bin.262.fa.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM073322_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM073322_kegg.tsv.gz,true,Species,Coassembly,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM073322.gbk.gz,1198,"SD0014801, SD0014601, SD0015101, SD0015001, SD0014501, SD0014401, SD0015401, SD0309101, SD0309201, SD0309701, SD0309501, SD0309301, SD0310101, SD0308901",21.4,52.3,DMB0173,1861841,CheckM2 v1.0.1,"MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module",Many fragments with little to no review of assembly other than reporting of standard assembly statistics,default binning parameters,GTDB-tk v2.3.0,host-associated,Megahit v1.2.9,
EHM069637,EHA04695_bin.30.fa,EHA04695,ABB0562,EHA04695,2.3.0,R214,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__14-2,s__14-2 sp000403315,96.57,96.57,0.93,52.20,0.47,1998564,49.00%,3208,0.89,668,1496,358,DMB0169,Rattus rattus,Rodentia,Mammalia,"Inglis River, Tasmania",Australia,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0562/EHA04695_bin.30.fa.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069637_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069637_kegg.tsv.gz,true,Species,Individual,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069637.gbk.gz,605,SD0455501,23.9,59.6,DMB0169,1861841,CheckM2 v1.0.1,"MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module",Many fragments with little to no review of assembly other than reporting of standard assembly statistics,default binning parameters,GTDB-tk v2.3.0,host-associated,Megahit v1.2.9,
EHM069420,EHA04684_bin.9.fa,EHA04684,ABB0562,EHA04684,2.3.0,R214,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__14-2,s__14-2 sp910575035,98.84,98.84,0.96,56.44,0.94,2190810,47.00%,2861,0.87,799,1292,368,DMB0169,Rattus rattus,Rodentia,Mammalia,"Forth, Tasmania",Australia,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0562/EHA04684_bin.9.fa.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069420_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069420_kegg.tsv.gz,true,Species,Individual,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069420.gbk.gz,451,SD0460001,28.5,65.1,DMB0169,1861841,CheckM2 v1.0.1,"MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module",Many fragments with little to no review of assembly other than reporting of standard assembly statistics,default binning parameters,GTDB-tk v2.3.0,host-associated,Megahit v1.2.9,
EHM066252,EHA04677_bin.28.fa,EHA04677,ABB0517,EHA04677,2.3.0,R214,d__Bacteria,p__Bacillota_A,c__Clostridia,o__UBA1381,f__UBA1381,g__12844,s__12844 sp021205715,97.29,97.29,0.77,67.52,1.15,1163905,48.00%,5858,0.90,213,1122,0,"DMB0167,DMB0182",Trichosurus vulpecula,Diprotodontia,Mammalia,"Green Beach, Tasmania",Australia,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0517/EHA04677_bin.28.fa.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM066252_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM066252_kegg.tsv.gz,true,Species,Individual,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM066252.gbk.gz,617,SD0468801,,45.0,"DMB0167,DMB0182",1861841,CheckM2 v1.0.1,"MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module",Many fragments with little to no review of assembly other than reporting of standard assembly statistics,default binning parameters,GTDB-tk v2.3.0,host-associated,Megahit v1.2.9,
EHM066319,EHA04675_bin.37.fa,EHA04675,ABB0517,EHA04675,2.3.0,R214,d__Bacteria,p__Bacillota_A,c__Clostridia,o__UBA1381,f__UBA1381,g__12844,s__12844 sp021205715,96.82,96.82,0.70,75.62,4.22,1666524,47.00%,3450,0.89,524,1321,287,"DMB0167,DMB0182",Trichosurus vulpecula,Diprotodontia,Mammalia,"Green Beach, Tasmania",Australia,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0517/EHA04675_bin.37.fa.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM066319_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM066319_kegg.tsv.gz,true,Species,Individual,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM066319.gbk.gz,562,SD0468701,21.7,57.5,"DMB0167,DMB0182",1861841,CheckM2 v1.0.1,"MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module",Many fragments with little to no review of assembly other than reporting of standard assembly statistics,default binning parameters,GTDB-tk v2.3.0,host-associated,Megahit v1.2.9,
EHM067965,EHA04781_bin.83.fa,EHA04781,ABB0572,EHA04781,2.3.0,R214,d__Bacteria,p__Bacillota_A,c__Clostridia,o__UBA1381,f__UBA1381,g__12844,s__12844 sp021205715,97.80,97.80,0.81,76.42,3.44,3456069,50.00%,9824,0.88,415,,,DMB0167,Trichosurus vulpecula,Diprotodontia,Mammalia,"Green Beach, Tasmania",Australia,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0572/EHA04781_bin.83.fa.gz,,,false,Species,Coassembly,Faecal,,,"SD0468701, SD0468901, SD0468801",,,,1861841,CheckM2 v1.0.1,"MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module",Many fragments with little to no review of assembly other than reporting of standard assembly statistics,default binning parameters,GTDB-tk v2.3.0,host-associated,Megahit v1.2.9,
EHM053339,EHA03578_bin.9.fa,EHA03578,ABB0423,EHA03578,2.3.0,R214,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Acetatifactor,s__Acetatifactor sp014804645,98.16,98.16,0.86,93.89,3.41,4166836,50.00%,71670,0.90,93,,,,Myodes glareolus,Rodentia,Mammalia,Catalonia,Spain,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0423/EHA03578_bin.9.fa.gz,,,false,Species,Individual,Faecal,,,SD0309401,,,,1861841,CheckM2 v1.0.1,"MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module",Many fragments with little to no review of assembly other than reporting of standard assembly statistics,default binning parameters,GTDB-tk v2.3.0,host-associated,Megahit v1.2.9,
EHM054366,EHA03631_bin.143.fa,EHA03631,ABB0427,EHA03631,2.3.0,R214,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Acetatifactor,s__Acetatifactor sp014804645,98.17,98.17,0.93,71.76,2.17,2546746,51.00%,9205,0.91,377,,,,Myodes glareolus,Rodentia,Mammalia,Scotland,United Kingdom,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0427/EHA03631_bin.143.fa.gz,,,false,Species,Coassembly,Faecal,,,"SD0013601, SD0013501, SD0013201, SD0014101, SD0309401, SD0014001, SD0013701, SD0013801, SD0013901, SD0013401",,,,1861841,CheckM2 v1.0.1,"MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module",Many fragments with little to no review of assembly other than reporting of standard assembly statistics,default binning parameters,GTDB-tk v2.3.0,host-associated,Megahit v1.2.9,
EHM032451,EHA02089_bin.8.fa,EHA02089,ABB0252,EHA02089,2.3.0,R214,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Acetatifactor,s__Acetatifactor sp021200695,99.33,99.33,0.89,99.98,1.33,3655453,43.00%,82825,0.90,150,,,"DMB0108,DMB0167,DMB0182",Trichosurus vulpecula,Diprotodontia,Mammalia,Ikara-Flinders Ranges National Park,Australia,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0252/EHA02089_bin.8.fa.gz,,,false,Species,Individual,Faecal,,,SD0283001,,,,1861841,CheckM2 v1.0.1,"MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module",Many fragments with little to no review of assembly other than reporting of standard assembly statistics,default binning parameters,GTDB-tk v2.3.0,host-associated,Megahit v1.2.9,
EHM032537,EHA02078_bin.23.fa,EHA02078,ABB0252,EHA02078,2.3.0,R214,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Acetatifactor,s__Acetatifactor sp021200695,99.35,99.35,0.85,97.83,0.07,2644473,43.00%,84411,0.91,46,2498,513,"DMB0108,DMB0114,DMB0167,DMB0182",Trichosurus vulpecula,Diprotodontia,Mammalia,Ikara-Flinders Ranges National Park,Australia,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0252/EHA02078_bin.23.fa.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM032537_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM032537_kegg.tsv.gz,true,Species,Individual,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM032537.gbk.gz,1253,SD0282501,20.5,49.8,"DMB0108,DMB0114,DMB0182",1861841,CheckM2 v1.0.1,"MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module",Many fragments with little to no review of assembly other than reporting of standard assembly statistics,default binning parameters,GTDB-tk v2.3.0,host-associated,Megahit v1.2.9,
EHM033523,EHA02151_bin.64.fa,EHA02151,ABB0261,EHA02151,2.3.0,R214,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Acetatifactor,s__Acetatifactor sp021200695,99.36,99.36,0.88,99.45,0.37,2793963,43.00%,82383,0.85,54,2653,577,"DMB0033,DMB0108,DMB0167",Trichosurus vulpecula,Diprotodontia,Mammalia,Ikara-Flinders Ranges National Park,Australia,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0261/EHA02151_bin.64.fa.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM033523_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM033523_kegg.tsv.gz,true,Species,Coassembly,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM033523.gbk.gz,1304,"SD0282601, SD0282501, SD0282801, SD0283001, SD0283201, SD0282701, SD0283101",21.7,50.8,DMB0033,1861841,CheckM2 v1.0.1,"MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module",Many fragments with little to no review of assembly other than reporting of standard assembly statistics,default binning parameters,GTDB-tk v2.3.0,host-associated,Megahit v1.2.9,
EHM065700,EHA04669_bin.18.fa,EHA04669,ABB0517,EHA04669,2.3.0,R214,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Acetatifactor,s__Acetatifactor sp021200695,99.25,99.25,0.76,62.54,1.76,1059609,46.00%,3004,0.92,357,,,"DMB0167,DMB0182",Trichosurus vulpecula,Diprotodontia,Mammalia,"Rocky Cape, Tasmania",Australia,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0517/EHA04669_bin.18.fa.gz,,,false,Species,Individual,Faecal,,,SD0466801,,,,1861841,CheckM2 v1.0.1,"MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module",Many fragments with little to no review of assembly other than reporting of standard assembly statistics,default binning parameters,GTDB-tk v2.3.0,host-associated,Megahit v1.2.9,
EHM065905,EHA04676_bin.13.fa,EHA04676,ABB0517,EHA04676,2.3.0,R214,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Acetatifactor,s__Acetatifactor sp021200695,99.09,99.09,0.73,58.75,4.14,1738344,47.00%,3145,0.90,592,,,"DMB0167,DMB0182",Trichosurus vulpecula,Diprotodontia,Mammalia,"Green Beach, Tasmania",Australia,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0517/EHA04676_bin.13.fa.gz,,,false,Species,Individual,Faecal,,,SD0468901,,,,1861841,CheckM2 v1.0.1,"MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module",Many fragments with little to no review of assembly other than reporting of standard assembly statistics,default binning parameters,GTDB-tk v2.3.0,host-associated,Megahit v1.2.9,
EHM066248,EHA04677_bin.24.fa,EHA04677,ABB0517,EHA04677,2.3.0,R214,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Acetatifactor,s__Acetatifactor sp021200695,98.15,98.15,0.87,60.64,2.09,1462839,44.00%,3477,0.93,452,,,"DMB0167,DMB0182",Trichosurus vulpecula,Diprotodontia,Mammalia,"Green Beach, Tasmania",Australia,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0517/EHA04677_bin.24.fa.gz,,,false,Species,Individual,Faecal,,,SD0468801,,,,1861841,CheckM2 v1.0.1,"MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module",Many fragments with little to no review of assembly other than reporting of standard assembly statistics,default binning parameters,GTDB-tk v2.3.0,host-associated,Megahit v1.2.9,
EHM066538,EHA04636_bin.2.fa,EHA04636,ABB0516,EHA04636,2.3.0,R214,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Acetatifactor,s__Acetatifactor sp021200695,99.27,99.27,0.84,97.79,0.89,2355214,43.00%,59163,0.91,52,,,"DMB0167,DMB0182",Trichosurus vulpecula,Diprotodontia,Mammalia,"Ringarooma, Tasmania",Australia,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0516/EHA04636_bin.2.fa.gz,,,false,Species,Individual,Faecal,,,SD0468201,,,,1861841,CheckM2 v1.0.1,"MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module",Many fragments with little to no review of assembly other than reporting of standard assembly statistics,default binning parameters,GTDB-tk v2.3.0,host-associated,Megahit v1.2.9,
