genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
GCA_030844325.1_ASM3084432v1_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCA_030844705.1_ASM3084470v1_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCA_958371025.1_SRR17798044_bin.10_MetaWRAP_v1.3_MAG_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCA_958404515.1_ERR9492504_bin.8_MetaWRAP_v1.3_MAG_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCA_958413795.1_ERR9578301_bin.6_MetaWRAP_v1.3_MAG_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCA_958416015.1_ERR10960865_bin.15_MetaWRAP_v1.3_MAG_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCA_958416885.1_ERR9354025_bin.52_MetaWRAP_v1.3_MAG_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCA_958422645.1_ERR9762696_bin.1_MetaWRAP_v1.3_MAG_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCA_958427815.1_ERR9762699_bin.64_MetaWRAP_v1.3_MAG_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCA_958432605.1_SRR22541667_bin.32_MetaWRAP_v1.3_MAG_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCA_958435695.1_SRR18940298_bin.11_MetaWRAP_v1.3_MAG_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCA_958440685.1_ERR4918969_bin.9_MetaWRAP_v1.3_MAG_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCA_958445425.1_ERR9610044_bin.23_MetaWRAP_v1.3_MAG_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCA_958447325.1_ERR4316497_bin.13_MetaWRAP_v1.3_MAG_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCA_959023275.1_DRR221348_bin.3_MetaWRAP_v1.3_MAG_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCA_959026225.1_SRR13494490_bin.7_MetaWRAP_v1.3_MAG_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCA_959026965.1_SRR20881986_bin.33_MetaWRAP_v1.3_MAG_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCA_959028115.1_ERR10149225_bin.6_MetaWRAP_v1.3_MAG_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCA_959600655.1_SRR16280015_bin.44_MetaWRAP_v1.3_MAG_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCA_959606485.1_SRR16244384_bin.5_MetaWRAP_v1.3_MAG_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCF_001405775.1_13414_6_6_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCF_001405935.1_13414_6_56_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCF_001406015.1_14207_7_71_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCF_002206325.1_ASM220632v2_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCF_003437495.1_ASM343749v1_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCF_003439415.1_ASM343941v1_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCF_003459965.1_ASM345996v1_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCF_003464475.1_ASM346447v1_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCF_003467575.1_ASM346757v1_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCF_003468605.1_ASM346860v1_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCF_003468915.1_ASM346891v1_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCF_003469235.1_ASM346923v1_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCF_003469715.1_ASM346971v1_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCF_003469775.1_ASM346977v1_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCF_003471825.1_ASM347182v1_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCF_003472045.1_ASM347204v1_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCF_003474765.1_ASM347476v1_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCF_003475725.1_ASM347572v1_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCF_012843465.1_ASM1284346v1_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCF_018288975.1_ASM1828897v1_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCF_018289335.1_ASM1828933v1_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCF_018292145.1_ASM1829214v1_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCF_018587995.1_ASM1858799v1_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCF_018784125.1_ASM1878412v1_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCF_018784195.1_ASM1878419v1_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCF_019733675.1_ASM1973367v1_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCF_020687325.1_ASM2068732v1_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCF_022835335.1_ASM2283533v1_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCF_022835355.1_ASM2283535v1_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCF_029369685.1_ASM2936968v1_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCA_015060925.1_ASM1506092v1_genomic.fna,2_0,0.050000000000000044,average,fastANI,2
