genome1,genome2,dist,similarity
GCA_958445425.1_ERR9610044_bin.23_MetaWRAP_v1.3_MAG_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.0244475,0.9755525
GCF_018288975.1_ASM1828897v1_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.027777493,0.9722225
GCF_022835355.1_ASM2283535v1_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.027866304,0.9721337
EHA03161_bin.52.fa,GCA_030839525.1_ASM3083952v1_genomic.fna,0.024525821,0.9754742
GCF_018289335.1_ASM1828933v1_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.027424872,0.9725751
GCF_022835335.1_ASM2283533v1_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.027866304,0.9721337
GCA_030842705.1_ASM3084270v1_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.023226798,0.9767732
GCF_018784195.1_ASM1878419v1_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.02867949,0.9713205
EHA05111_bin.128.fa,GCA_030839525.1_ASM3083952v1_genomic.fna,0.0244475,0.9755525
GCA_014870645.1_ASM1487064v1_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.025241077,0.9747589
GCA_008679285.1_ASM867928v1_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.027777493,0.9722225
GCA_030843875.1_ASM3084387v1_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.0135015845,0.9864984
EHA00726_bin.13.fa,GCA_030839525.1_ASM3083952v1_genomic.fna,0.026733518,0.9732665
EHA03288_bin.14.fa,GCA_030839525.1_ASM3083952v1_genomic.fna,0.025976717,0.9740233
GCF_003475725.1_ASM347572v1_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.023829877,0.9761701
EHA02500_bin.116.fa,GCA_030839525.1_ASM3083952v1_genomic.fna,0.023226798,0.9767732
GCA_958447325.1_ERR4316497_bin.13_MetaWRAP_v1.3_MAG_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.017771602,0.9822284
GCA_022774455.1_ASM2277445v1_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.024683118,0.9753169
EHA00928_bin.90.fa,GCA_030839525.1_ASM3083952v1_genomic.fna,0.023376226,0.9766238
GCA_958427815.1_ERR9762699_bin.64_MetaWRAP_v1.3_MAG_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.0244475,0.9755525
GCF_003459965.1_ASM345996v1_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.018191695,0.9818083
GCA_958435695.1_SRR18940298_bin.11_MetaWRAP_v1.3_MAG_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.025893986,0.974106
EHA01202_bin.66.fa,GCA_030839525.1_ASM3083952v1_genomic.fna,0.02115482,0.9788452
GCA_958422645.1_ERR9762696_bin.1_MetaWRAP_v1.3_MAG_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.023677707,0.9763223
EHA01634_bin.14.fa,GCA_030839525.1_ASM3083952v1_genomic.fna,0.025893986,0.974106
GCF_002206325.1_ASM220632v2_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.025241077,0.9747589
GCF_003468915.1_ASM346891v1_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.023753703,0.9762463
GCF_018784125.1_ASM1878412v1_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.026563525,0.9734365
GCF_018587995.1_ASM1858799v1_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.025321782,0.9746782
GCF_001405935.1_13414_6_56_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.021292329,0.9787077
GCA_015060925.1_ASM1506092v1_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.23010999,0.76989
GCF_003474765.1_ASM347476v1_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.015347004,0.984653
EHA05078_bin.42.fa,GCA_030839525.1_ASM3083952v1_genomic.fna,0.020279706,0.9797203
GCA_959606485.1_SRR16244384_bin.5_MetaWRAP_v1.3_MAG_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.025241077,0.9747589
GCF_012843465.1_ASM1284346v1_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.027337492,0.9726625
GCF_020687325.1_ASM2068732v1_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.017068684,0.9829313
GCF_003472045.1_ASM347204v1_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.02622658,0.9737734
GCF_003464475.1_ASM346447v1_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.025976717,0.9740233
GCF_029369685.1_ASM2936968v1_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.020213723,0.9797863
GCA_008679655.1_ASM867965v1_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.018557906,0.9814421
GCA_003464145.1_ASM346414v1_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.02904892,0.9709511
EHA04696_bin.132.fa,GCA_030839525.1_ASM3083952v1_genomic.fna,0.019886196,0.9801138
GCF_003469775.1_ASM346977v1_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.026478827,0.9735212
GCF_018292145.1_ASM1829214v1_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.026563525,0.9734365
EHA03390_bin.20.fa,GCA_030839525.1_ASM3083952v1_genomic.fna,0.022710681,0.9772893
GCF_003469715.1_ASM346971v1_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.028496683,0.9715033
GCA_958416885.1_ERR9354025_bin.52_MetaWRAP_v1.3_MAG_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.012776673,0.9872233
GCA_022771305.1_ASM2277130v1_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.026478827,0.9735212
EHA00539_bin.6.fa,GCA_030839525.1_ASM3083952v1_genomic.fna,0.02390629,0.9760937
GCA_030844705.1_ASM3084470v1_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.026563525,0.9734365
GCA_958416015.1_ERR10960865_bin.15_MetaWRAP_v1.3_MAG_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.018070877,0.9819291
GCA_022784765.1_ASM2278476v1_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.014559209,0.9854408
GCA_958371025.1_SRR17798044_bin.10_MetaWRAP_v1.3_MAG_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.024841309,0.9751587
EHA03306_bin.55.fa,GCA_030839525.1_ASM3083952v1_genomic.fna,0.022930622,0.9770694
GCA_030844325.1_ASM3084432v1_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.023451328,0.9765487
GCA_030842445.1_ASM3084244v1_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.024920821,0.9750792
EHA04588_bin.13.fa,GCA_030839525.1_ASM3083952v1_genomic.fna,0.019435227,0.9805648
GCA_958413795.1_ERR9578301_bin.6_MetaWRAP_v1.3_MAG_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.017242372,0.9827576
EHA03349_bin.40.fa,GCA_030839525.1_ASM3083952v1_genomic.fna,0.021361291,0.9786387
GCA_008680675.1_ASM868067v1_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.0143536925,0.9856463
GCA_030839725.1_ASM3083972v1_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.026733518,0.9732665
EHA01845_bin.103.fa,GCA_030839525.1_ASM3083952v1_genomic.fna,0.024920821,0.9750792
GCA_009774835.1_ASM977483v1_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.021223426,0.9787766
GCA_020809955.1_ASM2080995v1_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.023829877,0.9761701
GCF_003468605.1_ASM346860v1_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.026059687,0.9739403
GCF_019733675.1_ASM1973367v1_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.025241077,0.9747589
EHA01958_bin.190.fa,GCA_030839525.1_ASM3083952v1_genomic.fna,0.023982882,0.9760171
GCA_958440685.1_ERR4918969_bin.9_MetaWRAP_v1.3_MAG_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.023451328,0.9765487
GCA_959026225.1_SRR13494490_bin.7_MetaWRAP_v1.3_MAG_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.013948619,0.9860514
EHA01281_bin.18.fa,GCA_030839525.1_ASM3083952v1_genomic.fna,0.024291694,0.9757083
GCA_030841945.1_ASM3084194v1_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.024841309,0.9751587
GCF_003471825.1_ASM347182v1_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.028496683,0.9715033
GCA_958432605.1_SRR22541667_bin.32_MetaWRAP_v1.3_MAG_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.025976717,0.9740233
EHA03351_bin.43.fa,GCA_030839525.1_ASM3083952v1_genomic.fna,0.025000513,0.9749995
GCF_003469235.1_ASM346923v1_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.023982882,0.9760171
GCA_030839525.1_ASM3083952v1_genomic.fna,EHA04680_bin.8.fa,0.022420406,0.9775796
EHA04680_bin.8.fa,EHA04680_bin.8.fa,0.0,1.0
EHA04575_bin.10.fa,EHA04680_bin.8.fa,0.024762094,0.9752379
GCA_958404515.1_ERR9492504_bin.8_MetaWRAP_v1.3_MAG_genomic.fna,EHA04680_bin.8.fa,0.04171157,0.95828843
EHA00535_bin.6.fa,EHA04680_bin.8.fa,0.0287714,0.9712286
EHA00531_bin.1.fa,EHA04680_bin.8.fa,0.02285707,0.97714293
GCF_003439415.1_ASM343941v1_genomic.fna,EHA04680_bin.8.fa,0.02622658,0.9737734
EHA03376_bin.12.fa,EHA04680_bin.8.fa,0.028496683,0.9715033
GCA_959028115.1_ERR10149225_bin.6_MetaWRAP_v1.3_MAG_genomic.fna,EHA04680_bin.8.fa,0.021499872,0.9785001
GCA_959026965.1_SRR20881986_bin.33_MetaWRAP_v1.3_MAG_genomic.fna,EHA04680_bin.8.fa,0.024920821,0.9750792
GCA_025757725.1_ASM2575772v1_genomic.fna,EHA04680_bin.8.fa,0.024525821,0.9754742
GCF_003437495.1_ASM343749v1_genomic.fna,EHA04680_bin.8.fa,0.026904702,0.9730953
GCF_001405775.1_13414_6_6_genomic.fna,EHA04680_bin.8.fa,0.025893986,0.974106
GCF_003467575.1_ASM346757v1_genomic.fna,EHA04680_bin.8.fa,0.024683118,0.9753169
EHA01439_bin.44.fa,EHA04680_bin.8.fa,0.026563525,0.9734365
GCA_959023275.1_DRR221348_bin.3_MetaWRAP_v1.3_MAG_genomic.fna,EHA04680_bin.8.fa,0.02184987,0.9781501
GCA_022776965.1_ASM2277696v1_genomic.fna,EHA04680_bin.8.fa,0.021292329,0.9787077
GCA_959600655.1_SRR16280015_bin.44_MetaWRAP_v1.3_MAG_genomic.fna,EHA04680_bin.8.fa,0.023226798,0.9767732
GCF_001406015.1_14207_7_71_genomic.fna,EHA04680_bin.8.fa,0.01843518,0.9815648
GCA_958445425.1_ERR9610044_bin.23_MetaWRAP_v1.3_MAG_genomic.fna,EHA04680_bin.8.fa,0.025811493,0.9741885
GCF_018288975.1_ASM1828897v1_genomic.fna,EHA04680_bin.8.fa,0.027163506,0.9728365
GCF_022835355.1_ASM2283535v1_genomic.fna,EHA04680_bin.8.fa,0.027337492,0.9726625
EHA03161_bin.52.fa,EHA04680_bin.8.fa,0.024525821,0.9754742
GCF_018289335.1_ASM1828933v1_genomic.fna,EHA04680_bin.8.fa,0.025811493,0.9741885
GCF_022835335.1_ASM2283533v1_genomic.fna,EHA04680_bin.8.fa,0.027337492,0.9726625
GCA_030842705.1_ASM3084270v1_genomic.fna,EHA04680_bin.8.fa,0.025000513,0.9749995
GCF_018784195.1_ASM1878419v1_genomic.fna,EHA04680_bin.8.fa,0.02725041,0.9727496
EHA05111_bin.128.fa,EHA04680_bin.8.fa,0.024762094,0.9752379
GCA_014870645.1_ASM1487064v1_genomic.fna,EHA04680_bin.8.fa,0.02390629,0.9760937
GCA_008679285.1_ASM867928v1_genomic.fna,EHA04680_bin.8.fa,0.026563525,0.9734365
GCA_030843875.1_ASM3084387v1_genomic.fna,EHA04680_bin.8.fa,0.023226798,0.9767732
EHA00726_bin.13.fa,EHA04680_bin.8.fa,0.025565505,0.9744345
EHA03288_bin.14.fa,EHA04680_bin.8.fa,0.025565505,0.9744345
GCF_003475725.1_ASM347572v1_genomic.fna,EHA04680_bin.8.fa,0.023829877,0.9761701
EHA02500_bin.116.fa,EHA04680_bin.8.fa,0.025080502,0.9749195
GCA_958447325.1_ERR4316497_bin.13_MetaWRAP_v1.3_MAG_genomic.fna,EHA04680_bin.8.fa,0.022637784,0.9773622
GCA_022774455.1_ASM2277445v1_genomic.fna,EHA04680_bin.8.fa,0.024214208,0.9757858
EHA00928_bin.90.fa,EHA04680_bin.8.fa,0.02572918,0.9742708
GCA_958427815.1_ERR9762699_bin.64_MetaWRAP_v1.3_MAG_genomic.fna,EHA04680_bin.8.fa,0.024841309,0.9751587
GCF_003459965.1_ASM345996v1_genomic.fna,EHA04680_bin.8.fa,0.022062302,0.9779377
GCA_958435695.1_SRR18940298_bin.11_MetaWRAP_v1.3_MAG_genomic.fna,EHA04680_bin.8.fa,0.025000513,0.9749995
EHA01202_bin.66.fa,EHA04680_bin.8.fa,0.024920821,0.9750792
GCA_958422645.1_ERR9762696_bin.1_MetaWRAP_v1.3_MAG_genomic.fna,EHA04680_bin.8.fa,0.025565505,0.9744345
EHA01634_bin.14.fa,EHA04680_bin.8.fa,0.02622658,0.9737734
GCF_002206325.1_ASM220632v2_genomic.fna,EHA04680_bin.8.fa,0.023982882,0.9760171
GCF_003468915.1_ASM346891v1_genomic.fna,EHA04680_bin.8.fa,0.02460432,0.9753957
GCF_018784125.1_ASM1878412v1_genomic.fna,EHA04680_bin.8.fa,0.02516067,0.9748393
GCF_018587995.1_ASM1858799v1_genomic.fna,EHA04680_bin.8.fa,0.02460432,0.9753957
GCF_001405935.1_13414_6_56_genomic.fna,EHA04680_bin.8.fa,0.024214208,0.9757858
GCA_015060925.1_ASM1506092v1_genomic.fna,EHA04680_bin.8.fa,0.243761,0.756239
GCF_003474765.1_ASM347476v1_genomic.fna,EHA04680_bin.8.fa,0.020814478,0.9791855
EHA05078_bin.42.fa,EHA04680_bin.8.fa,0.0032274127,0.9967726
GCA_959606485.1_SRR16244384_bin.5_MetaWRAP_v1.3_MAG_genomic.fna,EHA04680_bin.8.fa,0.024841309,0.9751587
GCF_012843465.1_ASM1284346v1_genomic.fna,EHA04680_bin.8.fa,0.025811493,0.9741885
GCF_020687325.1_ASM2068732v1_genomic.fna,EHA04680_bin.8.fa,0.021779478,0.9782205
GCF_003472045.1_ASM347204v1_genomic.fna,EHA04680_bin.8.fa,0.026059687,0.9739403
GCF_003464475.1_ASM346447v1_genomic.fna,EHA04680_bin.8.fa,0.02622658,0.9737734
GCF_029369685.1_ASM2936968v1_genomic.fna,EHA04680_bin.8.fa,0.023226798,0.9767732
GCA_008679655.1_ASM867965v1_genomic.fna,EHA04680_bin.8.fa,0.02390629,0.9760937
GCA_003464145.1_ASM346414v1_genomic.fna,EHA04680_bin.8.fa,0.026990712,0.9730093
EHA04696_bin.132.fa,EHA04680_bin.8.fa,0.0032563806,0.9967436
GCF_003469775.1_ASM346977v1_genomic.fna,EHA04680_bin.8.fa,0.027777493,0.9722225
GCF_018292145.1_ASM1829214v1_genomic.fna,EHA04680_bin.8.fa,0.02572918,0.9742708
EHA03390_bin.20.fa,EHA04680_bin.8.fa,0.014559209,0.9854408
GCF_003469715.1_ASM346971v1_genomic.fna,EHA04680_bin.8.fa,0.025893986,0.974106
GCA_958416885.1_ERR9354025_bin.52_MetaWRAP_v1.3_MAG_genomic.fna,EHA04680_bin.8.fa,0.021499872,0.9785001
GCA_022771305.1_ASM2277130v1_genomic.fna,EHA04680_bin.8.fa,0.025811493,0.9741885
EHA00539_bin.6.fa,EHA04680_bin.8.fa,0.024841309,0.9751587
GCA_030844705.1_ASM3084470v1_genomic.fna,EHA04680_bin.8.fa,0.026310384,0.9736896
GCA_958416015.1_ERR10960865_bin.15_MetaWRAP_v1.3_MAG_genomic.fna,EHA04680_bin.8.fa,0.025484025,0.974516
GCA_022784765.1_ASM2278476v1_genomic.fna,EHA04680_bin.8.fa,0.021292329,0.9787077
GCA_958371025.1_SRR17798044_bin.10_MetaWRAP_v1.3_MAG_genomic.fna,EHA04680_bin.8.fa,0.02352649,0.9764735
EHA03306_bin.55.fa,EHA04680_bin.8.fa,0.024291694,0.9757083
GCA_030844325.1_ASM3084432v1_genomic.fna,EHA04680_bin.8.fa,0.024920821,0.9750792
GCA_030842445.1_ASM3084244v1_genomic.fna,EHA04680_bin.8.fa,0.024762094,0.9752379
EHA04588_bin.13.fa,EHA04680_bin.8.fa,0.02352649,0.9764735
GCA_958413795.1_ERR9578301_bin.6_MetaWRAP_v1.3_MAG_genomic.fna,EHA04680_bin.8.fa,0.022062302,0.9779377
EHA03349_bin.40.fa,EHA04680_bin.8.fa,0.024920821,0.9750792
GCA_008680675.1_ASM868067v1_genomic.fna,EHA04680_bin.8.fa,0.02088219,0.9791178
GCA_030839725.1_ASM3083972v1_genomic.fna,EHA04680_bin.8.fa,0.027600586,0.9723994
EHA01845_bin.103.fa,EHA04680_bin.8.fa,0.025402784,0.9745972
GCA_009774835.1_ASM977483v1_genomic.fna,EHA04680_bin.8.fa,0.01666832,0.9833317
GCA_020809955.1_ASM2080995v1_genomic.fna,EHA04680_bin.8.fa,0.024214208,0.9757858
GCF_003468605.1_ASM346860v1_genomic.fna,EHA04680_bin.8.fa,0.025647223,0.9743528
GCF_019733675.1_ASM1973367v1_genomic.fna,EHA04680_bin.8.fa,0.02725041,0.9727496
EHA01958_bin.190.fa,EHA04680_bin.8.fa,0.02390629,0.9760937
GCA_958440685.1_ERR4918969_bin.9_MetaWRAP_v1.3_MAG_genomic.fna,EHA04680_bin.8.fa,0.023376226,0.9766238
GCA_959026225.1_SRR13494490_bin.7_MetaWRAP_v1.3_MAG_genomic.fna,EHA04680_bin.8.fa,0.020345926,0.9796541
EHA01281_bin.18.fa,EHA04680_bin.8.fa,0.024920821,0.9750792
GCA_030841945.1_ASM3084194v1_genomic.fna,EHA04680_bin.8.fa,0.025241077,0.9747589
GCF_003471825.1_ASM347182v1_genomic.fna,EHA04680_bin.8.fa,0.02725041,0.9727496
GCA_958432605.1_SRR22541667_bin.32_MetaWRAP_v1.3_MAG_genomic.fna,EHA04680_bin.8.fa,0.0244475,0.9755525
EHA03351_bin.43.fa,EHA04680_bin.8.fa,0.024841309,0.9751587
GCF_003469235.1_ASM346923v1_genomic.fna,EHA04680_bin.8.fa,0.024762094,0.9752379
GCA_030839525.1_ASM3083952v1_genomic.fna,EHA04575_bin.10.fa,0.023829877,0.9761701
EHA04680_bin.8.fa,EHA04575_bin.10.fa,0.024762094,0.9752379
EHA04575_bin.10.fa,EHA04575_bin.10.fa,0.0,1.0
GCA_958404515.1_ERR9492504_bin.8_MetaWRAP_v1.3_MAG_genomic.fna,EHA04575_bin.10.fa,0.037938178,0.9620618
EHA00535_bin.6.fa,EHA04575_bin.10.fa,0.028587997,0.971412
EHA00531_bin.1.fa,EHA04575_bin.10.fa,0.023829877,0.9761701
GCF_003439415.1_ASM343941v1_genomic.fna,EHA04575_bin.10.fa,0.008422613,0.9915774
EHA03376_bin.12.fa,EHA04575_bin.10.fa,0.022637784,0.9773622
GCA_959028115.1_ERR10149225_bin.6_MetaWRAP_v1.3_MAG_genomic.fna,EHA04575_bin.10.fa,0.021292329,0.9787077
GCA_959026965.1_SRR20881986_bin.33_MetaWRAP_v1.3_MAG_genomic.fna,EHA04575_bin.10.fa,0.014049172,0.9859508
GCA_025757725.1_ASM2575772v1_genomic.fna,EHA04575_bin.10.fa,0.01345253,0.98654747
GCF_003437495.1_ASM343749v1_genomic.fna,EHA04575_bin.10.fa,0.008460999,0.991539
GCF_001405775.1_13414_6_6_genomic.fna,EHA04575_bin.10.fa,0.015187204,0.9848128
GCF_003467575.1_ASM346757v1_genomic.fna,EHA04575_bin.10.fa,0.017476082,0.9825239
EHA01439_bin.44.fa,EHA04575_bin.10.fa,0.017771602,0.9822284
GCA_959023275.1_DRR221348_bin.3_MetaWRAP_v1.3_MAG_genomic.fna,EHA04575_bin.10.fa,0.022420406,0.9775796
GCA_022776965.1_ASM2277696v1_genomic.fna,EHA04575_bin.10.fa,0.021292329,0.9787077
GCA_959600655.1_SRR16280015_bin.44_MetaWRAP_v1.3_MAG_genomic.fna,EHA04575_bin.10.fa,0.0139988065,0.9860012
GCF_001406015.1_14207_7_71_genomic.fna,EHA04575_bin.10.fa,0.025811493,0.9741885
GCA_958445425.1_ERR9610044_bin.23_MetaWRAP_v1.3_MAG_genomic.fna,EHA04575_bin.10.fa,0.014818728,0.9851813
GCF_018288975.1_ASM1828897v1_genomic.fna,EHA04575_bin.10.fa,0.01655519,0.9834448
GCF_022835355.1_ASM2283535v1_genomic.fna,EHA04575_bin.10.fa,0.008927941,0.99107206
EHA03161_bin.52.fa,EHA04575_bin.10.fa,0.0133059025,0.9866941
GCF_018289335.1_ASM1828933v1_genomic.fna,EHA04575_bin.10.fa,0.016781986,0.983218
GCF_022835335.1_ASM2283533v1_genomic.fna,EHA04575_bin.10.fa,0.008888602,0.9911114
GCA_030842705.1_ASM3084270v1_genomic.fna,EHA04575_bin.10.fa,0.013063788,0.9869362
GCF_018784195.1_ASM1878419v1_genomic.fna,EHA04575_bin.10.fa,0.009086072,0.9909139
EHA05111_bin.128.fa,EHA04575_bin.10.fa,0.01360023,0.98639977
GCA_014870645.1_ASM1487064v1_genomic.fna,EHA04575_bin.10.fa,0.013898492,0.9861015
GCA_008679285.1_ASM867928v1_genomic.fna,EHA04575_bin.10.fa,0.015833497,0.9841665
GCA_030843875.1_ASM3084387v1_genomic.fna,EHA04575_bin.10.fa,0.023152411,0.9768476
EHA00726_bin.13.fa,EHA04575_bin.10.fa,0.0066984296,0.9933016
EHA03288_bin.14.fa,EHA04575_bin.10.fa,0.005476892,0.9945231
GCF_003475725.1_ASM347572v1_genomic.fna,EHA04575_bin.10.fa,0.017242372,0.9827576
EHA02500_bin.116.fa,EHA04575_bin.10.fa,0.026563525,0.9734365
GCA_958447325.1_ERR4316497_bin.13_MetaWRAP_v1.3_MAG_genomic.fna,EHA04575_bin.10.fa,0.019691885,0.9803081
GCA_022774455.1_ASM2277445v1_genomic.fna,EHA04575_bin.10.fa,0.0060775876,0.9939224
EHA00928_bin.90.fa,EHA04575_bin.10.fa,0.026059687,0.9739403
GCA_958427815.1_ERR9762699_bin.64_MetaWRAP_v1.3_MAG_genomic.fna,EHA04575_bin.10.fa,0.015187204,0.9848128
GCF_003459965.1_ASM345996v1_genomic.fna,EHA04575_bin.10.fa,0.02285707,0.97714293
GCA_958435695.1_SRR18940298_bin.11_MetaWRAP_v1.3_MAG_genomic.fna,EHA04575_bin.10.fa,0.0061455965,0.9938544
EHA01202_bin.66.fa,EHA04575_bin.10.fa,0.024214208,0.9757858
GCA_958422645.1_ERR9762696_bin.1_MetaWRAP_v1.3_MAG_genomic.fna,EHA04575_bin.10.fa,0.015561879,0.9844381
EHA01634_bin.14.fa,EHA04575_bin.10.fa,0.015240371,0.9847596
GCF_002206325.1_ASM220632v2_genomic.fna,EHA04575_bin.10.fa,0.014251828,0.9857482
GCF_003468915.1_ASM346891v1_genomic.fna,EHA04575_bin.10.fa,0.017359018,0.982641
GCF_018784125.1_ASM1878412v1_genomic.fna,EHA04575_bin.10.fa,0.018191695,0.9818083
GCF_018587995.1_ASM1858799v1_genomic.fna,EHA04575_bin.10.fa,0.016839087,0.9831609
GCF_001405935.1_13414_6_56_genomic.fna,EHA04575_bin.10.fa,0.020747006,0.979253
GCA_015060925.1_ASM1506092v1_genomic.fna,EHA04575_bin.10.fa,0.243761,0.756239
GCF_003474765.1_ASM347476v1_genomic.fna,EHA04575_bin.10.fa,0.021779478,0.9782205
EHA05078_bin.42.fa,EHA04575_bin.10.fa,0.022783816,0.9772162
GCA_959606485.1_SRR16244384_bin.5_MetaWRAP_v1.3_MAG_genomic.fna,EHA04575_bin.10.fa,0.014766514,0.9852335
GCF_012843465.1_ASM1284346v1_genomic.fna,EHA04575_bin.10.fa,0.01594299,0.984057
GCF_020687325.1_ASM2068732v1_genomic.fna,EHA04575_bin.10.fa,0.02460432,0.9753957
GCF_003472045.1_ASM347204v1_genomic.fna,EHA04575_bin.10.fa,0.014251828,0.9857482
GCF_003464475.1_ASM346447v1_genomic.fna,EHA04575_bin.10.fa,0.009731591,0.9902684
