genome,completeness,contamination,score,size,N50,contig_count,length
F_bin_268216.fa,99.92,1.97,95.98,1495100,23642,116,1495100.0
F_bin_285008.fa,98.79,1.58,95.63,1844912,12332,267,1844912.0
F_bin_212208.fa,99.11,1.74,95.63,3093374,17290,366,3093374.0
F_bin_354.fa,98.22,1.32,95.58,2698805,32803,134,2698805.0
F_bin_116858.fa,99.93,2.2,95.53,2011913,42426,88,2011913.0
F_bin_233818.fa,96.39,0.46,95.47,1926074,48402,85,1926074.0
F_bin_293276.fa,97.39,0.97,95.45,2790589,50016,141,2790589.0
F_bin_249816.fa,97.46,1.04,95.38,1674667,23448,122,1674667.0
F_bin_191085.fa,98.89,1.95,94.99,2867467,29214,215,2867467.0
F_bin_297164.fa,95.23,0.29,94.65,2554096,34323,145,2554096.0
F_bin_221194.fa,95.91,0.73,94.45,2257513,65574,62,2257513.0
F_bin_297819.fa,95.91,0.92,94.07,2388362,24930,198,2388362.0
F_bin_21719.fa,94.96,0.56,93.84,1797230,15924,191,1797230.0
F_bin_187697.fa,93.74,0.07,93.6,1959600,11959,243,1959600.0
F_bin_287985.fa,98.5,2.48,93.54,2908286,78936,276,2908286.0
F_bin_267805.fa,97.61,2.11,93.39,1943972,14576,228,1943972.0
F_bin_222559.fa,96.49,1.61,93.27,2749054,21415,214,2749054.0
F_bin_116086.fa,93.39,0.1,93.19,2669259,20513,210,2669259.0
F_bin_263152.fa,94.37,0.68,93.01,2380275,10468,316,2380275.0
F_bin_249838.fa,94.51,0.82,92.87,1521309,11288,190,1521309.0
F_bin_10249.fa,96.09,1.66,92.77,1904873,10246,264,1904873.0
F_bin_605.fa,99.94,3.84,92.26,1919284,53502,74,1919284.0
F_bin_226516.fa,96.6,2.17,92.26,2434648,9212,389,2434648.0
F_bin_8527.fa,92.66,0.25,92.16,1535338,29843,81,1535338.0
F_bin_59997.fa,98.57,3.43,91.71,1543145,66418,58,1543145.0
F_bin_124069.fa,91.45,0.01,91.43,1749129,38688,88,1749129.0
F_bin_145177.fa,97.46,3.08,91.3,2730439,19711,244,2730439.0
F_bin_135175.fa,95.0,1.89,91.22,1668837,91749,47,1668837.0
F_bin_130387.fa,97.06,2.92,91.22,1994050,64348,66,1994050.0
F_bin_115754.fa,99.1,4.11,90.88,2062163,19714,190,2062163.0
F_bin_207931.fa,94.44,1.93,90.58,3136174,26047,242,3136174.0
F_bin_224835.fa,93.07,1.28,90.51,1586097,78378,38,1586097.0
F_bin_117901.fa,92.04,0.98,90.08,1539545,25136,99,1539545.0
F_bin_241034.fa,92.62,1.31,90.0,3584351,10595,541,3584351.0
F_bin_236665.fa,92.35,1.27,89.80999999999999,2257904,20239,203,2257904.0
F_bin_14801.fa,97.38,3.85,89.67999999999999,2253352,13875,244,2253352.0
F_bin_886.fa,89.63,0.0,89.63,752188,89106,15,752188.0
F_bin_152197.fa,92.97,1.88,89.21,2458814,32020,152,2458814.0
F_bin_212632.fa,89.16,0.14,88.88,1498823,34334,72,1498823.0
F_bin_208006.fa,98.05,4.74,88.57,1950901,19881,177,1950901.0
F_bin_215398.fa,92.77,2.28,88.21,2479376,14011,269,2479376.0
F_bin_187888.fa,92.67,2.34,87.99000000000001,1875636,29776,104,1875636.0
F_bin_288044.fa,98.37,5.2,87.97,3259619,48665,256,3259619.0
F_bin_253048.fa,88.35,0.23,87.89,2587295,20311,223,2587295.0
F_bin_17558.fa,91.42,1.99,87.44,2480705,9307,351,2480705.0
F_bin_273937.fa,93.89,3.45,86.99,1864859,7407,344,1864859.0
F_bin_2267.fa,90.53,1.78,86.97,1859160,6469,366,1859160.0
F_bin_169882.fa,90.72,1.92,86.88,1480312,32152,103,1480312.0
F_bin_299554.fa,87.57,0.38,86.80999999999999,2006173,36460,103,2006173.0
F_bin_219469.fa,88.24,1.16,85.92,3715104,8470,594,3715104.0
F_bin_111505.fa,91.7,2.97,85.76,2156181,13426,251,2156181.0
F_bin_164995.fa,87.31,0.85,85.61,2443179,24596,191,2443179.0
F_bin_195044.fa,88.69,1.63,85.42999999999999,2565510,21545,234,2565510.0
F_bin_278871.fa,99.99,7.34,85.31,2209903,115000,51,2209903.0
F_bin_214435.fa,91.26,3.08,85.10000000000001,2403735,18790,227,2403735.0
F_bin_6904.fa,89.9,2.46,84.98,2229404,22819,186,2229404.0
F_bin_158995.fa,89.39,2.27,84.85,3656815,6177,768,3656815.0
F_bin_191915.fa,89.71,2.67,84.36999999999999,1782157,8446,302,1782157.0
F_bin_224122.fa,89.23,2.52,84.19,2150563,14780,262,2150563.0
F_bin_268207.fa,85.58,0.76,84.06,2664227,48466,91,2664227.0
F_bin_220008.fa,85.25,0.68,83.89,2396347,23465,197,2396347.0
F_bin_174518.fa,86.18,1.17,83.84,2725379,15367,293,2725379.0
F_bin_120655.fa,93.0,4.67,83.66,2580442,30316,171,2580442.0
F_bin_415.fa,83.62,0.02,83.58,2470132,58300,67,2470132.0
F_bin_158131.fa,87.68,2.49,82.7,2510167,23689,208,2510167.0
F_bin_281344.fa,83.61,0.55,82.51,2368908,45684,99,2368908.0
F_bin_254998.fa,93.04,5.39,82.26,1575243,5429,348,1575243.0
F_bin_233803.fa,88.13,3.0,82.13,1583050,4520,411,1583050.0
F_bin_208724.fa,88.85,3.58,81.69,1849547,11237,270,1849547.0
F_bin_8868.fa,89.49,4.13,81.22999999999999,1638198,6626,323,1638198.0
F_bin_132068.fa,85.63,2.29,81.05,1977303,9093,321,1977303.0
F_bin_182257.fa,85.89,2.44,81.01,2761605,15257,303,2761605.0
F_bin_1530.fa,81.77,0.43,80.91,2042187,19595,195,2042187.0
F_bin_146338.fa,87.17,3.14,80.89,1413192,6839,266,1413192.0
F_bin_299478.fa,88.8,4.17,80.46,2048032,11104,256,2048032.0
F_bin_4161.fa,85.49,2.69,80.11,2128496,14937,234,2128496.0
F_bin_145633.fa,81.66,0.82,80.02,1983083,12346,267,1983083.0
F_bin_212578.fa,84.62,2.61,79.4,3173217,5617,722,3173217.0
F_bin_166896.fa,91.09,5.86,79.37,2995099,22453,250,2995099.0
F_bin_11658.fa,84.16,2.63,78.89999999999999,1862516,15570,197,1862516.0
F_bin_165154.fa,89.34,5.58,78.18,1680978,7574,309,1680978.0
F_bin_111964.fa,82.34,2.26,77.82000000000001,2369392,15075,256,2369392.0
F_bin_186448.fa,87.89,5.1,77.69,1719729,12993,196,1719729.0
F_bin_131681.fa,83.0,2.7,77.6,2120993,4063,583,2120993.0
F_bin_288251.fa,77.81,0.34,77.13,2144739,5432,507,2144739.0
F_bin_468.fa,80.92,1.93,77.06,1569993,9204,240,1569993.0
F_bin_188779.fa,91.5,7.31,76.88,1735581,5658,391,1735581.0
F_bin_314711.fa,78.78,0.98,76.82000000000001,1110431,6174,241,1110431.0
F_bin_137434.fa,81.66,2.56,76.53999999999999,2303350,8326,377,2303350.0
F_bin_123998.fa,77.85,0.82,76.21,2664880,30634,181,2664880.0
F_bin_141901.fa,91.96,8.28,75.39999999999999,2720116,10035,390,2720116.0
F_bin_211393.fa,83.17,4.08,75.01,1398949,9029,205,1398949.0
F_bin_123672.fa,79.13,2.16,74.81,1934057,5323,446,1934057.0
F_bin_241082.fa,79.1,2.45,74.19999999999999,1457891,4173,392,1457891.0
F_bin_122296.fa,93.11,9.8,73.50999999999999,2971253,5231,702,2971253.0
F_bin_261994.fa,78.2,2.61,72.98,2011589,15690,224,2011589.0
F_bin_257015.fa,74.76,1.18,72.4,1274342,6266,278,1274342.0
F_bin_2067.fa,76.1,2.15,71.8,2118964,7152,382,2118964.0
F_bin_156235.fa,80.06,4.37,71.32000000000001,2462060,6188,520,2462060.0
F_bin_24039.fa,79.52,4.41,70.69999999999999,1575349,5390,356,1575349.0
F_bin_170398.fa,72.12,1.06,70.0,1623901,8932,253,1623901.0
F_bin_258899.fa,82.1,6.2,69.69999999999999,2655383,4757,655,2655383.0
F_bin_120636.fa,84.32,7.35,69.61999999999999,3072277,5189,730,3072277.0
F_bin_275991.fa,68.69,1.4,65.89,2656678,11806,400,2656678.0
F_bin_201775.fa,68.01,1.36,65.29,798483,3435,253,798483.0
F_bin_123857.fa,70.95,3.05,64.85000000000001,1048804,3505,330,1048804.0
F_bin_266701.fa,72.41,3.9,64.61,2626818,3234,886,2626818.0
F_bin_134706.fa,66.7,1.63,63.440000000000005,1772068,7000,340,1772068.0
F_bin_242934.fa,69.32,2.95,63.42,1218962,2854,436,1218962.0
F_bin_284614.fa,78.29,7.45,63.39000000000001,1451692,7305,261,1451692.0
F_bin_245628.fa,65.82,1.61,62.6,2318776,4937,558,2318776.0
F_bin_261581.fa,71.98,4.75,62.48,1069205,3042,355,1069205.0
F_bin_2668.fa,67.01,2.58,61.85000000000001,1673577,5544,379,1673577.0
F_bin_23982.fa,63.14,1.14,60.86,1246694,4647,323,1246694.0
F_bin_191760.fa,60.38,0.1,60.18,1494582,3762,432,1494582.0
F_bin_191263.fa,64.28,2.26,59.760000000000005,1603542,3962,466,1603542.0
F_bin_133435.fa,61.09,2.28,56.53,1713144,3476,548,1713144.0
F_bin_284501.fa,66.58,5.57,55.44,1956624,4838,481,1956624.0
F_bin_1744.fa,58.72,3.08,52.56,1233358,3592,373,1233358.0
F_bin_84615.fa,79.18,13.48,52.220000000000006,1708522,9649,260,1708522.0
F_bin_191666.fa,49.39,0.61,48.17,1145785,3405,368,1145785.0
F_bin_333058.fa,58.69,5.39,47.91,5586688,6017,1174,5586688.0
F_bin_272090.fa,47.07,0.47,46.13,1208837,2809,436,1208837.0
F_bin_133582.fa,49.89,3.28,43.33,1327876,3270,436,1327876.0
F_bin_241097.fa,44.49,0.8,42.89,1067771,6122,231,1067771.0
F_bin_340279.fa,52.21,5.6,41.010000000000005,1614939,42943,108,1614939.0
F_bin_57440.fa,57.1,8.65,39.8,6978828,8806,1040,6978828.0
F_bin_169236.fa,42.7,3.0,36.7,1229610,5446,282,1229610.0
F_bin_188746.fa,40.32,4.82,30.68,1195015,2926,411,1195015.0
F_bin_64183.fa,66.25,17.83,30.590000000000003,2369082,11323,287,2369082.0
F_bin_120694.fa,46.48,8.95,28.58,1646204,17847,183,1646204.0
F_bin_207223.fa,42.75,10.76,21.23,1724231,7704,296,1724231.0
F_bin_281326.fa,40.02,10.17,19.680000000000003,1737194,4323,465,1737194.0
K_bin_25.fa,90.65,0.0,90.65,766425,93920,17,766425.0
K_bin_482.fa,58.99,7.9,43.19,4746743,8796,841,4746743.0
K_bin_262.fa,58.12,11.42,35.28,11360419,21247,895,11360419.0
M_bin_35289.fa,99.89,0.15,99.59,1861776,29095,107,1861776.0
M_bin_57342.fa,99.99,0.28,99.43,2550934,26346,182,2550934.0
M_bin_58421.fa,99.99,0.38,99.23,3850171,18339,548,3850171.0
M_bin_38915.fa,99.8,1.16,97.48,2023973,24795,164,2023973.0
M_bin_52274.fa,96.99,0.32,96.35,2966061,28611,201,2966061.0
M_bin_34858.fa,94.87,0.06,94.75,2526856,37394,127,2526856.0
M_bin_2134.fa,96.02,0.79,94.44,2253667,52255,63,2253667.0
M_bin_28975.fa,99.81,2.69,94.43,3388528,20890,270,3388528.0
M_bin_36455.fa,95.88,0.88,94.12,2943115,28759,193,2943115.0
M_bin_28415.fa,95.95,1.25,93.45,1630943,8579,265,1630943.0
M_bin_51707.fa,93.05,0.05,92.95,2622848,29050,146,2622848.0
M_bin_7534.fa,95.79,1.66,92.47,2519754,10673,358,2519754.0
M_bin_38796.fa,99.71,3.77,92.17,1804032,19905,141,1804032.0
M_bin_27568.fa,94.87,1.88,91.11,2533469,15978,241,2533469.0
M_bin_28134.fa,93.11,1.99,89.13,1974292,8757,337,1974292.0
M_bin_24763.fa,95.68,3.34,89.0,1625992,6490,313,1625992.0
M_bin_25473.fa,95.31,3.17,88.97,2145603,6685,404,2145603.0
M_bin_9657.fa,88.46,0.1,88.25999999999999,2554117,50616,113,2554117.0
M_bin_60038.fa,93.43,3.02,87.39,15512804,16038,1651,15512804.0
M_bin_23415.fa,88.35,0.54,87.27,2805909,28335,176,2805909.0
M_bin_50373.fa,93.69,3.67,86.35,1952344,6975,375,1952344.0
M_bin_60518.fa,91.49,2.71,86.07,1843832,4959,439,1843832.0
M_bin_114.fa,83.63,0.42,82.78999999999999,1770477,11672,253,1770477.0
M_bin_183.fa,82.0,1.93,78.14,2145770,9633,337,2145770.0
M_bin_34282.fa,80.52,1.25,78.02,3474645,4460,924,3474645.0
M_bin_57002.fa,85.14,6.21,72.72,1484100,2784,553,1484100.0
M_bin_27575.fa,72.39,0.06,72.27,1782027,4057,503,1782027.0
M_bin_26653.fa,74.37,1.68,71.01,2150241,6598,432,2150241.0
M_bin_916.fa,71.54,2.73,66.08000000000001,750242,2594,292,750242.0
M_bin_26879.fa,61.17,3.59,53.99,1680821,6816,329,1680821.0
M_bin_30346.fa,57.5,2.19,53.12,863239,42193,69,863239.0
M_bin_56010.fa,58.99,5.79,47.41,1147307,2704,437,1147307.0
M_bin_24089.fa,49.72,1.43,46.86,775375,2178,352,775375.0
M_bin_3765.fa,43.32,4.89,33.54,1383413,2641,530,1383413.0
