species	mag	gene	entry	identity	length	mismatches	gaps	query_start	query_end	target_start	target_end	evalue	bitscore	identity_percent	VF_id	vf	vf_type
akkermansia_muciniphila	EHM016229	EHA00531_bin.10^_36_2	VFG048489(gb|WP_012968728)	0.247	318	166	0	503	820	12	233	1.255e-09	63	24.7	VF0562	(fepC) iron-enterobactin transporter ATP-binding protein [Ent (VF0562) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella variicola At-22]	Klebsiella variicola At-22
akkermansia_muciniphila	EHM016229	EHA00531_bin.10^_38_43	VFG016981(gb|WP_010883341)	0.334	212	127	0	125	336	62	253	8.314e-22	103	33.4	VF0344	(pkn5) serine/threonine protein kinase [TTSS (VF0344) - Effector delivery system (VFC0086)] [Chlamydophila pneumoniae AR39]	Chlamydophila pneumoniae AR39
akkermansia_muciniphila	EHM016229	EHA00531_bin.10^_43_6	VFG006513(gb|WP_000874852)	0.289	291	201	0	8	298	5	288	8.431e-33	130	28.9	VF0057	(futC1) alpha-(1,2)-fucosyltransferase [Lewis antigen (VF0057) - Immune modulation (VFC0258)] [Helicobacter pylori HPAG1]	Helicobacter pylori HPAG1
akkermansia_muciniphila	EHM016316	EHA00539_bin.4^_11_167	VFG044153(gb|WP_011063599)	0.276	236	167	0	462	697	332	563	9.146e-16	83	27.6	VF0940	(PFL_RS27280) type I secretion system permease/ATPase [HasA-type hemophore-mediated heme uptake system (VF0940) - Nutritional/Metabolic factor (VFC0272)] [Pseudomonas fluorescens Pf-5]	Pseudomonas fluorescens Pf-5
akkermansia_muciniphila	EHM016316	EHA00539_bin.4^_12_3	VFG006506(gb|WP_011116615)	0.285	286	197	0	20	305	26	301	2.978e-24	106	28.499999999999996	VF0057	(futA) fucosyltransferase [Lewis antigen (VF0057) - Immune modulation (VFC0258)] [Helicobacter hepaticus ATCC 51449]	Helicobacter hepaticus ATCC 51449
akkermansia_muciniphila	EHM016316	EHA00539_bin.4^_20_6	VFG006513(gb|WP_000874852)	0.289	291	201	0	8	298	5	288	8.431e-33	130	28.9	VF0057	(futC1) alpha-(1,2)-fucosyltransferase [Lewis antigen (VF0057) - Immune modulation (VFC0258)] [Helicobacter pylori HPAG1]	Helicobacter pylori HPAG1
akkermansia_muciniphila	EHM016316	EHA00539_bin.4^_28_93	VFG016981(gb|WP_010883341)	0.334	212	127	0	125	336	62	253	8.314e-22	103	33.4	VF0344	(pkn5) serine/threonine protein kinase [TTSS (VF0344) - Effector delivery system (VFC0086)] [Chlamydophila pneumoniae AR39]	Chlamydophila pneumoniae AR39
akkermansia_muciniphila	EHM016316	EHA00539_bin.4^_29_11	VFG049559(gb|WP_010883163)	0.243	231	173	0	9	239	2	231	9.706e-08	53	24.3	VF0344	(cdsZ) zinc ribbon domain-containing protein [TTSS (VF0344) - Effector delivery system (VFC0086)] [Chlamydophila pneumoniae AR39]	Chlamydophila pneumoniae AR39
akkermansia_muciniphila	EHM016316	EHA00539_bin.4^_9_24	VFG048489(gb|WP_012968728)	0.247	318	166	0	503	820	12	233	5.48e-10	64	24.7	VF0562	(fepC) iron-enterobactin transporter ATP-binding protein [Ent (VF0562) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella variicola At-22]	Klebsiella variicola At-22
akkermansia_muciniphila	EHM016316	EHA00539_bin.4^_9_59	VFG016986(gb|WP_011006012)	0.355	212	123	0	118	329	61	251	2.926e-27	121	35.5	VF0344	(pkn5) serine/threonine protein kinase [TTSS (VF0344) - Effector delivery system (VFC0086)] [Chlamydophila caviae GPIC]	Chlamydophila caviae GPIC
akkermansia_muciniphila	EHM020890	EHA01202_bin.41^_28_11	VFG016981(gb|WP_010883341)	0.334	212	127	0	125	336	62	253	8.314e-22	103	33.4	VF0344	(pkn5) serine/threonine protein kinase [TTSS (VF0344) - Effector delivery system (VFC0086)] [Chlamydophila pneumoniae AR39]	Chlamydophila pneumoniae AR39
akkermansia_muciniphila	EHM020890	EHA01202_bin.41^_30_2	VFG016986(gb|WP_011006012)	0.355	212	123	0	118	329	61	251	2.926e-27	121	35.5	VF0344	(pkn5) serine/threonine protein kinase [TTSS (VF0344) - Effector delivery system (VFC0086)] [Chlamydophila caviae GPIC]	Chlamydophila caviae GPIC
akkermansia_muciniphila	EHM020890	EHA01202_bin.41^_48_5	VFG044153(gb|WP_011063599)	0.276	236	167	0	462	697	332	563	9.146e-16	83	27.6	VF0940	(PFL_RS27280) type I secretion system permease/ATPase [HasA-type hemophore-mediated heme uptake system (VF0940) - Nutritional/Metabolic factor (VFC0272)] [Pseudomonas fluorescens Pf-5]	Pseudomonas fluorescens Pf-5
akkermansia_muciniphila	EHM020890	EHA01202_bin.41^_66_57	VFG006513(gb|WP_000874852)	0.289	291	201	0	8	298	5	288	8.431e-33	130	28.9	VF0057	(futC1) alpha-(1,2)-fucosyltransferase [Lewis antigen (VF0057) - Immune modulation (VFC0258)] [Helicobacter pylori HPAG1]	Helicobacter pylori HPAG1
akkermansia_muciniphila	EHM020890	EHA01202_bin.41^_68_55	VFG049559(gb|WP_010883163)	0.243	231	173	0	9	239	2	231	9.706e-08	53	24.3	VF0344	(cdsZ) zinc ribbon domain-containing protein [TTSS (VF0344) - Effector delivery system (VFC0086)] [Chlamydophila pneumoniae AR39]	Chlamydophila pneumoniae AR39
akkermansia_muciniphila	EHM020890	EHA01202_bin.41^_73_4	VFG048489(gb|WP_012968728)	0.247	318	166	0	503	820	12	233	5.48e-10	64	24.7	VF0562	(fepC) iron-enterobactin transporter ATP-binding protein [Ent (VF0562) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella variicola At-22]	Klebsiella variicola At-22
akkermansia_muciniphila	EHM020890	EHA01202_bin.41^_83_19	VFG006506(gb|WP_011116615)	0.285	286	197	0	20	305	26	301	2.978e-24	106	28.499999999999996	VF0057	(futA) fucosyltransferase [Lewis antigen (VF0057) - Immune modulation (VFC0258)] [Helicobacter hepaticus ATCC 51449]	Helicobacter hepaticus ATCC 51449
akkermansia_muciniphila	EHM021927	EHA00951_bin.9^_0_63	VFG006506(gb|WP_011116615)	0.283	286	197	0	20	305	26	301	2.978e-24	106	28.299999999999997	VF0057	(futA) fucosyltransferase [Lewis antigen (VF0057) - Immune modulation (VFC0258)] [Helicobacter hepaticus ATCC 51449]	Helicobacter hepaticus ATCC 51449
akkermansia_muciniphila	EHM021927	EHA00951_bin.9^_33_9	VFG016987(gb|WP_011458511)	0.25	135	95	0	102	236	82	209	4.159e-06	49	25.0	VF0344	(pkn5) serine/threonine protein kinase [TTSS (VF0344) - Effector delivery system (VFC0086)] [Chlamydophila felis Fe/C-56]	Chlamydophila felis Fe/C-56
akkermansia_muciniphila	EHM021927	EHA00951_bin.9^_35_2	VFG016986(gb|WP_011006012)	0.355	212	123	0	118	329	61	251	2.926e-27	121	35.5	VF0344	(pkn5) serine/threonine protein kinase [TTSS (VF0344) - Effector delivery system (VFC0086)] [Chlamydophila caviae GPIC]	Chlamydophila caviae GPIC
akkermansia_muciniphila	EHM021927	EHA00951_bin.9^_41_72	VFG048489(gb|WP_012968728)	0.246	319	167	0	502	820	11	233	1.654e-09	62	24.6	VF0562	(fepC) iron-enterobactin transporter ATP-binding protein [Ent (VF0562) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella variicola At-22]	Klebsiella variicola At-22
akkermansia_muciniphila	EHM021927	EHA00951_bin.9^_43_122	VFG019544(gb|WP_000874846)	0.301	291	196	0	8	298	5	286	2.462e-33	132	30.099999999999998	VF0057	(futC1) alpha-(1,2)-fucosyltransferase [Lewis antigen (VF0057) - Immune modulation (VFC0258)] [Helicobacter pylori P12]	Helicobacter pylori P12
akkermansia_muciniphila	EHM021927	EHA00951_bin.9^_44_24	VFG016981(gb|WP_010883341)	0.331	212	128	0	125	336	62	253	6.304999999999999e-22	103	33.1	VF0344	(pkn5) serine/threonine protein kinase [TTSS (VF0344) - Effector delivery system (VFC0086)] [Chlamydophila pneumoniae AR39]	Chlamydophila pneumoniae AR39
akkermansia_muciniphila	EHM021927	EHA00951_bin.9^_7_308	VFG049559(gb|WP_010883163)	0.243	231	173	0	9	239	2	231	7.237e-08	53	24.3	VF0344	(cdsZ) zinc ribbon domain-containing protein [TTSS (VF0344) - Effector delivery system (VFC0086)] [Chlamydophila pneumoniae AR39]	Chlamydophila pneumoniae AR39
akkermansia_muciniphila	EHM037909	EHA02470_bin.29^_16_119	VFG044153(gb|WP_011063599)	0.276	236	167	0	462	697	332	563	9.146e-16	83	27.6	VF0940	(PFL_RS27280) type I secretion system permease/ATPase [HasA-type hemophore-mediated heme uptake system (VF0940) - Nutritional/Metabolic factor (VFC0272)] [Pseudomonas fluorescens Pf-5]	Pseudomonas fluorescens Pf-5
akkermansia_muciniphila	EHM037909	EHA02470_bin.29^_19_58	VFG006506(gb|WP_011116615)	0.285	286	197	0	20	305	26	301	2.978e-24	106	28.499999999999996	VF0057	(futA) fucosyltransferase [Lewis antigen (VF0057) - Immune modulation (VFC0258)] [Helicobacter hepaticus ATCC 51449]	Helicobacter hepaticus ATCC 51449
akkermansia_muciniphila	EHM037909	EHA02470_bin.29^_32_7	VFG006513(gb|WP_000874852)	0.289	291	201	0	8	298	5	288	8.431e-33	130	28.9	VF0057	(futC1) alpha-(1,2)-fucosyltransferase [Lewis antigen (VF0057) - Immune modulation (VFC0258)] [Helicobacter pylori HPAG1]	Helicobacter pylori HPAG1
akkermansia_muciniphila	EHM037909	EHA02470_bin.29^_43_36	VFG016986(gb|WP_011006012)	0.346	193	125	0	125	316	61	253	1.906e-21	102	34.599999999999994	VF0344	(pkn5) serine/threonine protein kinase [TTSS (VF0344) - Effector delivery system (VFC0086)] [Chlamydophila caviae GPIC]	Chlamydophila caviae GPIC
akkermansia_muciniphila	EHM037909	EHA02470_bin.29^_44_2	VFG048489(gb|WP_012968728)	0.247	318	166	0	503	820	12	233	5.48e-10	64	24.7	VF0562	(fepC) iron-enterobactin transporter ATP-binding protein [Ent (VF0562) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella variicola At-22]	Klebsiella variicola At-22
akkermansia_muciniphila	EHM037909	EHA02470_bin.29^_45_11	VFG049559(gb|WP_010883163)	0.243	231	173	0	9	239	2	231	9.706e-08	53	24.3	VF0344	(cdsZ) zinc ribbon domain-containing protein [TTSS (VF0344) - Effector delivery system (VFC0086)] [Chlamydophila pneumoniae AR39]	Chlamydophila pneumoniae AR39
akkermansia_muciniphila	EHM037909	EHA02470_bin.29^_46_64	VFG042620(gb|WP_004247323)	0.318	172	114	0	135	306	10	177	3.843e-14	74	31.8	VF1233	(mrpI) phase variation DNA invertase MrpI [Proteus-like (MR/P) fimbriae, mannose resistant (biofilm formation) (VF1233) - Adherence (VFC0001)] [Proteus mirabilis HI4320]	Proteus mirabilis HI4320
akkermansia_muciniphila	EHM037909	EHA02470_bin.29^_46_81	VFG016986(gb|WP_011006012)	0.355	212	123	0	118	329	61	251	2.926e-27	121	35.5	VF0344	(pkn5) serine/threonine protein kinase [TTSS (VF0344) - Effector delivery system (VFC0086)] [Chlamydophila caviae GPIC]	Chlamydophila caviae GPIC
akkermansia_muciniphila	EHM038031	EHA02450_bin.6^_19_90	VFG006513(gb|WP_000874852)	0.289	291	201	0	8	298	5	288	8.431e-33	130	28.9	VF0057	(futC1) alpha-(1,2)-fucosyltransferase [Lewis antigen (VF0057) - Immune modulation (VFC0258)] [Helicobacter pylori HPAG1]	Helicobacter pylori HPAG1
akkermansia_muciniphila	EHM038031	EHA02450_bin.6^_24_104	VFG044153(gb|WP_011063599)	0.276	236	167	0	462	697	332	563	9.146e-16	83	27.6	VF0940	(PFL_RS27280) type I secretion system permease/ATPase [HasA-type hemophore-mediated heme uptake system (VF0940) - Nutritional/Metabolic factor (VFC0272)] [Pseudomonas fluorescens Pf-5]	Pseudomonas fluorescens Pf-5
akkermansia_muciniphila	EHM038031	EHA02450_bin.6^_24_314	VFG049559(gb|WP_010883163)	0.243	231	173	0	9	239	2	231	9.706e-08	53	24.3	VF0344	(cdsZ) zinc ribbon domain-containing protein [TTSS (VF0344) - Effector delivery system (VFC0086)] [Chlamydophila pneumoniae AR39]	Chlamydophila pneumoniae AR39
akkermansia_muciniphila	EHM038031	EHA02450_bin.6^_33_59	VFG006506(gb|WP_011116615)	0.283	286	197	0	20	305	26	301	2.978e-24	106	28.299999999999997	VF0057	(futA) fucosyltransferase [Lewis antigen (VF0057) - Immune modulation (VFC0258)] [Helicobacter hepaticus ATCC 51449]	Helicobacter hepaticus ATCC 51449
akkermansia_muciniphila	EHM038031	EHA02450_bin.6^_4_279	VFG048489(gb|WP_012968728)	0.247	318	166	0	503	820	12	233	1.654e-09	62	24.7	VF0562	(fepC) iron-enterobactin transporter ATP-binding protein [Ent (VF0562) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella variicola At-22]	Klebsiella variicola At-22
akkermansia_muciniphila	EHM038031	EHA02450_bin.6^_4_316	VFG016986(gb|WP_011006012)	0.355	212	123	0	118	329	61	251	2.217e-27	121	35.5	VF0344	(pkn5) serine/threonine protein kinase [TTSS (VF0344) - Effector delivery system (VFC0086)] [Chlamydophila caviae GPIC]	Chlamydophila caviae GPIC
akkermansia_muciniphila	EHM038031	EHA02450_bin.6^_4_430	VFG016981(gb|WP_010883341)	0.334	212	127	0	125	336	62	253	8.314e-22	103	33.4	VF0344	(pkn5) serine/threonine protein kinase [TTSS (VF0344) - Effector delivery system (VFC0086)] [Chlamydophila pneumoniae AR39]	Chlamydophila pneumoniae AR39
akkermansia_muciniphila	EHM038744	EHA02549_bin.82^_0_94	VFG049559(gb|WP_010883163)	0.243	231	173	0	9	239	2	231	9.706e-08	53	24.3	VF0344	(cdsZ) zinc ribbon domain-containing protein [TTSS (VF0344) - Effector delivery system (VFC0086)] [Chlamydophila pneumoniae AR39]	Chlamydophila pneumoniae AR39
akkermansia_muciniphila	EHM038744	EHA02549_bin.82^_12_22	VFG048489(gb|WP_012968728)	0.247	318	166	0	503	820	12	233	5.48e-10	64	24.7	VF0562	(fepC) iron-enterobactin transporter ATP-binding protein [Ent (VF0562) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella variicola At-22]	Klebsiella variicola At-22
akkermansia_muciniphila	EHM038744	EHA02549_bin.82^_15_30	VFG006506(gb|WP_011116615)	0.285	286	197	0	20	305	26	301	2.978e-24	106	28.499999999999996	VF0057	(futA) fucosyltransferase [Lewis antigen (VF0057) - Immune modulation (VFC0258)] [Helicobacter hepaticus ATCC 51449]	Helicobacter hepaticus ATCC 51449
akkermansia_muciniphila	EHM038744	EHA02549_bin.82^_18_36	VFG016986(gb|WP_011006012)	0.346	193	125	0	125	316	61	253	1.906e-21	102	34.599999999999994	VF0344	(pkn5) serine/threonine protein kinase [TTSS (VF0344) - Effector delivery system (VFC0086)] [Chlamydophila caviae GPIC]	Chlamydophila caviae GPIC
akkermansia_muciniphila	EHM038744	EHA02549_bin.82^_33_119	VFG044153(gb|WP_011063599)	0.276	236	167	0	462	697	332	563	9.146e-16	83	27.6	VF0940	(PFL_RS27280) type I secretion system permease/ATPase [HasA-type hemophore-mediated heme uptake system (VF0940) - Nutritional/Metabolic factor (VFC0272)] [Pseudomonas fluorescens Pf-5]	Pseudomonas fluorescens Pf-5
akkermansia_muciniphila	EHM038744	EHA02549_bin.82^_43_6	VFG006513(gb|WP_000874852)	0.289	291	201	0	8	298	5	288	6.198e-33	130	28.9	VF0057	(futC1) alpha-(1,2)-fucosyltransferase [Lewis antigen (VF0057) - Immune modulation (VFC0258)] [Helicobacter pylori HPAG1]	Helicobacter pylori HPAG1
akkermansia_muciniphila	EHM038744	EHA02549_bin.82^_8_64	VFG042620(gb|WP_004247323)	0.318	172	114	0	135	306	10	177	3.843e-14	74	31.8	VF1233	(mrpI) phase variation DNA invertase MrpI [Proteus-like (MR/P) fimbriae, mannose resistant (biofilm formation) (VF1233) - Adherence (VFC0001)] [Proteus mirabilis HI4320]	Proteus mirabilis HI4320
akkermansia_muciniphila	EHM038744	EHA02549_bin.82^_8_81	VFG016986(gb|WP_011006012)	0.355	212	123	0	118	329	61	251	2.926e-27	121	35.5	VF0344	(pkn5) serine/threonine protein kinase [TTSS (VF0344) - Effector delivery system (VFC0086)] [Chlamydophila caviae GPIC]	Chlamydophila caviae GPIC
akkermansia_muciniphila	EHM038989	EHA02599_bin.16^_15_59	VFG006506(gb|WP_011116615)	0.283	286	197	0	20	305	26	301	2.978e-24	106	28.299999999999997	VF0057	(futA) fucosyltransferase [Lewis antigen (VF0057) - Immune modulation (VFC0258)] [Helicobacter hepaticus ATCC 51449]	Helicobacter hepaticus ATCC 51449
akkermansia_muciniphila	EHM038989	EHA02599_bin.16^_16_150	VFG016986(gb|WP_011006012)	0.355	212	123	0	118	329	61	251	2.217e-27	121	35.5	VF0344	(pkn5) serine/threonine protein kinase [TTSS (VF0344) - Effector delivery system (VFC0086)] [Chlamydophila caviae GPIC]	Chlamydophila caviae GPIC
akkermansia_muciniphila	EHM038989	EHA02599_bin.16^_16_186	VFG048489(gb|WP_012968728)	0.247	318	166	0	503	820	12	233	1.654e-09	62	24.7	VF0562	(fepC) iron-enterobactin transporter ATP-binding protein [Ent (VF0562) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella variicola At-22]	Klebsiella variicola At-22
akkermansia_muciniphila	EHM038989	EHA02599_bin.16^_16_36	VFG016981(gb|WP_010883341)	0.334	212	127	0	125	336	62	253	8.314e-22	103	33.4	VF0344	(pkn5) serine/threonine protein kinase [TTSS (VF0344) - Effector delivery system (VFC0086)] [Chlamydophila pneumoniae AR39]	Chlamydophila pneumoniae AR39
akkermansia_muciniphila	EHM038989	EHA02599_bin.16^_19_90	VFG006513(gb|WP_000874852)	0.289	291	201	0	8	298	5	288	8.431e-33	130	28.9	VF0057	(futC1) alpha-(1,2)-fucosyltransferase [Lewis antigen (VF0057) - Immune modulation (VFC0258)] [Helicobacter pylori HPAG1]	Helicobacter pylori HPAG1
akkermansia_muciniphila	EHM038989	EHA02599_bin.16^_4_103	VFG044153(gb|WP_011063599)	0.276	236	167	0	462	697	332	563	9.146e-16	83	27.6	VF0940	(PFL_RS27280) type I secretion system permease/ATPase [HasA-type hemophore-mediated heme uptake system (VF0940) - Nutritional/Metabolic factor (VFC0272)] [Pseudomonas fluorescens Pf-5]	Pseudomonas fluorescens Pf-5
akkermansia_muciniphila	EHM038989	EHA02599_bin.16^_4_313	VFG049559(gb|WP_010883163)	0.243	231	173	0	9	239	2	231	9.706e-08	53	24.3	VF0344	(cdsZ) zinc ribbon domain-containing protein [TTSS (VF0344) - Effector delivery system (VFC0086)] [Chlamydophila pneumoniae AR39]	Chlamydophila pneumoniae AR39
akkermansia_muciniphila	EHM046625	EHA03296_bin.12^_24_16	VFG049559(gb|WP_010883163)	0.239	231	174	0	9	239	2	231	1.301e-07	53	23.9	VF0344	(cdsZ) zinc ribbon domain-containing protein [TTSS (VF0344) - Effector delivery system (VFC0086)] [Chlamydophila pneumoniae AR39]	Chlamydophila pneumoniae AR39
akkermansia_muciniphila	EHM046625	EHA03296_bin.12^_24_230	VFG044153(gb|WP_011063599)	0.276	236	167	0	462	697	332	563	9.146e-16	83	27.6	VF0940	(PFL_RS27280) type I secretion system permease/ATPase [HasA-type hemophore-mediated heme uptake system (VF0940) - Nutritional/Metabolic factor (VFC0272)] [Pseudomonas fluorescens Pf-5]	Pseudomonas fluorescens Pf-5
akkermansia_muciniphila	EHM046625	EHA03296_bin.12^_2_6	VFG006513(gb|WP_000874852)	0.289	291	201	0	8	298	5	288	8.431e-33	130	28.9	VF0057	(futC1) alpha-(1,2)-fucosyltransferase [Lewis antigen (VF0057) - Immune modulation (VFC0258)] [Helicobacter pylori HPAG1]	Helicobacter pylori HPAG1
akkermansia_muciniphila	EHM046625	EHA03296_bin.12^_6_92	VFG016981(gb|WP_010883341)	0.334	212	127	0	125	336	62	253	8.314e-22	103	33.4	VF0344	(pkn5) serine/threonine protein kinase [TTSS (VF0344) - Effector delivery system (VFC0086)] [Chlamydophila pneumoniae AR39]	Chlamydophila pneumoniae AR39
akkermansia_muciniphila	EHM046625	EHA03296_bin.12^_7_150	VFG016986(gb|WP_011006012)	0.355	212	123	0	118	329	61	251	2.926e-27	121	35.5	VF0344	(pkn5) serine/threonine protein kinase [TTSS (VF0344) - Effector delivery system (VFC0086)] [Chlamydophila caviae GPIC]	Chlamydophila caviae GPIC
akkermansia_muciniphila	EHM046625	EHA03296_bin.12^_7_222	VFG048489(gb|WP_012968728)	0.247	318	166	0	503	820	12	233	4.157e-10	64	24.7	VF0562	(fepC) iron-enterobactin transporter ATP-binding protein [Ent (VF0562) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella variicola At-22]	Klebsiella variicola At-22
akkermansia_muciniphila	EHM046625	EHA03296_bin.12^_9_80	VFG006506(gb|WP_011116615)	0.286	286	196	0	20	305	26	301	2.685e-25	109	28.599999999999998	VF0057	(futA) fucosyltransferase [Lewis antigen (VF0057) - Immune modulation (VFC0258)] [Helicobacter hepaticus ATCC 51449]	Helicobacter hepaticus ATCC 51449
akkermansia_muciniphila	EHM048605	EHA03343_bin.14^_0_80	VFG006506(gb|WP_011116615)	0.286	286	196	0	20	305	26	301	2.685e-25	109	28.599999999999998	VF0057	(futA) fucosyltransferase [Lewis antigen (VF0057) - Immune modulation (VFC0258)] [Helicobacter hepaticus ATCC 51449]	Helicobacter hepaticus ATCC 51449
akkermansia_muciniphila	EHM048605	EHA03343_bin.14^_24_93	VFG016981(gb|WP_010883341)	0.334	212	127	0	125	336	62	253	8.314e-22	103	33.4	VF0344	(pkn5) serine/threonine protein kinase [TTSS (VF0344) - Effector delivery system (VFC0086)] [Chlamydophila pneumoniae AR39]	Chlamydophila pneumoniae AR39
akkermansia_muciniphila	EHM048605	EHA03343_bin.14^_3_159	VFG048489(gb|WP_012968728)	0.247	318	166	0	503	820	12	233	4.157e-10	64	24.7	VF0562	(fepC) iron-enterobactin transporter ATP-binding protein [Ent (VF0562) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella variicola At-22]	Klebsiella variicola At-22
akkermansia_muciniphila	EHM048605	EHA03343_bin.14^_3_87	VFG016986(gb|WP_011006012)	0.355	212	123	0	118	329	61	251	2.926e-27	121	35.5	VF0344	(pkn5) serine/threonine protein kinase [TTSS (VF0344) - Effector delivery system (VFC0086)] [Chlamydophila caviae GPIC]	Chlamydophila caviae GPIC
akkermansia_muciniphila	EHM048605	EHA03343_bin.14^_6_6	VFG006513(gb|WP_000874852)	0.289	291	201	0	8	298	5	288	8.431e-33	130	28.9	VF0057	(futC1) alpha-(1,2)-fucosyltransferase [Lewis antigen (VF0057) - Immune modulation (VFC0258)] [Helicobacter pylori HPAG1]	Helicobacter pylori HPAG1
akkermansia_muciniphila	EHM048605	EHA03343_bin.14^_8_16	VFG049559(gb|WP_010883163)	0.239	231	174	0	9	239	2	231	1.301e-07	53	23.9	VF0344	(cdsZ) zinc ribbon domain-containing protein [TTSS (VF0344) - Effector delivery system (VFC0086)] [Chlamydophila pneumoniae AR39]	Chlamydophila pneumoniae AR39
akkermansia_muciniphila	EHM048605	EHA03343_bin.14^_8_231	VFG044153(gb|WP_011063599)	0.276	236	167	0	462	697	332	563	9.146e-16	83	27.6	VF0940	(PFL_RS27280) type I secretion system permease/ATPase [HasA-type hemophore-mediated heme uptake system (VF0940) - Nutritional/Metabolic factor (VFC0272)] [Pseudomonas fluorescens Pf-5]	Pseudomonas fluorescens Pf-5
akkermansia_muciniphila	EHM049281	EHA03306_bin.106^_0_6	VFG006513(gb|WP_000874852)	0.289	291	201	0	8	298	5	288	8.431e-33	130	28.9	VF0057	(futC1) alpha-(1,2)-fucosyltransferase [Lewis antigen (VF0057) - Immune modulation (VFC0258)] [Helicobacter pylori HPAG1]	Helicobacter pylori HPAG1
akkermansia_muciniphila	EHM049281	EHA03306_bin.106^_11_158	VFG048489(gb|WP_012968728)	0.247	318	166	0	503	820	12	233	4.157e-10	64	24.7	VF0562	(fepC) iron-enterobactin transporter ATP-binding protein [Ent (VF0562) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella variicola At-22]	Klebsiella variicola At-22
