persistent_family	duplication_ratio	mean_presence	is_single_copy_marker
EHA00531_bin.1_CDS_0225	0.0	1.0	True
EHA00531_bin.1_CDS_0226	0.0	1.0	True
EHA00531_bin.1_CDS_0228	0.0	1.0	True
EHA00531_bin.1_CDS_0229	0.0	1.0	True
EHA00531_bin.1_CDS_0230	0.0	1.0	True
EHA00531_bin.1_CDS_0231	0.0	1.0	True
EHA00531_bin.1_CDS_0232	0.0	1.0	True
EHA00531_bin.1_CDS_0233	0.0	1.0	True
EHA00531_bin.1_CDS_0234	0.0	1.0	True
EHA00531_bin.1_CDS_0237	0.0	1.0	True
EHA00531_bin.1_CDS_0257	0.0	1.0	True
EHA00531_bin.1_CDS_0259	0.0	1.012	True
EHA00531_bin.1_CDS_0264	0.0	1.0	True
EHA00531_bin.1_CDS_0265	0.0	1.011	True
EHA00531_bin.1_CDS_0266	0.0	1.0	True
EHA00531_bin.1_CDS_0267	0.0	1.011	True
EHA00531_bin.1_CDS_0268	0.0	1.0	True
EHA00531_bin.1_CDS_0269	0.0	1.011	True
EHA00531_bin.1_CDS_0270	0.0	1.0	True
EHA00531_bin.1_CDS_0277	0.0	1.0	True
EHA00531_bin.1_CDS_0279	0.0	1.0	True
EHA00531_bin.1_CDS_0281	0.0	1.0	True
EHA00531_bin.1_CDS_0283	0.0	1.0	True
EHA00531_bin.1_CDS_0284	0.0	1.0	True
EHA00531_bin.1_CDS_0285	0.0	1.0	True
EHA00531_bin.1_CDS_0286	0.0	1.0	True
EHA00531_bin.1_CDS_0287	0.0	1.0	True
EHA00531_bin.1_CDS_0288	0.0	1.0	True
EHA00531_bin.1_CDS_0289	0.0	1.0	True
EHA00531_bin.1_CDS_0290	0.0	1.011	True
EHA00531_bin.1_CDS_0291	0.0	1.011	True
EHA00531_bin.1_CDS_0292	0.0	1.0	True
EHA00531_bin.1_CDS_0295	0.0	1.0	True
EHA00531_bin.1_CDS_0296	0.0	1.0	True
EHA00531_bin.1_CDS_0298	0.0	1.0	True
EHA00531_bin.1_CDS_0301	0.0	1.0	True
EHA00531_bin.1_CDS_0302	0.0	1.033	True
EHA00531_bin.1_CDS_0304	0.0	1.0	True
EHA00531_bin.1_CDS_0306	0.0	1.0	True
EHA00531_bin.1_CDS_0307	0.0	1.0	True
EHA00531_bin.1_CDS_0308	0.0	1.0	True
EHA00531_bin.1_CDS_0311	0.0	1.0	True
EHA00531_bin.1_CDS_0312	0.0	1.023	True
EHA00531_bin.1_CDS_0313	0.0	1.0	True
EHA00531_bin.1_CDS_0315	0.0	1.0	True
EHA00531_bin.1_CDS_0316	0.0	1.0	True
EHA00531_bin.1_CDS_0317	0.0	1.0	True
EHA00531_bin.1_CDS_0319	0.022	1.022	True
EHA00531_bin.1_CDS_0320	0.0	1.0	True
EHA00531_bin.1_CDS_0321	0.0	1.0	True
EHA00531_bin.1_CDS_0323	0.0	1.0	True
EHA00531_bin.1_CDS_0324	0.0	1.022	True
EHA00531_bin.1_CDS_0326	0.0	1.0	True
EHA00531_bin.1_CDS_0327	0.0	1.0	True
EHA00531_bin.1_CDS_0329	0.0	1.0	True
EHA00531_bin.1_CDS_0330	0.0	1.0	True
EHA00531_bin.1_CDS_0331	0.0	1.023	True
EHA00531_bin.1_CDS_0334	0.0	1.0	True
EHA00531_bin.1_CDS_0335	0.0	1.0	True
EHA00531_bin.1_CDS_0336	0.0	1.0	True
EHA00531_bin.1_CDS_0338	0.0	1.0	True
EHA00531_bin.1_CDS_0339	0.0	1.0	True
EHA00531_bin.1_CDS_0340	0.0	1.0	True
EHA00531_bin.1_CDS_0341	0.0	1.0	True
EHA00531_bin.1_CDS_0342	0.0	1.0	True
EHA00531_bin.1_CDS_0343	0.0	1.0	True
EHA00531_bin.1_CDS_0345	0.0	1.0	True
EHA00531_bin.1_CDS_0346	0.0	1.0	True
EHA00531_bin.1_CDS_0347	0.0	1.0	True
EHA00531_bin.1_CDS_0349	0.0	1.0	True
EHA00531_bin.1_CDS_0350	0.0	1.0	True
EHA00531_bin.1_CDS_0352	0.0	1.033	True
EHA00531_bin.1_CDS_0359	0.0	1.0	True
EHA00531_bin.1_CDS_0360	0.0	1.011	True
EHA00531_bin.1_CDS_0361	0.0	1.0	True
EHA00531_bin.1_CDS_0364	0.0	1.0	True
EHA00531_bin.1_CDS_0365	0.011	1.011	True
EHA00531_bin.1_CDS_0366	0.0	1.0	True
EHA00531_bin.1_CDS_0371	0.011	1.011	True
EHA00531_bin.1_CDS_0372	0.011	1.011	True
EHA00531_bin.1_CDS_0373	0.0	1.0	True
EHA00531_bin.1_CDS_0381	0.0	1.0	True
EHA00531_bin.1_CDS_0382	0.0	1.011	True
EHA00531_bin.1_CDS_0383	0.022	1.022	True
EHA00531_bin.1_CDS_0384	0.0	1.0	True
EHA00531_bin.1_CDS_0386	0.022	1.022	True
EHA00531_bin.1_CDS_0387	0.022	1.022	True
EHA00531_bin.1_CDS_0388	0.0	1.0	True
EHA00531_bin.1_CDS_0389	0.021	1.021	True
EHA00531_bin.1_CDS_0392	0.0	1.0	True
EHA00531_bin.1_CDS_0400	0.021	1.021	True
EHA00531_bin.1_CDS_0401	0.0	1.0	True
EHA00531_bin.1_CDS_0402	0.0	1.0	True
EHA00531_bin.1_CDS_0403	0.0	1.011	True
EHA00531_bin.1_CDS_0404	0.0	1.0	True
EHA00531_bin.1_CDS_0405	0.0	1.0	True
EHA00531_bin.1_CDS_0406	0.0	1.0	True
EHA00531_bin.1_CDS_0407	0.0	1.0	True
EHA00531_bin.1_CDS_0408	0.0	1.0	True
EHA00531_bin.1_CDS_0411	0.0	1.0	True
EHA00531_bin.1_CDS_0412	0.0	1.011	True
EHA00531_bin.1_CDS_0413	0.0	1.011	True
EHA00531_bin.1_CDS_0414	0.011	1.011	True
EHA00531_bin.1_CDS_0415	0.0	1.022	True
EHA00531_bin.1_CDS_0417	0.0	1.0	True
EHA00531_bin.1_CDS_0418	0.0	1.0	True
EHA00531_bin.1_CDS_0419	0.0	1.0	True
EHA00531_bin.1_CDS_0420	0.0	1.011	True
EHA00531_bin.1_CDS_0421	0.0	1.0	True
EHA00531_bin.1_CDS_0422	0.0	1.0	True
EHA00531_bin.1_CDS_0423	0.0	1.0	True
EHA00531_bin.1_CDS_0424	0.0	1.0	True
EHA00531_bin.1_CDS_0425	0.0	1.011	True
EHA00531_bin.1_CDS_0426	0.0	1.0	True
EHA00531_bin.1_CDS_0427	0.0	1.0	True
EHA00531_bin.1_CDS_0428	0.0	1.0	True
EHA00531_bin.1_CDS_0429	0.0	1.033	True
EHA00531_bin.1_CDS_0430	0.0	1.0	True
EHA00531_bin.1_CDS_0431	0.0	1.034	True
EHA00531_bin.1_CDS_0432	0.0	1.0	True
EHA00531_bin.1_CDS_0433	0.0	1.0	True
EHA00531_bin.1_CDS_0434	0.0	1.0	True
EHA00531_bin.1_CDS_0435	0.0	1.0	True
EHA00531_bin.1_CDS_0436	0.0	1.0	True
EHA00531_bin.1_CDS_0437	0.0	1.0	True
EHA00531_bin.1_CDS_0439	0.0	1.0	True
EHA00531_bin.1_CDS_0440	0.0	1.0	True
EHA00531_bin.1_CDS_0441	0.0	1.014	True
EHA00531_bin.1_CDS_0442	0.0	1.0	True
EHA00531_bin.1_CDS_0443	0.0	1.0	True
EHA00531_bin.1_CDS_0444	0.0	1.0	True
EHA00531_bin.1_CDS_0445	0.0	1.0	True
EHA00531_bin.1_CDS_0447	0.0	1.0	True
EHA00531_bin.1_CDS_0448	0.0	1.0	True
EHA00531_bin.1_CDS_0457	0.0	1.0	True
EHA00531_bin.1_CDS_0458	0.0	1.0	True
EHA00531_bin.1_CDS_0459	0.0	1.0	True
EHA00531_bin.1_CDS_0460	0.0	1.0	True
EHA00531_bin.1_CDS_0461	0.0	1.0	True
EHA00531_bin.1_CDS_0462	0.0	1.0	True
EHA00531_bin.1_CDS_0463	0.0	1.0	True
EHA00531_bin.1_CDS_0464	0.0	1.0	True
EHA00531_bin.1_CDS_0465	0.0	1.0	True
EHA00531_bin.1_CDS_0466	0.0	1.0	True
EHA00531_bin.1_CDS_0467	0.0	1.0	True
EHA00531_bin.1_CDS_0468	0.0	1.0	True
EHA00531_bin.1_CDS_0472	0.0	1.0	True
EHA00531_bin.1_CDS_0473	0.0	1.0	True
EHA00531_bin.1_CDS_0474	0.0	1.0	True
EHA00531_bin.1_CDS_0475	0.0	1.011	True
EHA00531_bin.1_CDS_0476	0.0	1.0	True
EHA00531_bin.1_CDS_0478	0.0	1.0	True
EHA00531_bin.1_CDS_0479	0.0	1.0	True
EHA00531_bin.1_CDS_0482	0.0	1.0	True
EHA00531_bin.1_CDS_0483	0.0	1.022	True
EHA00531_bin.1_CDS_0484	0.0	1.0	True
EHA00531_bin.1_CDS_0485	0.0	1.011	True
EHA00531_bin.1_CDS_0486	0.0	1.0	True
EHA00531_bin.1_CDS_0487	0.0	1.022	True
EHA00531_bin.1_CDS_0488	0.0	1.0	True
EHA00531_bin.1_CDS_0489	0.0	1.0	True
EHA00531_bin.1_CDS_0491	0.0	1.0	True
EHA00531_bin.1_CDS_0492	0.0	1.0	True
EHA00531_bin.1_CDS_0493	0.0	1.0	True
EHA00531_bin.1_CDS_0494	0.0	1.0	True
EHA00531_bin.1_CDS_0495	0.0	1.0	True
EHA00531_bin.1_CDS_0497	0.011	1.011	True
EHA00531_bin.1_CDS_0498	0.011	1.011	True
EHA00531_bin.1_CDS_0499	0.0	1.053	True
EHA00531_bin.1_CDS_0503	0.0	1.0	True
EHA00531_bin.1_CDS_0514	0.0	1.0	True
EHA00531_bin.1_CDS_0515	0.0	1.012	True
EHA00531_bin.1_CDS_0517	0.0	1.0	True
EHA00531_bin.1_CDS_0527	0.0	1.0	True
EHA00531_bin.1_CDS_0528	0.0	1.011	True
EHA00531_bin.1_CDS_0529	0.0	1.0	True
EHA00531_bin.1_CDS_0531	0.0	1.022	True
EHA00531_bin.1_CDS_0533	0.0	1.0	True
EHA00531_bin.1_CDS_0535	0.0	1.0	True
EHA00531_bin.1_CDS_0536	0.0	1.011	True
EHA00531_bin.1_CDS_0540	0.0	1.0	True
EHA00531_bin.1_CDS_0541	0.0	1.022	True
EHA00531_bin.1_CDS_0542	0.0	1.011	True
EHA00531_bin.1_CDS_0544	0.0	1.0	True
EHA00531_bin.1_CDS_0545	0.0	1.0	True
EHA00531_bin.1_CDS_0546	0.0	1.0	True
EHA00531_bin.1_CDS_0548	0.0	1.0	True
EHA00531_bin.1_CDS_0550	0.0	1.0	True
EHA00531_bin.1_CDS_0551	0.0	1.0	True
EHA00531_bin.1_CDS_0553	0.0	1.0	True
EHA00531_bin.1_CDS_0554	0.0	1.0	True
EHA00531_bin.1_CDS_0555	0.0	1.011	True
EHA00531_bin.1_CDS_0556	0.0	1.0	True
EHA00531_bin.1_CDS_0557	0.0	1.0	True
EHA00531_bin.1_CDS_0558	0.0	1.0	True
EHA00531_bin.1_CDS_0559	0.0	1.022	True
EHA00531_bin.1_CDS_0560	0.0	1.0	True
EHA00531_bin.1_CDS_0561	0.0	1.011	True
EHA00531_bin.1_CDS_0562	0.0	1.011	True
EHA00531_bin.1_CDS_0563	0.0	1.0	True
EHA00531_bin.1_CDS_0564	0.0	1.0	True
EHA00531_bin.1_CDS_0565	0.0	1.0	True
EHA00531_bin.1_CDS_0566	0.0	1.0	True
EHA00531_bin.1_CDS_0567	0.0	1.0	True
EHA00531_bin.1_CDS_0568	0.0	1.0	True
EHA00531_bin.1_CDS_0569	0.0	1.0	True
EHA00531_bin.1_CDS_0570	0.0	1.0	True
EHA00531_bin.1_CDS_0571	0.0	1.0	True
EHA00531_bin.1_CDS_0572	0.0	1.0	True
EHA00531_bin.1_CDS_0573	0.0	1.023	True
EHA00531_bin.1_CDS_0574	0.0	1.0	True
EHA00531_bin.1_CDS_0575	0.0	1.0	True
EHA00531_bin.1_CDS_0576	0.0	1.0	True
EHA00531_bin.1_CDS_0577	0.0	1.0	True
EHA00531_bin.1_CDS_0578	0.0	1.0	True
EHA00531_bin.1_CDS_0580	0.0	1.0	True
EHA00531_bin.1_CDS_0581	0.0	1.0	True
EHA00531_bin.1_CDS_0582	0.0	1.011	True
EHA00531_bin.1_CDS_0583	0.0	1.0	True
EHA00531_bin.1_CDS_0584	0.0	1.0	True
EHA00531_bin.1_CDS_0586	0.0	1.0	True
EHA00531_bin.1_CDS_0588	0.027	1.027	True
EHA00531_bin.1_CDS_0594	0.0	1.0	True
EHA00531_bin.1_CDS_0595	0.0	1.0	True
EHA00531_bin.1_CDS_0596	0.0	1.033	True
EHA00531_bin.1_CDS_0597	0.0	1.0	True
EHA00531_bin.1_CDS_0599	0.0	1.033	True
EHA00531_bin.1_CDS_0601	0.0	1.022	True
EHA00531_bin.1_CDS_0602	0.0	1.0	True
EHA00531_bin.1_CDS_0603	0.0	1.011	True
EHA00531_bin.1_CDS_0604	0.0	1.0	True
EHA00531_bin.1_CDS_0605	0.0	1.0	True
EHA00531_bin.1_CDS_0606	0.0	1.022	True
EHA00531_bin.1_CDS_0607	0.0	1.0	True
EHA00531_bin.1_CDS_0615	0.0	1.0	True
EHA00531_bin.1_CDS_0616	0.0	1.015	True
EHA00531_bin.1_CDS_0617	0.0	1.011	True
EHA00531_bin.1_CDS_0618	0.0	1.0	True
EHA00531_bin.1_CDS_0619	0.011	1.022	True
EHA00531_bin.1_CDS_0620	0.011	1.011	True
EHA00531_bin.1_CDS_0621	0.0	1.012	True
EHA00531_bin.1_CDS_0622	0.0	1.0	True
EHA00531_bin.1_CDS_0632	0.0	1.011	True
EHA00531_bin.1_CDS_0633	0.0	1.0	True
EHA00531_bin.1_CDS_0641	0.0	1.0	True
EHA00531_bin.1_CDS_0642	0.0	1.033	True
EHA00531_bin.1_CDS_0643	0.0	1.0	True
EHA00531_bin.1_CDS_0645	0.0	1.0	True
EHA00531_bin.1_CDS_0646	0.0	1.0	True
EHA00531_bin.1_CDS_0647	0.0	1.0	True
EHA00531_bin.1_CDS_0648	0.0	1.0	True
EHA00531_bin.1_CDS_0649	0.0	1.0	True
EHA00531_bin.1_CDS_0652	0.0	1.011	True
EHA00531_bin.1_CDS_0653	0.0	1.0	True
EHA00531_bin.1_CDS_0655	0.0	1.0	True
EHA00531_bin.1_CDS_0656	0.0	1.0	True
EHA00531_bin.1_CDS_0658	0.0	1.0	True
EHA00531_bin.1_CDS_0665	0.0	1.0	True
EHA00531_bin.1_CDS_0668	0.0	1.0	True
EHA00531_bin.1_CDS_0669	0.0	1.0	True
EHA00531_bin.1_CDS_0671	0.0	1.0	True
EHA00531_bin.1_CDS_0672	0.0	1.0	True
EHA00531_bin.1_CDS_0673	0.0	1.033	True
EHA00531_bin.1_CDS_0674	0.0	1.022	True
EHA00531_bin.1_CDS_0676	0.0	1.0	True
EHA00531_bin.1_CDS_0677	0.0	1.0	True
EHA00531_bin.1_CDS_0679	0.0	1.0	True
EHA00531_bin.1_CDS_0680	0.0	1.0	True
EHA00531_bin.1_CDS_0681	0.0	1.011	True
EHA00531_bin.1_CDS_0682	0.0	1.0	True
EHA00531_bin.1_CDS_0684	0.0	1.0	True
EHA00531_bin.1_CDS_0685	0.0	1.0	True
EHA00531_bin.1_CDS_0686	0.0	1.0	True
EHA00531_bin.1_CDS_0687	0.0	1.0	True
EHA00531_bin.1_CDS_0688	0.0	1.0	True
EHA00531_bin.1_CDS_0689	0.0	1.0	True
EHA00531_bin.1_CDS_0690	0.0	1.0	True
EHA00531_bin.1_CDS_0692	0.0	1.0	True
EHA00531_bin.1_CDS_0693	0.0	1.0	True
EHA00531_bin.1_CDS_0694	0.0	1.0	True
EHA00531_bin.1_CDS_0697	0.0	1.106	True
EHA00531_bin.1_CDS_0698	0.0	1.0	True
EHA00531_bin.1_CDS_0700	0.671	1.765	False
EHA00531_bin.1_CDS_0701	0.663	1.802	False
EHA00531_bin.1_CDS_0717	0.0	1.0	True
EHA00531_bin.1_CDS_0718	0.0	1.0	True
EHA00531_bin.1_CDS_0719	0.0	1.0	True
EHA00531_bin.1_CDS_0720	0.0	1.0	True
EHA00531_bin.1_CDS_0721	0.0	1.011	True
EHA00531_bin.1_CDS_0722	0.0	1.0	True
EHA00531_bin.1_CDS_0725	0.0	1.0	True
EHA00531_bin.1_CDS_0726	0.0	1.0	True
EHA00531_bin.1_CDS_0727	0.0	1.0	True
EHA00531_bin.1_CDS_0728	0.0	1.0	True
EHA00531_bin.1_CDS_0729	0.0	1.0	True
EHA00531_bin.1_CDS_0730	0.0	1.011	True
EHA00531_bin.1_CDS_0735	0.0	1.0	True
EHA00531_bin.1_CDS_0736	0.0	1.0	True
EHA00531_bin.1_CDS_0738	0.0	1.0	True
EHA00531_bin.1_CDS_0739	0.0	1.011	True
EHA00531_bin.1_CDS_0740	0.0	1.0	True
EHA00531_bin.1_CDS_0741	0.0	1.0	True
EHA00531_bin.1_CDS_0742	0.0	1.0	True
EHA00531_bin.1_CDS_0743	0.0	1.0	True
EHA00531_bin.1_CDS_0749	0.0	1.011	True
EHA00531_bin.1_CDS_0750	0.0	1.0	True
EHA00531_bin.1_CDS_0751	0.0	1.0	True
EHA00531_bin.1_CDS_0752	0.0	1.0	True
EHA00531_bin.1_CDS_0753	0.0	1.011	True
EHA00531_bin.1_CDS_0754	0.0	1.0	True
EHA00531_bin.1_CDS_0755	0.0	1.011	True
EHA00531_bin.1_CDS_0757	0.0	1.0	True
EHA00531_bin.1_CDS_0760	0.0	1.0	True
EHA00531_bin.1_CDS_0761	0.0	1.0	True
EHA00531_bin.1_CDS_0764	0.0	1.0	True
EHA00531_bin.1_CDS_0769	0.0	1.0	True
EHA00531_bin.1_CDS_0770	0.0	1.0	True
EHA00531_bin.1_CDS_0771	0.0	1.011	True
EHA00531_bin.1_CDS_0772	0.0	1.0	True
EHA00531_bin.1_CDS_0773	0.0	1.0	True
EHA00531_bin.1_CDS_0774	0.0	1.0	True
EHA00531_bin.1_CDS_0776	0.0	1.0	True
EHA00531_bin.1_CDS_0777	0.0	1.0	True
EHA00531_bin.1_CDS_0778	0.0	1.0	True
EHA00531_bin.1_CDS_0779	0.0	1.0	True
EHA00531_bin.1_CDS_0780	0.0	1.0	True
EHA00531_bin.1_CDS_0781	0.0	1.0	True
EHA00531_bin.1_CDS_0782	0.0	1.0	True
EHA00531_bin.1_CDS_0783	0.0	1.0	True
EHA00531_bin.1_CDS_0784	0.0	1.0	True
EHA00531_bin.1_CDS_0785	0.0	1.0	True
EHA00531_bin.1_CDS_0787	0.0	1.0	True
EHA00531_bin.1_CDS_0806	0.476	1.476	False
EHA00531_bin.1_CDS_0810	0.0	1.011	True
EHA00531_bin.1_CDS_0811	0.0	1.011	True
EHA00531_bin.1_CDS_0813	0.0	1.0	True
EHA00531_bin.1_CDS_0814	0.0	1.043	True
EHA00531_bin.1_CDS_0815	0.0	1.0	True
EHA00531_bin.1_CDS_0816	0.0	1.0	True
EHA00531_bin.1_CDS_0817	0.0	1.0	True
EHA00531_bin.1_CDS_0818	0.0	1.0	True
EHA00531_bin.1_CDS_0819	0.0	1.0	True
EHA00531_bin.1_CDS_0820	0.0	1.0	True
EHA00531_bin.1_CDS_0821	0.0	1.011	True
EHA00531_bin.1_CDS_0823	0.0	1.0	True
EHA00531_bin.1_CDS_0824	0.0	1.0	True
EHA00531_bin.1_CDS_0825	0.0	1.0	True
EHA00531_bin.1_CDS_0826	0.0	1.043	True
EHA00531_bin.1_CDS_0827	0.0	1.022	True
EHA00531_bin.1_CDS_0829	0.0	1.011	True
EHA00531_bin.1_CDS_0830	0.0	1.0	True
EHA00531_bin.1_CDS_0832	0.0	1.0	True
EHA00531_bin.1_CDS_0833	0.0	1.0	True
EHA00531_bin.1_CDS_0834	0.0	1.0	True
EHA00531_bin.1_CDS_0835	0.0	1.011	True
EHA00531_bin.1_CDS_0838	0.0	1.011	True
EHA00531_bin.1_CDS_0839	0.0	1.0	True
EHA00531_bin.1_CDS_0840	0.0	1.0	True
EHA00531_bin.1_CDS_0841	0.0	1.0	True
EHA00531_bin.1_CDS_0842	0.0	1.0	True
EHA00531_bin.1_CDS_0843	0.0	1.022	True
EHA00531_bin.1_CDS_0845	0.0	1.0	True
EHA00531_bin.1_CDS_0846	0.0	1.0	True
EHA00531_bin.1_CDS_0848	0.0	1.0	True
EHA00531_bin.1_CDS_0849	0.0	1.011	True
EHA00531_bin.1_CDS_0850	0.0	1.0	True
EHA00531_bin.1_CDS_0854	0.0	1.0	True
EHA00531_bin.1_CDS_0860	0.0	1.011	True
EHA00531_bin.1_CDS_0861	0.0	1.0	True
EHA00531_bin.1_CDS_0862	0.0	1.0	True
EHA00531_bin.1_CDS_0866	0.0	1.0	True
EHA00531_bin.1_CDS_0869	0.0	1.0	True
EHA00531_bin.1_CDS_0870	0.0	1.022	True
EHA00531_bin.1_CDS_0871	0.0	1.0	True
