#soft_core=0.95
#duplication_margin=0.05
Genome_name	Contigs	Genes	Fragmented_genes	Families	Families_with_fragments	Families_in_multicopy	Soft_core_families	Soft_core_genes	Exact_core_families	Exact_core_genes	Persistent_genes	Persistent_fragmented_genes	Persistent_families	Persistent_families_with_fragments	Persistent_families_in_multicopy	Shell_genes	Shell_fragmented_genes	Shell_families	Shell_families_with_fragments	Shell_families_in_multicopy	Cloud_genes	Cloud_fragmented_genes	Cloud_families	Cloud_families_with_fragments	Cloud_families_in_multicopy	Completeness	Contamination	Fragmentation	RGPs	Spots	Modules
EHA03351_bin.43	130	3627	111	3565	82	56	2121	2151	158	158	2837	57	2795	38	37	695	48	678	38	16	95	6	92	6	3	98.07	0.75	2.3	60	14	74
EHA03376_bin.12	64	4280	55	4237	50	38	2115	2138	158	160	2821	16	2794	14	22	697	22	686	21	11	762	17	757	15	5	98.04	0.25	1.18	83	57	96
EHA03390_bin.20	107	3905	98	3852	87	41	2085	2110	158	158	2753	49	2722	44	23	606	32	589	29	13	546	17	541	14	5	95.51	0.32	2.26	77	42	81
EHA04575_bin.10	435	3316	244	3257	221	52	2064	2101	158	158	2683	169	2638	155	38	522	68	508	59	14	111	7	111	7	0	92.56	0.78	6.79	37	3	59
EHA04588_bin.13	485	3316	263	3239	238	69	1988	2029	158	158	2637	188	2583	176	47	535	65	513	53	21	144	10	143	9	1	90.63	1.28	7.35	45	0	49
EHA04680_bin.8	97	4171	67	4109	54	53	2124	2149	158	158	2838	14	2808	11	25	664	41	639	32	21	669	12	662	11	7	98.53	0.18	1.31	85	46	102
EHA04696_bin.132	110	3795	65	3706	54	82	2123	2179	158	158	2840	30	2775	26	61	573	30	553	23	17	382	5	378	5	4	97.37	1.49	1.46	66	31	82
EHA05078_bin.42	112	3755	63	3672	53	76	2115	2172	158	158	2831	30	2765	27	60	567	30	553	23	13	357	3	354	3	3	97.02	1.46	1.44	65	32	81
EHA05111_bin.128	145	3503	94	3444	80	57	2106	2146	158	162	2778	62	2727	51	49	640	27	632	24	8	85	5	85	5	0	95.68	1.14	2.32	55	18	61
GCA_003464145.1_ASM346414v1_genomic	127	4846	700	4356	431	423	2121	2337	158	171	3124	489	2831	290	262	1369	182	1179	117	154	353	29	346	24	7	99.33	8.42	9.89	98	39	130
GCA_008679285.1_ASM867928v1_genomic	21	3908	142	3790	92	85	2049	2121	158	168	2801	96	2703	57	68	846	32	830	24	14	261	14	257	11	3	94.84	1.71	2.43	52	44	87
GCA_008679655.1_ASM867965v1_genomic	11	4109	97	3988	75	78	2083	2128	158	160	2807	38	2742	29	39	765	41	724	34	32	537	18	522	12	7	96.21	0.6	1.88	79	74	92
GCA_008680675.1_ASM868067v1_genomic	6	4048	125	3879	83	106	2123	2169	158	159	2898	38	2831	28	41	900	69	815	45	56	250	18	233	10	9	99.33	0.57	2.14	74	69	87
GCA_009774835.1_ASM977483v1_genomic	62	3984	56	3930	43	39	2122	2150	158	158	2833	20	2795	14	23	688	27	676	21	12	463	9	459	8	4	98.07	0.21	1.09	84	44	82
GCA_014870645.1_ASM1487064v1_genomic	53	3695	49	3643	40	42	2118	2141	158	158	2842	22	2808	17	26	686	22	669	19	15	167	5	166	4	1	98.53	0.28	1.1	59	42	79
GCA_015060925.1_ASM1506092v1_genomic	41	2086	11	2053	9	20	593	594	158	159	683	1	682	1	1	14	2	14	2	0	1389	8	1357	6	19	23.93	0.04	0.44	78	36	2
GCA_020809955.1_ASM2080995v1_genomic	130	3496	63	3458	48	33	2090	2114	158	158	2772	35	2741	27	26	668	25	661	18	7	56	3	56	3	0	96.18	0.39	1.39	59	26	59
GCA_022771305.1_ASM2277130v1_genomic	55	3764	49	3711	39	37	2116	2145	158	158	2847	21	2810	18	22	717	23	705	18	12	200	5	196	3	3	98.6	0.11	1.05	58	35	81
GCA_022774455.1_ASM2277445v1_genomic	60	3736	47	3679	38	44	2113	2143	158	158	2862	23	2822	19	28	830	23	813	18	16	44	1	44	1	0	99.02	0.14	1.03	66	41	79
GCA_022776965.1_ASM2277696v1_genomic	44	3710	63	3666	48	39	2113	2134	158	159	2815	26	2787	20	24	723	30	711	24	12	172	7	168	4	3	97.79	0.28	1.31	63	44	72
GCA_022784765.1_ASM2278476v1_genomic	55	3963	78	3905	59	54	2120	2147	158	159	2851	41	2815	28	32	848	27	829	22	19	264	10	261	9	3	98.77	0.57	1.51	73	49	85
GCA_025757725.1_ASM2575772v1_genomic	1	3948	47	3835	35	85	2123	2157	158	158	2882	23	2831	16	38	856	23	814	18	34	210	1	190	1	13	99.33	0.39	0.91	64	62	87
GCA_030839525.1_ASM3083952v1_genomic	417	3618	278	3546	246	70	2067	2099	158	161	2739	200	2693	181	45	662	66	638	54	23	217	12	215	11	2	94.49	1.1	6.94	67	10	60
GCA_030839725.1_ASM3083972v1_genomic	238	3492	154	3442	132	47	2010	2037	158	158	2633	107	2596	92	34	667	44	654	37	13	192	3	192	3	0	91.09	0.71	3.83	60	11	65
GCA_030841945.1_ASM3084194v1_genomic	304	3338	166	3294	146	40	2075	2100	158	159	2715	122	2681	109	31	536	41	526	34	9	87	3	87	3	0	94.07	0.57	4.43	45	8	54
GCA_030842445.1_ASM3084244v1_genomic	46	3913	45	3854	34	42	2114	2146	158	159	2874	17	2826	13	31	835	25	824	18	11	204	3	204	3	0	99.16	0.11	0.88	61	44	100
GCA_030842705.1_ASM3084270v1_genomic	233	3425	133	3382	117	38	2090	2116	158	158	2775	99	2738	87	32	580	31	574	27	6	70	3	70	3	0	96.07	0.5	3.46	52	15	55
GCA_030843875.1_ASM3084387v1_genomic	475	3577	309	3524	288	50	2044	2074	158	159	2671	216	2635	206	33	671	84	654	73	17	235	9	235	9	0	92.46	0.71	8.17	61	5	70
GCA_030844325.1_ASM3084432v1_genomic	398	3304	227	3259	211	42	2034	2062	158	159	2679	177	2640	167	36	506	47	500	41	6	119	3	119	3	0	92.63	0.89	6.47	45	12	55
GCA_030844705.1_ASM3084470v1_genomic	49	3737	49	3693	41	34	2119	2144	158	158	2838	23	2803	21	25	763	22	755	17	8	136	4	135	3	1	98.35	0.18	1.11	53	38	82
GCA_958371025.1_SRR17798044_bin.10_MetaWRAP_v1.3_MAG_genomic	77	3735	55	3679	39	46	2123	2150	158	158	2864	27	2822	17	32	653	25	640	20	13	218	3	217	2	1	99.02	0.32	1.06	70	39	74
GCA_958404515.1_ERR9492504_bin.8_MetaWRAP_v1.3_MAG_genomic	61	4128	72	4060	57	54	2106	2127	158	158	2786	14	2756	12	19	537	32	512	23	23	805	26	792	22	12	96.7	0.18	1.4	92	55	83
GCA_958413795.1_ERR9578301_bin.6_MetaWRAP_v1.3_MAG_genomic	48	4012	60	3960	48	40	2122	2150	158	160	2853	24	2816	19	25	779	28	766	21	13	380	8	378	8	2	98.81	0.25	1.21	79	57	94
GCA_958416015.1_ERR10960865_bin.15_MetaWRAP_v1.3_MAG_genomic	497	2977	86	2954	79	23	1944	1958	158	158	2435	49	2417	44	18	430	29	425	27	5	112	8	112	8	0	84.81	0.25	2.67	40	1	48
GCA_958416885.1_ERR9354025_bin.52_MetaWRAP_v1.3_MAG_genomic	58	3800	69	3738	52	53	2123	2153	158	160	2858	27	2820	21	29	757	35	736	26	21	185	7	182	5	3	98.95	0.39	1.39	74	52	68
GCA_958422645.1_ERR9762696_bin.1_MetaWRAP_v1.3_MAG_genomic	453	3304	271	3242	242	56	1989	2028	158	158	2583	201	2534	180	43	553	61	541	54	12	168	9	167	8	1	88.91	1.03	7.46	56	2	53
GCA_958427815.1_ERR9762699_bin.64_MetaWRAP_v1.3_MAG_genomic	130	3735	56	3687	43	46	2117	2144	158	158	2831	34	2794	27	35	749	18	739	13	10	155	4	154	3	1	98.04	0.46	1.17	60	25	75
GCA_958432605.1_SRR22541667_bin.32_MetaWRAP_v1.3_MAG_genomic	73	3639	58	3589	45	43	2111	2139	158	159	2831	34	2792	26	32	669	19	659	15	10	139	5	138	4	1	97.96	0.43	1.25	57	34	72
GCA_958435695.1_SRR18940298_bin.11_MetaWRAP_v1.3_MAG_genomic	71	3755	66	3702	50	45	2116	2139	158	158	2848	33	2814	27	27	855	31	837	21	17	52	2	51	2	1	98.74	0.21	1.35	65	40	86
GCA_958440685.1_ERR4918969_bin.9_MetaWRAP_v1.3_MAG_genomic	51	3710	50	3650	36	49	2124	2156	158	158	2861	26	2819	17	31	717	23	699	18	18	132	1	132	1	0	98.91	0.36	0.99	69	44	77
GCA_958445425.1_ERR9610044_bin.23_MetaWRAP_v1.3_MAG_genomic	91	3774	78	3722	67	44	2112	2137	158	158	2846	42	2808	36	31	739	30	727	26	11	189	6	187	5	2	98.53	0.43	1.8	66	38	79
GCA_958447325.1_ERR4316497_bin.13_MetaWRAP_v1.3_MAG_genomic	66	3829	47	3754	36	56	2120	2159	158	158	2863	21	2815	15	33	650	21	627	17	19	316	5	312	4	4	98.77	0.39	0.96	74	51	74
GCA_959023275.1_DRR221348_bin.3_MetaWRAP_v1.3_MAG_genomic	54	3939	54	3885	43	47	2123	2153	158	159	2859	31	2819	23	33	794	22	780	19	14	286	1	286	1	0	98.91	0.5	1.11	77	52	84
GCA_959026225.1_SRR13494490_bin.7_MetaWRAP_v1.3_MAG_genomic	77	3777	66	3714	54	48	2122	2155	158	161	2870	32	2828	24	31	754	30	733	26	17	153	4	153	4	0	99.23	0.43	1.45	67	39	73
GCA_959026965.1_SRR20881986_bin.33_MetaWRAP_v1.3_MAG_genomic	301	3238	72	3187	61	41	2043	2071	158	159	2655	40	2616	33	29	462	29	452	26	10	121	3	119	2	2	91.79	0.36	1.91	46	9	47
GCA_959028115.1_ERR10149225_bin.6_MetaWRAP_v1.3_MAG_genomic	54	3840	50	3783	41	42	2113	2143	158	161	2846	21	2811	16	24	827	27	805	23	18	167	2	167	2	0	98.63	0.21	1.08	76	48	78
GCA_959600655.1_SRR16280015_bin.44_MetaWRAP_v1.3_MAG_genomic	47	3667	55	3613	40	45	2120	2147	158	158	2842	22	2804	15	29	699	32	683	24	16	126	1	126	1	0	98.39	0.28	1.11	67	41	74
GCA_959606485.1_SRR16244384_bin.5_MetaWRAP_v1.3_MAG_genomic	50	3722	76	3669	56	43	2117	2145	158	159	2852	35	2814	27	29	755	36	741	25	13	115	5	114	4	1	98.74	0.39	1.53	58	40	76
GCF_001405775.1_13414_6_6_genomic	29	4103	54	4033	42	58	2121	2150	158	158	2870	22	2823	17	35	970	28	949	22	21	263	4	261	3	2	99.05	0.28	1.04	66	55	108
GCF_001405935.1_13414_6_56_genomic	23	4215	65	4137	49	60	2122	2151	158	158	2865	20	2819	15	30	838	31	810	24	26	512	14	508	10	4	98.91	0.21	1.18	72	64	91
GCF_001406015.1_14207_7_71_genomic	45	4238	80	4124	60	79	2117	2150	158	158	2829	30	2785	22	28	737	34	677	26	41	672	16	662	12	10	97.72	0.43	1.45	81	61	97
GCF_002206325.1_ASM220632v2_genomic	7	4127	163	3879	102	167	2123	2196	158	159	2980	89	2841	53	87	802	56	730	35	54	345	18	308	14	26	99.68	2.13	2.63	68	63	78
GCF_003437495.1_ASM343749v1_genomic	52	4373	60	4261	41	89	2124	2158	158	158	2888	20	2840	14	32	1203	32	1141	20	55	282	8	280	7	2	99.65	0.21	0.96	79	59	123
GCF_003439415.1_ASM343941v1_genomic	61	4404	63	4279	46	108	2124	2155	158	158	2881	21	2837	14	33	1289	38	1216	28	67	234	4	226	4	8	99.54	0.28	1.08	86	51	125
GCF_003459965.1_ASM345996v1_genomic	45	4257	71	4182	50	61	2123	2154	158	161	2865	27	2822	17	30	983	41	952	31	30	409	3	408	2	1	99.02	0.36	1.2	82	61	113
GCF_003464475.1_ASM346447v1_genomic	48	4346	48	4277	39	52	2124	2153	158	158	2887	17	2843	14	28	1117	26	1093	21	23	342	5	341	4	1	99.75	0.14	0.91	68	51	120
GCF_003467575.1_ASM346757v1_genomic	37	4316	73	4237	52	73	2124	2150	158	159	2879	18	2842	12	31	1111	51	1070	37	41	326	4	325	3	1	99.72	0.25	1.23	78	56	110
GCF_003468605.1_ASM346860v1_genomic	60	4087	81	3982	55	82	2124	2151	158	158	2899	31	2845	19	34	961	50	910	36	48	227	0	227	0	0	99.82	0.36	1.38	67	41	100
GCF_003468915.1_ASM346891v1_genomic	51	4196	63	4121	46	66	2124	2151	158	159	2881	21	2842	15	33	996	38	961	27	32	319	4	318	4	1	99.72	0.32	1.12	76	53	102
GCF_003469235.1_ASM346923v1_genomic	99	4438	99	4322	66	92	2124	2157	158	159	2890	41	2841	26	39	1202	52	1138	34	50	346	6	343	6	3	99.68	0.53	1.53	88	49	118
GCF_003469715.1_ASM346971v1_genomic	48	4523	59	4330	40	156	2124	2153	158	158	2884	22	2840	16	34	1277	30	1169	18	81	362	7	321	6	41	99.65	0.32	0.92	80	55	129
GCF_003469775.1_ASM346977v1_genomic	314	4101	128	4019	104	70	2111	2143	158	158	2847	54	2799	42	38	922	57	892	47	28	332	17	328	15	4	98.21	0.6	2.59	84	11	110
GCF_003471825.1_ASM347182v1_genomic	74	4552	86	4371	56	124	2124	2157	158	158	2887	24	2841	17	31	1298	54	1177	33	80	367	8	353	6	13	99.68	0.21	1.28	88	47	138
GCF_003472045.1_ASM347204v1_genomic	48	4074	70	4004	48	56	2124	2154	158	158	2896	28	2846	17	36	924	38	906	28	18	254	4	252	3	2	99.86	0.39	1.2	61	43	100
GCF_003474765.1_ASM347476v1_genomic	57	4147	68	4002	53	120	2124	2158	158	160	2878	33	2830	23	37	981	34	884	29	83	288	1	288	1	0	99.3	0.5	1.32	88	64	89
GCF_003475725.1_ASM347572v1_genomic	83	4384	90	4263	65	104	2124	2155	158	159	2889	30	2843	22	35	1162	53	1092	38	64	333	7	328	5	5	99.75	0.36	1.52	94	40	111
GCF_012843465.1_ASM1284346v1_genomic	35	4341	127	4210	93	110	2124	2176	158	159	2896	62	2826	43	52	923	55	868	43	53	522	10	516	7	5	99.16	1.0	2.21	66	50	98
GCF_018288975.1_ASM1828897v1_genomic	2	4440	72	4257	55	140	2124	2159	158	158	2889	22	2836	15	38	1020	33	929	26	86	531	17	492	14	16	99.51	0.36	1.29	72	69	114
GCF_018289335.1_ASM1828933v1_genomic	3	4506	162	4312	110	174	2124	2171	158	160	2902	60	2828	40	57	1095	79	999	55	94	509	23	485	15	23	99.23	1.1	2.55	66	64	124
GCF_018292145.1_ASM1829214v1_genomic	1	4168	46	4074	35	71	2122	2160	158	158	2894	18	2840	14	34	1085	25	1047	18	35	189	3	187	3	2	99.65	0.21	0.86	67	67	113
GCF_018587995.1_ASM1858799v1_genomic	80	4184	73	4092	58	74	2124	2159	158	159	2872	25	2820	17	35	971	36	934	29	36	341	12	338	12	3	98.95	0.32	1.42	78	49	114
GCF_018784125.1_ASM1878412v1_genomic	90	4122	97	4003	71	101	2124	2158	158	158	2869	35	2820	27	33	922	42	865	30	56	331	20	318	14	12	98.95	0.36	1.77	72	44	99
GCF_018784195.1_ASM1878419v1_genomic	187	4395	74	4297	55	76	2124	2158	158	158	2888	25	2839	19	33	1120	41	1074	29	41	387	8	384	7	2	99.61	0.32	1.28	94	48	135
GCF_019733675.1_ASM1973367v1_genomic	29	4519	91	4411	61	91	2124	2161	158	161	2895	33	2846	21	34	1117	49	1059	32	56	507	9	506	8	1	99.86	0.46	1.38	73	51	121
GCF_020687325.1_ASM2068732v1_genomic	86	4230	83	4156	58	57	2117	2154	158	160	2866	30	2822	21	29	904	44	877	30	25	460	9	457	7	3	99.02	0.28	1.4	82	55	105
GCF_022835335.1_ASM2283533v1_genomic	26	3914	58	3830	42	61	2047	2084	158	158	2776	29	2721	22	36	956	24	931	16	21	182	5	178	4	4	95.47	0.32	1.1	62	56	105
GCF_022835355.1_ASM2283535v1_genomic	29	3910	58	3827	42	60	2047	2084	158	158	2773	28	2719	21	35	955	25	930	17	21	182	5	178	4	4	95.4	0.32	1.1	61	54	105
GCF_029369685.1_ASM2936968v1_genomic	2	4538	79	4307	59	140	2123	2159	158	160	2883	23	2831	17	36	1183	44	1036	35	91	472	12	440	7	13	99.33	0.43	1.37	81	80	122
