representative_RGP	nb_spots	mod_list	RGP_list
EHA00531_bin.1^_90_RGP_0	0	module_2	EHA00531_bin.1^_90_RGP_0,VSOM01000003.1_RGP_1,CATZPJ010000336.1_RGP_0,CAUADP010000080.1_RGP_0,CAUADP010000096.1_RGP_0,CAUCSL010000057.1_RGP_0,CAUGMZ010000045.1_RGP_0,CAUGMZ010000019.1_RGP_0,NZ_WQNY01000065.1_RGP_0
EHA00531_bin.1^_139_RGP_0	0	module_54,module_55,module_56	EHA00531_bin.1^_139_RGP_0
EHA00531_bin.1^_163_RGP_1	1	module_70	EHA00531_bin.1^_163_RGP_1,EHA00539_bin.6^_147_RGP_0,EHA00726_bin.13^_66_RGP_4,EHA01281_bin.18^_96_RGP_1,EHA01845_bin.103^_121_RGP_0,EHA03288_bin.14^_84_RGP_0,EHA03351_bin.43^_74_RGP_0,EHA04588_bin.13^_332_RGP_0,EHA04680_bin.8^_91_RGP_2,EHA05111_bin.128^_83_RGP_0,NANL01000007.1_RGP_6,NAKS01000003.1_RGP_10,VSOM01000028.1_RGP_2,JALFMD010000037.1_RGP_4,JALFGY010000015.1_RGP_1,CP107196.1_RGP_49,JAUURM010000003.1_RGP_3,JAUUQX010000094.1_RGP_0,CATYVK010000001.1_RGP_7,CATZCB010000011.1_RGP_1,CAUADP010000042.1_RGP_0,CAUBHL010000010.1_RGP_2,CAUCAE010000002.1_RGP_4,CAUCZP010000029.1_RGP_0,NZ_CYYK01000009.1_RGP_4,NZ_QSQS01000005.1_RGP_3,NZ_QSVO01000006.1_RGP_3,NZ_QRXK01000009.1_RGP_4,NZ_QRYZ01000008.1_RGP_3,NZ_QSIP01000008.1_RGP_3,NZ_QSLF01000006.1_RGP_3,NZ_QRKE01000006.1_RGP_3,NZ_QRKR01000006.1_RGP_4,NZ_JABAFE010000004.1_RGP_6,NZ_CP072210.1_RGP_52,NZ_CP072254.1_RGP_55,NZ_WQNZ01000159.1_RGP_3,NZ_JAASIM010000012.1_RGP_1,NZ_BQOC01000006.1_RGP_1,NZ_BQOD01000005.1_RGP_2,NZ_CP120353.1_RGP_57
EHA00531_bin.1^_27_RGP_0	1	module_7	EHA00531_bin.1^_27_RGP_0,JALFYO010000029.1_RGP_0,JAUUMF010000290.1_RGP_0,JAUUOT010000148.1_RGP_0,CATZCB010000002.1_RGP_1,CAUFBL010000004.1_RGP_1,CAUFLA010000052.1_RGP_0,CAUFQX010000010.1_RGP_0,NZ_QRPA01000013.1_RGP_1
EHA00531_bin.1^_47_RGP_0	2	module_15	EHA00531_bin.1^_47_RGP_0,EHA04588_bin.13^_379_RGP_0,NAKS01000003.1_RGP_14,JALFGY010000013.1_RGP_1,JALFYO010000015.1_RGP_1,JAUUOT010000005.1_RGP_0,CATZCB010000054.1_RGP_0,CAUFBL010000019.1_RGP_1,NZ_QRXK01000002.1_RGP_7
EHA00531_bin.1^_133_RGP_0	1	module_46	EHA00531_bin.1^_133_RGP_0,EHA04680_bin.8^_24_RGP_1,EHA04696_bin.132^_52_RGP_0,EHA05078_bin.42^_18_RGP_0,NAKS01000002.1_RGP_16,VSOM01000049.1_RGP_0,JALFGY010000014.1_RGP_0,JALFYO010000012.1_RGP_1,CATYVK010000005.1_RGP_2,CATZAC010000183.1_RGP_0,CATZCB010000007.1_RGP_1,CAUFBL010000014.1_RGP_1,CAUFQX010000002.1_RGP_1,NZ_CZBM01000015.1_RGP_0,NZ_QRXK01000005.1_RGP_1,NZ_QRPA01000005.1_RGP_2,NZ_JAJEQK010000001.1_RGP_3,NZ_CP120353.1_RGP_62
EHA00531_bin.1^_134_RGP_0	2	module_47	EHA00531_bin.1^_134_RGP_0,EHA04588_bin.13^_185_RGP_0,NAKS01000006.1_RGP_12,JALFGY010000032.1_RGP_2,JALFYO010000031.1_RGP_1,JAUUNW010000120.1_RGP_0,CAUCZP010000003.1_RGP_2,CAUFQX010000035.1_RGP_0,NZ_CYXP01000013.1_RGP_2,NZ_QRPA01000004.1_RGP_3
EHA00531_bin.1^_170_RGP_1	1	module_73	EHA00531_bin.1^_170_RGP_1,CP107196.1_RGP_23,JAUUMF010000034.1_RGP_0,JAUUOT010000107.1_RGP_0,CATZCB010000017.1_RGP_1,CAUADP010000048.1_RGP_0,NZ_CZBM01000001.1_RGP_3,NZ_QSHF01000010.1_RGP_1,NZ_QSJN01000001.1_RGP_4,NZ_QSIV01000010.1_RGP_1,NZ_QRPY01000015.1_RGP_2,NZ_JABAFE010000001.1_RGP_5,NZ_JAJEQK010000004.1_RGP_2
EHA00531_bin.1^_138_RGP_0	0	module_49,module_48,module_50,module_51,module_52,module_53	EHA00531_bin.1^_138_RGP_0
EHA00531_bin.1^_142_RGP_0	1	module_59	EHA00531_bin.1^_142_RGP_0,EHA00726_bin.13^_31_RGP_0,EHA00928_bin.90^_384_RGP_0,EHA01202_bin.66^_18_RGP_0,EHA01281_bin.18^_105_RGP_0,EHA01845_bin.103^_63_RGP_1,EHA03288_bin.14^_17_RGP_0,EHA03390_bin.20^_51_RGP_1,EHA04575_bin.10^_243_RGP_0,EHA04680_bin.8^_82_RGP_1,EHA04696_bin.132^_70_RGP_0,EHA05078_bin.42^_78_RGP_0,EHA05111_bin.128^_42_RGP_1,QSEH01000014.1_RGP_1,NANL01000009.1_RGP_4,NAKS01000004.1_RGP_5,VSOM01000017.1_RGP_0,WGVK01000025.1_RGP_0,DYUW01000039.1_RGP_0,JALFMD010000023.1_RGP_0,JALFGY010000038.1_RGP_0,CP107196.1_RGP_48,JAUUSL010000008.1_RGP_0,JAUURM010000017.1_RGP_0,JAUUQX010000018.1_RGP_0,JAUUOT010000097.1_RGP_0,CATXLD010000011.1_RGP_0,CAUADP010000033.1_RGP_0,CAUAVI010000007.1_RGP_0,CAUBHL010000007.1_RGP_0,CAUCAE010000021.1_RGP_0,CAUCZP010000017.1_RGP_0,CAUGMZ010000021.1_RGP_0,CAUHJC010000008.1_RGP_0,NZ_CYYK01000004.1_RGP_1,NZ_NJFM02000001.1_RGP_52,NZ_QSQS01000015.1_RGP_0,NZ_QSVO01000003.1_RGP_2,NZ_QRYZ01000003.1_RGP_1,NZ_QSHF01000004.1_RGP_1,NZ_QSJN01000005.1_RGP_1,NZ_QSIV01000006.1_RGP_1,NZ_QSLF01000005.1_RGP_1,NZ_QRKE01000014.1_RGP_0,NZ_QRPY01000003.1_RGP_1,NZ_JABAFE010000005.1_RGP_2,NZ_CP072210.1_RGP_51,NZ_CP072231.1_RGP_56,NZ_CP072254.1_RGP_58,NZ_JAFBJB010000004.1_RGP_1,NZ_WQNZ01000018.1_RGP_1,NZ_JAJEQK010000003.1_RGP_1,NZ_BQOC01000008.1_RGP_0,NZ_BQOD01000008.1_RGP_0
EHA00531_bin.1^_189_RGP_0	0	module_81	EHA00531_bin.1^_189_RGP_0,EHA01202_bin.66^_8_RGP_0,EHA01958_bin.190^_139_RGP_0,EHA04588_bin.13^_376_RGP_0,QSEH01000052.1_RGP_0,JALFMD010000003.1_RGP_1,JALFYO010000033.1_RGP_1,JAUUMF010000013.1_RGP_0,JAUUOT010000276.1_RGP_0,CATXLD010000060.1_RGP_0,CAUFLA010000029.1_RGP_0,CAUFNR010000197.1_RGP_0,CAUFQX010000021.1_RGP_1,NZ_QRXK01000013.1_RGP_0,NZ_QRPA01000013.1_RGP_0,NZ_JAJEQK010000041.1_RGP_0
EHA00531_bin.1^_84_RGP_1	1	module_26	EHA00531_bin.1^_84_RGP_1,EHA00539_bin.6^_132_RGP_0,EHA00726_bin.13^_12_RGP_5,EHA03376_bin.12^_1_RGP_2,EHA04588_bin.13^_395_RGP_0,QSEH01000030.1_RGP_2,NAMT01000002.1_RGP_9,NAKS01000006.1_RGP_9,DYUW01000008.1_RGP_1,JALFYO010000043.1_RGP_1,JAUUMF010000068.1_RGP_0,CATYBK010000023.1_RGP_2,CATYVK010000020.1_RGP_2,CATZCB010000052.1_RGP_0,CAUBHL010000034.1_RGP_1,CAUCZP010000033.1_RGP_1,CAUFBL010000038.1_RGP_1,CAUFLA010000034.1_RGP_1,CAUFQX010000048.1_RGP_0,NZ_CYXP01000005.1_RGP_2,NZ_CZBM01000002.1_RGP_5,NZ_QSQS01000002.1_RGP_7,NZ_QSVO01000001.1_RGP_6,NZ_QRXK01000003.1_RGP_7,NZ_QSLF01000002.1_RGP_7,NZ_QRKE01000002.1_RGP_6,NZ_QRPA01000022.1_RGP_2,NZ_WQNZ01000170.1_RGP_2,NZ_JAASIM010000006.1_RGP_2,NZ_JAJEQK010000018.1_RGP_3,NZ_BQOC01000002.1_RGP_6,NZ_BQOD01000002.1_RGP_6,NZ_CP120353.1_RGP_51
EHA00531_bin.1^_98_RGP_0	0	module_30	EHA00531_bin.1^_98_RGP_0,QSEH01000012.1_RGP_0,CAUCSL010000033.1_RGP_0,NZ_QSQS01000022.1_RGP_0
EHA00531_bin.1^_130_RGP_0	2	module_44,module_45	EHA00531_bin.1^_130_RGP_0,EHA00726_bin.13^_14_RGP_0,EHA01958_bin.190^_191_RGP_0,EHA03161_bin.52^_14_RGP_0,EHA03288_bin.14^_34_RGP_0,EHA03349_bin.40^_364_RGP_0,QSEH01000028.1_RGP_1,NAKS01000002.1_RGP_4,WGVK01000026.1_RGP_0,DYUW01000071.1_RGP_0,JALFBZ010000003.1_RGP_0,JALFMD010000005.1_RGP_0,JALFGY010000023.1_RGP_0,CP107196.1_RGP_11,JAUULV010000112.1_RGP_0,JAUURM010000024.1_RGP_0,JAUUNC010000026.1_RGP_0,CATZCB010000043.1_RGP_0,CAUADP010000016.1_RGP_0,CAUAVI010000041.1_RGP_0,CAUBHL010000027.1_RGP_0,CAUCAE010000003.1_RGP_3,CAUGMZ010000025.1_RGP_0,CAUHJC010000021.1_RGP_0,NZ_CYYK01000002.1_RGP_3,NZ_QSQS01000019.1_RGP_0,NZ_QSVO01000025.1_RGP_0,NZ_QRYZ01000015.1_RGP_0,NZ_QSHF01000016.1_RGP_0,NZ_QSIP01000019.1_RGP_0,NZ_QSJN01000019.1_RGP_1,NZ_QSIV01000032.1_RGP_0,NZ_QSLF01000021.1_RGP_0,NZ_QRKE01000022.1_RGP_0,NZ_QRKR01000018.1_RGP_0,NZ_QRPY01000030.1_RGP_0,NZ_JABAFE010000020.1_RGP_0,NZ_CP072210.1_RGP_14,NZ_CP072231.1_RGP_13,NZ_CP072254.1_RGP_15,NZ_JAFBJB010000006.1_RGP_0,NZ_WQNZ01000055.1_RGP_0,NZ_JAJEQK010000027.1_RGP_0,NZ_BQOC01000001.1_RGP_8,NZ_BQOD01000001.1_RGP_8
EHA00531_bin.1^_143_RGP_0	2	module_60	EHA00531_bin.1^_143_RGP_0,EHA00928_bin.90^_249_RGP_0,EHA02500_bin.116^_14_RGP_1,EHA03376_bin.12^_39_RGP_0,NANL01000009.1_RGP_1,NAKS01000003.1_RGP_8,JALFGY010000026.1_RGP_1,JALFYO010000020.1_RGP_2,JAUUOT010000145.1_RGP_0,CATZCB010000008.1_RGP_2,CAUFBL010000015.1_RGP_1,CAUHJC010000010.1_RGP_1,NZ_NJFM02000001.1_RGP_34,NZ_QRXK01000015.1_RGP_2,NZ_JAASIM010000011.1_RGP_1,NZ_JAJEQK010000013.1_RGP_1,NZ_CP120353.1_RGP_49
EHA00531_bin.1^_78_RGP_0	1	module_25	EHA00531_bin.1^_78_RGP_0,EHA03390_bin.20^_15_RGP_2,EHA04588_bin.13^_192_RGP_0,EHA04680_bin.8^_91_RGP_3,EHA04696_bin.132^_26_RGP_0,EHA05078_bin.42^_31_RGP_0,NAMT01000011.1_RGP_13,JAUUMF010000002.1_RGP_0,JAUUOT010000042.1_RGP_0,CATYVK010000001.1_RGP_4,CATZCB010000023.1_RGP_0,NZ_JAJEQK010000034.1_RGP_0
EHA00531_bin.1^_33_RGP_0	1	module_8	EHA00531_bin.1^_33_RGP_0,EHA00928_bin.90^_594_RGP_0,EHA02500_bin.116^_197_RGP_0,EHA03390_bin.20^_67_RGP_0,EHA04588_bin.13^_308_RGP_0,EHA04680_bin.8^_81_RGP_0,EHA04696_bin.132^_37_RGP_0,EHA05078_bin.42^_65_RGP_0,NAMT01000002.1_RGP_11,NAKS01000002.1_RGP_17,VSOM01000014.1_RGP_0,JALFGY010000008.1_RGP_0,JALFYO010000004.1_RGP_0,JAUUMF010000126.1_RGP_0,JAUUOT010000012.1_RGP_0,CATYBK010000015.1_RGP_0,CATYVK010000005.1_RGP_1,CATZCB010000015.1_RGP_0,CAUFBL010000008.1_RGP_3,CAUFLA010000011.1_RGP_0,CAUFQX010000002.1_RGP_0,NZ_QRXK01000005.1_RGP_0,NZ_QRPA01000005.1_RGP_1,NZ_JAJEQK010000001.1_RGP_2,NZ_CP120353.1_RGP_63
EHA00531_bin.1^_57_RGP_0	0	module_18	EHA00531_bin.1^_57_RGP_0,JAUUSL010000058.1_RGP_0,CAUAVI010000061.1_RGP_0,CAUBHL010000062.1_RGP_0,CAUHJC010000039.1_RGP_0
EHA00531_bin.1^_128_RGP_0	0	module_42,module_43	EHA00531_bin.1^_128_RGP_0,EHA03376_bin.12^_59_RGP_0,JAUUOT010000054.1_RGP_0,CATYVK010000042.1_RGP_0,CATZCB010000051.1_RGP_0,CAUFBL010000049.1_RGP_0,CAUFLA010000058.1_RGP_0,CAUFQX010000046.1_RGP_0,NZ_QRPA01000031.1_RGP_0
EHA00531_bin.1^_144_RGP_0	0	module_64,module_62,module_61,module_63,module_65	EHA00531_bin.1^_144_RGP_0
EHA00531_bin.1^_145_RGP_0	0	module_66	EHA00531_bin.1^_145_RGP_0,EHA04588_bin.13^_126_RGP_0,JAUUOT010000001.1_RGP_0,CATYVK010000046.1_RGP_0,CATZCB010000031.1_RGP_0
EHA00531_bin.1^_62_RGP_0	0	module_19,module_20	EHA00531_bin.1^_62_RGP_0
EHA00531_bin.1^_84_RGP_0	2	module_27	EHA00531_bin.1^_84_RGP_0,EHA00539_bin.6^_351_RGP_0,EHA00726_bin.13^_12_RGP_1,EHA00928_bin.90^_398_RGP_0,EHA00928_bin.90^_387_RGP_0,EHA01281_bin.18^_106_RGP_1,EHA01439_bin.44^_341_RGP_0,EHA01845_bin.103^_81_RGP_0,EHA02500_bin.116^_45_RGP_0,EHA03161_bin.52^_163_RGP_0,EHA03351_bin.43^_127_RGP_0,EHA03376_bin.12^_1_RGP_0,EHA04588_bin.13^_358_RGP_0,EHA04588_bin.13^_115_RGP_0,EHA05111_bin.128^_102_RGP_0,NAMT01000002.1_RGP_6,WGVK01000016.1_RGP_0,DYUW01000008.1_RGP_0,JALFMD010000052.1_RGP_1,JALFYO010000043.1_RGP_0,CP107196.1_RGP_19,JAUUQX010000058.1_RGP_1,CATXLD010000034.1_RGP_0,CATYVK010000020.1_RGP_1,CATZAC010000125.1_RGP_0,CATZCB010000035.1_RGP_1,CAUADP010000110.1_RGP_0,CAUAVI010000050.1_RGP_0,CAUBHL010000034.1_RGP_0,CAUCAE010000007.1_RGP_0,CAUCSL010000032.1_RGP_0,CAUFBL010000038.1_RGP_0,CAUFLA010000034.1_RGP_0,CAUFNR010000199.1_RGP_0,CAUGMZ010000040.1_RGP_0,CAUGMZ010000024.1_RGP_2,CAUHJC010000005.1_RGP_2,NZ_NJFM02000001.1_RGP_17,NZ_QSQS01000002.1_RGP_2,NZ_QRYZ01000023.1_RGP_0,NZ_QSIP01000024.1_RGP_0,NZ_QSLF01000002.1_RGP_2,NZ_QSLL01000154.1_RGP_0,NZ_QSLL01000162.1_RGP_0,NZ_QRKR01000021.1_RGP_0,NZ_QRPY01000037.1_RGP_1,NZ_JABAFE010000013.1_RGP_1,NZ_WQNZ01000170.1_RGP_1,NZ_JAJEQK010000018.1_RGP_1,NZ_BQOC01000002.1_RGP_2,NZ_BQOD01000002.1_RGP_2
