Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N90	auN	L50	L90	# N's per 100 kbp	# predicted rRNA genes
GCA_030282495.1	36	29	21	20	16	13	2845226	2840786	2822400	2812624	2732580	2631953	29	508932	2840786	36.59	237739	62611	283667.1	4	12	0.00	6 + 0 part
GCA_030282665.1	35	29	21	20	16	13	2845048	2841133	2822747	2813105	2733061	2632434	29	508931	2841133	36.59	237739	62611	283681.2	4	12	0.00	6 + 0 part
GCA_030282765.1	36	29	21	20	16	13	2845212	2840746	2822360	2812718	2732673	2632046	29	508904	2840746	36.59	237739	62611	283672.7	4	12	0.00	6 + 0 part
GCA_030294125.1	36	29	21	20	16	13	2845111	2840525	2822252	2812610	2732564	2631937	29	508916	2840525	36.59	237739	62611	283686.4	4	12	0.00	6 + 0 part
GCA_937995435.1	84	84	67	54	36	19	2885298	2885298	2842218	2742180	2453311	1833350	84	165090	2885298	36.61	71398	17102	78230.1	14	43	0.00	0 + 0 part
GCA_946498325.1	105	105	94	80	42	13	2719454	2719454	2681903	2582813	1963016	927951	105	117821	2719454	36.86	37556	13996	43881.9	23	69	0.00	0 + 0 part
GCA_946571095.1	74	74	71	64	42	18	2722475	2722475	2711536	2661303	2304979	1448525	74	146455	2722475	36.86	51419	18931	62477.9	17	49	0.00	0 + 0 part
GCA_958403955.1	23	23	23	22	21	15	2766760	2766760	2766760	2758031	2745521	2530205	23	393318	2766760	36.75	202063	54079	227396.9	5	15	0.00	0 + 0 part
GCF_000391765.1	10	10	7	6	6	6	2971145	2971145	2959599	2951337	2951337	2951337	10	1939181	2971145	36.70	1939181	180218	1354693.2	1	4	752.00	11 + 0 part
GCF_001280825.1	46	26	22	19	16	13	2998664	2989468	2980564	2956297	2902901	2781972	26	545249	2989468	36.56	192649	81021	267470.5	5	12	0.00	1 + 0 part
GCF_002077275.1	29	26	20	20	16	11	2850950	2848966	2832586	2832586	2756138	2577346	26	503218	2848966	36.71	265151	77136	285742.8	4	11	0.00	8 + 0 part
GCF_002077365.1	62	51	29	23	16	13	2966815	2958956	2904787	2867521	2765954	2649910	51	505721	2958956	36.63	327475	41358	277131.9	4	14	0.00	7 + 0 part
GCF_002077385.1	47	43	32	22	20	18	2921867	2918929	2894450	2823373	2786468	2701464	43	345156	2918929	36.73	180418	53474	176999.9	7	17	0.00	8 + 0 part
GCF_002077415.1	47	39	23	21	18	14	3178271	3172845	3141632	3126350	3075060	2941252	39	457650	3172845	36.59	214601	56287	270845.7	5	13	0.00	8 + 0 part
GCF_002077575.1	28	21	16	16	14	14	3042973	3037825	3028817	3028817	2987152	2987152	21	579062	3037825	36.70	318502	101297	304599.1	4	11	0.00	8 + 0 part
GCF_002213325.1	62	55	42	39	30	21	2928799	2923529	2886885	2869326	2710383	2347423	55	260006	2923529	36.70	112644	36665	113414.6	10	28	0.03	3 + 0 part
GCF_003796045.1	23	23	21	18	14	12	2650991	2650991	2644260	2622425	2557277	2480105	23	776726	2650991	36.95	164552	80222	349266.0	4	11	0.00	4 + 0 part
GCF_003796165.1	16	16	15	13	11	10	2639798	2639798	2637995	2622583	2588748	2558882	16	1072208	2639798	36.94	333719	150456	545199.1	2	8	0.00	4 + 0 part
GCF_003797335.1	19	19	18	14	12	11	2653957	2653957	2651922	2622500	2588665	2558799	19	544190	2653957	36.94	261262	150456	283891.0	4	10	0.00	4 + 0 part
GCF_003797685.1	30	30	28	24	19	15	2780443	2780443	2774110	2748213	2658154	2492320	30	545207	2780443	36.71	200734	49625	237767.9	5	16	0.00	4 + 0 part
GCF_004167465.1	25	25	19	17	14	11	2840353	2840353	2830260	2819235	2769234	2661255	25	570252	2840353	36.86	295035	98523	305986.6	4	10	0.00	7 + 1 part
GCF_004793905.1	64	46	37	32	28	21	3012096	3001070	2976106	2941674	2870939	2608004	46	242849	3001070	36.35	130630	40228	137602.1	8	24	0.00	2 + 0 part
GCF_009890965.1	17	17	16	15	14	12	2846174	2846174	2844353	2838600	2823111	2743553	17	390402	2846174	36.86	295035	170661	265298.1	4	10	24.03	6 + 1 part
GCF_009891005.1	20	20	17	16	14	12	2836921	2836921	2831625	2825279	2796588	2706194	20	410067	2836921	36.86	295251	98376	267313.6	4	11	0.00	6 + 0 part
GCF_009891025.1	22	22	20	17	16	16	2839839	2839839	2836555	2820171	2806952	2806952	22	324866	2839839	36.86	192358	102577	193221.0	7	14	3.31	6 + 1 part
GCF_009891035.1	29	29	22	19	16	14	2847778	2847778	2838500	2818821	2776461	2699645	29	410112	2847778	36.87	209198	84524	232652.4	5	13	0.35	5 + 2 part
GCF_009891125.1	22	22	17	15	12	10	2838793	2838793	2828385	2817211	2774488	2707210	22	570523	2838793	36.86	367274	94703	369624.1	3	8	0.21	3 + 3 part
GCF_009891215.1	24	24	20	17	15	13	2841579	2841579	2831540	2813919	2786021	2709602	24	427396	2841579	36.86	295501	94364	261014.6	4	11	3.24	3 + 2 part
GCF_009891225.1	25	25	21	20	18	15	2840121	2840121	2832006	2825918	2798375	2678992	25	427732	2840121	36.86	180386	81169	210938.6	6	14	3.03	4 + 2 part
GCF_009891265.1	24	24	20	18	16	14	2835827	2835827	2827165	2815986	2788149	2711262	24	409707	2835827	36.86	219508	95002	239185.3	5	12	2.22	3 + 2 part
GCF_009891325.1	25	25	19	19	18	17	2840615	2840615	2829524	2829524	2817054	2775449	25	389297	2840615	36.86	193952	94589	201600.6	6	15	0.11	6 + 1 part
GCF_009891385.1	21	21	20	18	16	13	2838834	2838834	2836922	2825882	2799152	2684050	21	406186	2838834	36.86	296675	81417	256400.6	4	12	0.07	3 + 3 part
GCF_009891465.1	318	318	140	72	21	9	2782786	2782786	2315432	1826845	987854	596916	318	149494	2782786	36.91	17346	3460	28973.2	41	185	0.00	4 + 1 part
GCF_009893065.1	24	24	22	20	18	15	2835165	2835165	2832193	2821420	2784613	2666927	24	340150	2835165	36.84	195773	86628	193259.3	6	14	1.23	6 + 1 part
GCF_009893155.1	17	17	17	14	13	11	2840320	2840320	2840320	2824044	2809344	2728980	17	570254	2840320	36.85	295035	170668	315671.4	4	9	0.04	6 + 1 part
GCF_009893165.1	20	20	18	16	13	12	2842290	2842290	2838525	2827196	2782251	2743852	20	570255	2842290	36.85	295008	97391	315383.2	4	10	0.67	6 + 1 part
GCF_009893255.1	20	20	15	14	12	11	2848230	2848230	2840721	2834968	2804658	2777116	20	570215	2848230	36.85	295035	153633	330072.9	4	9	0.81	4 + 4 part
GCF_009893305.1	19	19	16	15	13	12	2843281	2843281	2836724	2830971	2798383	2756913	19	410073	2843281	36.86	295035	171142	268818.3	4	10	0.11	7 + 1 part
GCF_009893315.1	20	20	17	15	14	12	2844430	2844430	2838635	2827379	2813294	2731809	20	570255	2844430	36.85	295035	97391	310824.8	4	10	0.04	7 + 1 part
GCF_009893425.1	21	21	18	17	15	13	2842734	2842734	2836677	2830924	2800943	2720453	21	371318	2842734	36.87	216500	98670	253408.0	5	11	10.52	6 + 1 part
GCF_009893465.1	17	17	15	14	13	11	2841044	2841044	2838247	2832494	2818340	2752268	17	570078	2841044	36.85	295035	153419	324686.6	4	9	1.13	6 + 0 part
GCF_009893485.1	20	20	18	16	15	12	2841289	2841289	2837710	2826839	2811690	2682199	20	389039	2841289	36.85	216744	98670	258367.5	5	11	0.00	6 + 1 part
GCF_009893495.1	17	17	16	14	12	11	2843823	2843823	2842294	2831038	2799622	2761223	17	570255	2843823	36.85	294693	170893	323569.7	4	9	1.58	7 + 1 part
GCF_009893665.1	20	20	16	14	13	13	2847808	2847808	2840311	2829045	2814960	2814960	20	570255	2847808	36.85	211269	98817	317899.8	4	10	0.04	6 + 1 part
GCF_009893715.1	20	20	18	16	14	12	2839106	2839106	2835995	2824729	2797056	2715703	20	389513	2839106	36.85	211257	157393	246424.0	5	11	0.60	6 + 1 part
GCF_009893725.1	20	20	17	15	14	11	2841798	2841798	2837480	2826455	2812301	2699816	20	570255	2841798	36.85	294887	170666	315015.0	4	9	0.07	6 + 1 part
GCF_009893825.1	28	28	20	19	17	13	2838925	2838925	2821492	2815739	2789291	2630999	28	389232	2838925	36.86	216488	84731	246154.4	5	12	0.04	6 + 1 part
GCF_009894005.1	25	25	21	19	16	14	2839651	2839651	2830025	2818694	2776254	2692418	25	409879	2839651	36.86	210894	81413	238062.5	5	13	0.42	3 + 4 part
GCF_009894025.1	28	28	20	18	16	13	2842855	2842855	2830771	2819597	2791269	2675801	28	371493	2842855	36.88	219795	81413	248630.9	5	12	2.57	4 + 2 part
GCF_009894085.1	34	34	23	22	19	16	2839794	2839794	2818637	2812724	2770389	2653919	34	371376	2839794	36.86	180561	81409	191199.6	6	15	2.18	3 + 2 part
GCF_009894105.1	23	23	21	19	17	14	2838313	2838313	2835772	2824363	2795077	2670333	23	409829	2838313	36.86	216481	81766	237984.9	5	13	0.49	3 + 3 part
GCF_009894165.1	25	25	19	17	15	12	2841049	2841049	2831895	2820899	2792243	2676991	25	570498	2841049	36.86	295411	83171	302319.5	4	11	0.60	6 + 1 part
GCF_012222705.1	3	3	3	3	3	2	2854928	2854928	2854928	2854928	2854928	2821796	3	2695881	2854928	37.01	2695881	2695881	2551632.4	1	1	0.00	18 + 0 part
GCF_012843775.1	34	29	25	25	21	16	2857225	2854284	2847912	2847912	2772633	2603115	29	282013	2854284	36.77	171435	54332	176014.6	7	16	0.00	2 + 1 part
GCF_014000815.1	3	3	3	3	2	2	2958768	2958768	2958768	2958768	2936689	2936689	3	2788618	2958768	36.71	2788618	2788618	2635827.8	1	1	5.07	8 + 0 part
GCF_014000825.1	2	2	2	2	2	2	2921736	2921736	2921736	2921736	2921736	2921736	2	2802351	2921736	36.70	2802351	2802351	2692722.4	1	1	7.02	8 + 0 part
GCF_014000885.1	3	3	2	2	2	2	2836600	2836600	2834843	2834843	2834843	2834843	3	2741127	2836600	36.91	2741127	2741127	2651964.7	1	1	81.08	7 + 0 part
GCF_014000925.1	2	2	2	2	2	2	2874823	2874823	2874823	2874823	2874823	2874823	2	2804350	2874823	36.73	2804350	2804350	2737332.1	1	1	5.81	7 + 0 part
GCF_015554495.1	40	40	29	25	22	16	2716026	2716026	2695970	2665754	2618742	2417336	40	548373	2716026	36.91	156525	44395	227879.3	5	17	19.62	3 + 4 part
GCF_015556025.1	33	33	26	22	19	14	2968217	2968217	2949188	2922906	2862878	2685063	33	503078	2968217	36.62	217184	64425	253516.4	5	14	21.97	3 + 4 part
GCF_017356465.1	108	108	63	50	36	20	3105395	3105395	2998915	2904612	2675762	2083783	108	317789	3105395	36.55	83474	17090	99530.8	12	42	14.75	3 + 0 part
GCF_017356535.1	36	36	26	24	22	16	3078537	3078537	3049424	3032181	3003244	2801136	36	352544	3078537	36.59	188337	57964	200462.5	6	16	27.03	3 + 0 part
GCF_017356565.1	11	11	10	9	9	8	2929511	2929511	2924614	2915723	2915723	2879715	11	1000397	2929511	36.72	623789	149666	577144.5	2	7	9.18	2 + 0 part
GCF_017356585.1	17	17	14	14	11	10	2899806	2899806	2889747	2889747	2847832	2799967	17	907731	2899806	36.64	364400	103090	468710.4	3	8	3.93	3 + 0 part
GCF_020405955.1	89	55	36	34	21	15	2932434	2918973	2880884	2866414	2647433	2405281	55	348762	2918973	36.65	190443	29683	194540.2	5	21	0.00	6 + 0 part
GCF_020668055.1	77	60	43	35	29	22	2948865	2936878	2890997	2835894	2739511	2518619	60	235052	2936878	36.69	132295	31553	121541.2	9	26	42.56	3 + 0 part
GCF_023375175.1	4	4	3	3	2	1	2813561	2813561	2810560	2810560	2794700	2759528	4	2759528	2813561	37.04	2759528	2759528	2707065.0	1	1	0.00	18 + 0 part
GCF_023375305.1	3	3	2	2	2	2	2791499	2791499	2788575	2788575	2788575	2788575	3	2735562	2791499	36.90	2735562	2735562	2681755.7	1	1	0.00	18 + 0 part
GCF_023383115.1	53	46	33	26	20	14	2685927	2681158	2651177	2597377	2506608	2309457	46	347497	2681158	36.90	165176	32264	180273.6	6	17	0.00	5 + 1 part
GCF_023383375.1	42	37	26	18	15	12	2754116	2750957	2726379	2663955	2619502	2484467	37	415200	2750957	36.90	226862	92812	226625.4	5	12	0.00	5 + 1 part
GCF_023956735.1	35	22	17	17	17	14	2912962	2907117	2896508	2896508	2896508	2790916	22	719520	2907117	36.67	243177	84741	327159.6	4	12	0.00	3 + 0 part
GCF_023956975.1	50	32	26	23	20	16	2988550	2980867	2967342	2948415	2900623	2765018	32	503648	2980867	36.52	183794	65792	251434.9	5	15	0.00	3 + 0 part
GCF_026202215.1	96	73	43	34	26	16	3055987	3044356	2976759	2912398	2772408	2389424	73	308403	3044356	36.73	137597	25751	150206.1	8	25	22.99	3 + 3 part
GCF_026203075.1	97	71	42	33	26	17	3057389	3045250	2979839	2913043	2784459	2450550	71	313755	3045250	36.73	155614	25751	151416.9	7	25	22.99	3 + 3 part
GCF_026203095.1	96	72	43	34	26	17	3057135	3045290	2979908	2913113	2769052	2435145	72	313755	3045290	36.73	137597	25751	149812.2	8	25	22.99	3 + 3 part
GCF_026203695.1	55	42	32	26	17	12	2696749	2690401	2663093	2622158	2482462	2285276	42	472648	2690401	36.91	189785	39420	239532.0	4	16	14.87	3 + 3 part
GCF_026204115.1	61	50	36	28	19	14	2796767	2791776	2755146	2700949	2574550	2394149	50	394842	2791776	36.85	165099	39421	204959.7	5	17	7.16	3 + 3 part
GCF_030179575.1	91	61	40	34	22	19	2807129	2795255	2750545	2708383	2516073	2411878	61	296587	2795255	36.83	129623	29935	133244.4	8	22	0.00	3 + 1 part
GCF_030270185.1	660	539	216	74	7	0	3067617	2996102	2154066	1166272	208114	0	539	33111	2996102	36.55	7996	2591	10201.9	111	365	0.00	6 + 0 part
GCF_030282225.1	37	30	22	21	17	14	2845210	2840744	2822358	2812716	2732671	2632044	30	489168	2840744	36.59	237739	62611	262052.7	4	13	0.00	6 + 0 part
GCF_030282285.1	36	29	21	20	16	13	2845042	2840602	2822329	2812687	2732708	2632081	29	508941	2840602	36.59	237739	62611	283699.4	4	12	0.00	6 + 0 part
GCF_030282325.1	38	32	24	23	19	16	2845059	2840829	2822141	2812365	2732320	2631693	32	438969	2840829	36.59	209590	62611	209021.0	6	15	0.00	7 + 0 part
GCF_030282345.1	35	28	20	19	16	14	2845527	2840876	2822603	2812827	2756383	2688455	28	508916	2840876	36.59	237738	62611	284211.4	4	12	0.00	6 + 0 part
GCF_030282365.1	36	29	21	20	16	13	2845062	2840622	2822236	2812594	2732551	2631924	29	508904	2840622	36.59	237739	62611	283672.4	4	12	0.00	6 + 0 part
GCF_030282405.1	36	29	21	20	17	15	2845459	2840993	2822607	2812831	2756387	2688459	29	489054	2840993	36.59	237738	62611	262554.1	4	13	0.00	6 + 0 part
GCF_030282485.1	36	29	21	20	16	13	2845410	2840759	2822373	2812597	2732553	2631926	29	508905	2840759	36.59	237739	62611	283660.1	4	12	0.00	6 + 0 part
GCF_030282585.1	35	29	21	20	16	13	2845105	2841164	2822427	2812651	2732673	2632046	29	508904	2841164	36.59	237739	62611	283631.7	4	12	0.00	6 + 0 part
GCF_030282605.1	36	29	21	20	16	13	2845356	2840770	2822497	2812855	2732563	2631936	29	508916	2840770	36.59	237738	62611	283663.6	4	12	0.00	6 + 0 part
GCF_030282625.1	36	31	22	21	17	14	2844853	2841726	2822369	2812727	2732681	2632054	31	489168	2841726	36.59	237739	62611	261965.7	4	13	0.00	6 + 1 part
GCF_030282645.1	36	29	21	20	16	13	2844936	2840478	2822092	2812316	2732271	2631935	29	508913	2840478	36.59	237739	62611	283683.3	4	12	0.00	6 + 0 part
GCF_030282725.1	37	30	22	21	17	14	2844915	2840475	2822089	2812447	2732403	2631776	30	508904	2840475	36.59	237778	62611	279470.6	4	13	0.00	6 + 0 part
GCF_030282745.1	36	31	22	21	17	14	2845073	2841946	2822476	2812834	2732790	2632163	31	489167	2841946	36.59	237739	62611	261954.4	4	13	0.00	6 + 1 part
GCF_030282785.1	37	30	21	20	17	15	2845623	2840998	2821263	2811487	2755045	2687117	30	489168	2840998	36.59	237739	62611	262439.6	4	13	0.00	6 + 0 part
GCF_030294065.1	35	30	21	20	17	15	2844762	2841661	2821924	2812148	2755704	2687778	30	489055	2841661	36.59	237739	62611	262387.0	4	13	0.00	6 + 1 part
GCF_030294185.1	35	29	21	20	16	13	2844981	2840950	2822326	2812550	2732504	2631877	29	508826	2840950	36.58	237739	62611	283611.9	4	12	0.00	6 + 0 part
GCF_030295825.1	3	3	3	3	3	2	3070112	3070112	3070112	3070112	3070112	3023410	3	2900900	3070112	37.09	2900900	2900900	2746613.3	1	1	0.00	18 + 0 part
GCF_031927645.1	66	49	32	25	18	14	2795408	2786816	2742530	2696094	2594324	2437266	49	382162	2786816	36.91	203715	41279	206560.9	5	16	3.80	2 + 2 part
GCF_031927665.1	59	43	31	26	18	14	2718455	2709747	2676128	2636652	2521208	2376345	43	354953	2709747	36.89	202847	41514	199596.7	5	16	4.02	2 + 4 part
GCF_031927705.1	70	49	32	24	18	15	2845890	2835749	2783292	2723881	2624522	2511360	49	394610	2835749	36.80	202874	42568	211922.3	5	16	7.05	3 + 3 part
GCF_031927725.1	61	38	25	21	17	13	2837666	2828235	2791486	2761464	2693004	2555042	38	428767	2828235	36.93	289063	53778	257356.4	4	13	7.11	2 + 2 part
GCF_031927745.1	54	33	23	17	12	11	2803219	2794427	2770389	2724162	2658091	2620057	33	503285	2794427	36.94	271820	106133	283312.9	4	10	3.40	3 + 1 part
GCF_031927765.1	56	33	25	22	16	11	2845095	2834715	2816113	2793452	2707434	2537114	33	541327	2834715	36.94	284095	41258	276275.3	4	12	6.98	3 + 3 part
GCF_033391135.1	59	42	30	24	16	12	2807080	2797583	2774859	2726679	2606632	2472539	42	375248	2797583	36.90	213168	37690	229021.8	5	14	0.00	3 + 3 part
GCF_040493595.1	91	61	40	34	22	19	2807129	2795255	2750545	2708383	2516073	2411878	61	296587	2795255	36.83	129623	29935	133244.4	8	22	0.00	3 + 1 part
GCF_041226705.1	46	39	27	26	21	16	2954401	2950217	2917515	2912407	2817863	2650882	39	467445	2950217	36.42	195366	41264	209333.6	6	17	16.95	3 + 2 part
GCF_042134835.1	3	3	3	3	3	2	2769585	2769585	2769585	2769585	2769585	2734634	3	2680711	2769585	37.07	2680711	2680711	2596179.8	1	1	0.00	18 + 0 part
GCF_042135145.1	4	4	3	3	3	2	2780777	2780777	2775967	2775967	2775967	2743104	4	2690537	2780777	36.96	2690537	2690537	2604615.8	1	1	0.00	18 + 0 part
GCF_043845205.1	34	31	21	18	15	11	2790736	2788578	2771942	2754383	2710423	2566978	31	505945	2788578	36.89	292256	96371	280983.5	4	11	3.59	3 + 2 part
GCF_043950735.1	1	1	1	1	1	1	2671783	2671783	2671783	2671783	2671783	2671783	1	2671783	2671783	37.16	2671783	2671783	2671783.0	1	1	0.00	18 + 0 part
GCF_043950745.1	1	1	1	1	1	1	2676653	2676653	2676653	2676653	2676653	2676653	1	2676653	2676653	37.14	2676653	2676653	2676653.0	1	1	0.00	18 + 0 part
GCF_046311655.1	77	56	39	35	25	16	2743155	2733249	2682777	2654515	2503300	2141169	56	449664	2733249	36.87	128837	31300	158863.9	7	24	0.00	3 + 3 part
GCF_046311675.1	96	62	37	31	25	17	2915173	2897193	2841118	2803697	2710730	2403889	62	355580	2897193	36.78	141346	37116	162592.8	7	22	0.00	3 + 3 part
GCF_046311715.1	63	45	31	26	19	14	2821926	2813899	2782390	2741850	2619921	2429665	45	355091	2813899	36.84	192315	40605	191503.4	6	17	0.00	3 + 3 part
GCF_046311735.1	65	47	32	27	20	13	2821984	2813296	2781044	2740504	2618208	2363503	47	355091	2813296	36.84	192315	36874	190556.1	6	18	0.00	3 + 3 part
GCF_046311815.1	79	59	41	37	27	16	2743398	2733711	2678951	2650629	2503738	2066462	59	449663	2733711	36.87	115363	27471	153674.3	8	26	0.00	3 + 3 part
GCF_046311915.1	36	30	23	20	18	13	2750636	2748335	2729513	2705895	2682716	2504539	30	377051	2748335	36.89	195594	88812	211616.5	6	13	0.00	3 + 3 part
GCF_046312095.1	57	43	29	26	21	13	2909640	2903672	2874997	2850853	2782717	2495290	43	370961	2903672	36.87	235200	40630	212369.4	5	16	0.00	3 + 3 part
GCF_046312115.1	58	44	30	27	22	13	2909577	2903609	2874977	2850833	2782697	2454580	44	370872	2903609	36.87	212581	40582	204176.2	6	17	0.00	3 + 3 part
GCF_049841855.1	52	36	24	22	13	9	3089292	3077751	3048929	3038741	2880110	2748634	36	847144	3077751	36.52	356851	39577	437489.0	3	10	3.25	5 + 1 part
GCF_049892005.1	120	83	52	41	29	19	2885560	2861539	2791803	2710659	2524119	2137452	83	226764	2861539	36.85	100299	20081	103351.9	10	32	0.00	7 + 0 part
GCF_050684635.1	46	46	42	39	32	18	2945062	2945062	2933944	2915952	2816134	2337490	46	319608	2945062	36.69	117647	31799	138252.7	8	27	0.00	3 + 0 part
GCF_050685135.1	49	49	42	35	30	18	3017967	3017967	3006202	2954968	2883715	2430703	49	475318	3017967	36.50	133299	35981	175309.7	7	25	0.00	3 + 0 part
GCF_051371485.1	120	97	55	48	26	19	3126248	3111378	3007194	2955277	2568332	2289071	97	291528	3111378	36.45	123024	17511	116551.4	10	38	6.04	3 + 2 part
GCF_051371705.1	62	50	36	26	20	17	3011419	3003300	2968353	2893479	2807529	2681328	50	563941	3003300	36.48	170554	48953	232709.0	5	18	3.16	2 + 2 part
GCF_051371945.1	118	97	56	48	26	19	3126888	3113249	3012203	2953082	2566428	2289171	97	291528	3113249	36.45	123024	17511	116436.5	10	38	6.26	3 + 2 part
GCF_051670465.1	4	4	4	4	3	2	3114645	3114645	3114645	3114645	3091021	3057808	4	2920071	3114645	36.80	2920071	2920071	2744276.6	1	1	0.00	18 + 0 part
GCF_053049545.1	29	24	19	18	16	13	2990747	2987711	2979254	2969314	2940038	2820912	24	603922	2987711	36.68	202048	106018	290044.0	5	12	0.00	0 + 0 part
GCF_900636615.1	1	1	1	1	1	1	2741688	2741688	2741688	2741688	2741688	2741688	1	2741688	2741688	37.13	2741688	2741688	2741688.0	1	1	0.00	18 + 0 part
