Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N90	auN	L50	L90	# N's per 100 kbp	# predicted rRNA genes
EHM046343	17	17	16	16	13	10	2487774	2487774	2484382	2484382	2428191	2325536	17	469516	2487774	34.76	291327	81857	296161.7	4	9	0.00	6 + 0 part
EHM046444	20	20	20	20	15	15	2305033	2305033	2305033	2305033	2216933	2216933	20	352609	2305033	34.99	175908	91702	181522.9	5	13	0.00	2 + 0 part
EHM056391	225	225	133	74	19	2	2329367	2329367	2038922	1606934	750837	130853	225	76043	2329367	34.91	16742	4430	21898.9	40	146	0.00	3 + 0 part
EHM056528	59	59	55	50	33	13	2153189	2153189	2141034	2097215	1789338	1055873	59	224486	2153189	34.98	48997	21406	66663.0	14	40	0.00	2 + 1 part
EHM056720	375	375	114	66	34	13	3234287	3234287	2507437	2177227	1673570	967225	375	110484	3234287	35.32	25915	2901	36044.2	32	221	0.00	5 + 3 part
EHM057270	351	351	41	20	12	10	3357066	3357066	2598401	2460882	2344835	2280339	351	384500	3357066	36.81	200628	2326	191360.0	6	171	0.00	44 + 8 part
EHM057831	141	141	105	74	40	15	2797761	2797761	2690986	2463658	1943717	1039582	141	162899	2797761	34.62	42839	8990	45735.4	23	80	0.00	2 + 0 part
EHM066565	44	44	41	37	26	14	2278074	2278074	2266087	2232602	2032085	1617372	44	258455	2278074	34.96	106384	22690	118441.9	7	27	0.00	2 + 0 part
EHM066683	108	108	85	63	25	5	2028411	2028411	1968073	1797722	1117702	443226	108	169387	2028411	35.15	28754	9539	42471.2	21	66	0.00	2 + 0 part
EHM071389	529	529	156	59	4	0	2670309	2670309	1662102	973260	139016	0	529	43966	2670309	34.88	7274	2179	10032.3	102	382	0.00	4 + 0 part
EHM079037	115	115	90	63	36	14	2510528	2510528	2445125	2242272	1776942	978915	115	161392	2510528	34.87	44429	9595	47384.4	20	65	0.00	2 + 0 part
GCA_018381915.1	52	52	43	35	23	17	2478750	2478750	2455334	2402385	2199990	1954962	52	219575	2478750	34.97	124243	22674	114754.5	8	25	0.00	1 + 1 part
GCA_022794425.1	48	48	46	40	30	17	2261815	2261815	2253500	2208178	2048691	1590465	48	144262	2261815	34.96	76296	27566	81734.9	10	30	0.00	1 + 0 part
GCA_905210045.1	81	81	52	44	23	14	2749463	2749463	2663233	2607898	2271472	1935681	81	232646	2749463	34.75	124962	16136	117209.7	8	34	0.00	2 + 0 part
GCA_937924215.1	75	75	50	40	23	14	2699238	2699238	2632000	2563769	2271472	1935681	75	232646	2699238	34.89	124962	17288	119216.0	8	32	0.00	1 + 0 part
GCA_947347755.1	178	178	131	72	16	4	2186484	2186484	2018053	1580514	682329	299751	178	114907	2186484	34.99	18053	5423	25837.9	36	122	0.00	1 + 0 part
GCA_948496745.1	79	79	58	47	31	12	2226696	2226696	2183661	2099416	1835001	1187759	79	182620	2226696	34.99	57458	15670	74036.8	11	40	23.76	1 + 0 part
GCA_948514765.1	104	104	69	54	28	15	2215457	2215457	2141974	2032470	1613290	1202621	104	146405	2215457	34.89	54475	11772	59626.5	14	51	20.58	1 + 0 part
GCA_948544615.1	72	72	52	45	28	15	2281780	2281780	2244106	2186297	1905989	1487274	72	183595	2281780	35.01	75443	15670	84349.1	10	36	42.82	1 + 0 part
GCA_948619675.1	162	156	99	61	22	6	2186892	2182273	2006320	1732487	1145121	623122	156	145848	2182273	34.91	25930	6144	45700.0	20	92	277.83	2 + 0 part
GCA_948622745.1	153	153	100	62	25	6	2140117	2140117	1984720	1718893	1125848	467682	153	98915	2140117	35.14	28671	5999	34369.2	23	90	249.61	1 + 0 part
GCA_948644855.1	107	107	81	65	27	11	2301244	2301244	2209166	2096166	1458832	957247	107	198079	2301244	35.04	34488	10844	55189.7	17	63	119.94	1 + 0 part
GCA_948654415.1	87	83	63	52	28	13	2459712	2456535	2406867	2326659	1943141	1389392	83	185506	2456535	34.94	76936	13416	78766.7	11	43	8.87	2 + 0 part
GCA_948672875.1	110	110	78	52	28	10	2074741	2074741	1983274	1779221	1388756	766887	110	133712	2074741	35.24	35014	8720	46551.8	17	62	196.65	1 + 0 part
GCA_948674145.1	89	89	72	54	31	14	2425906	2425906	2370273	2232941	1843341	1243346	89	145419	2425906	34.91	52544	13281	61800.0	14	50	4.70	1 + 0 part
GCA_948700895.1	69	59	47	44	30	17	2394489	2387704	2360990	2341737	2121474	1664696	59	184791	2387704	34.97	76815	21375	87436.3	10	32	0.00	2 + 0 part
GCA_948741555.1	93	81	65	50	28	13	2466609	2459085	2413097	2300821	1938917	1359272	81	157712	2459085	34.97	74933	14026	75289.6	11	43	8.46	1 + 0 part
GCA_948748415.1	92	80	59	49	30	13	2431218	2422761	2368859	2292209	1959265	1377986	80	199339	2422761	34.92	68775	16370	81010.7	11	41	28.93	1 + 0 part
GCA_948777995.1	110	110	60	51	30	15	2394630	2394630	2300752	2228883	1905938	1375842	110	147771	2394630	34.88	63976	13281	69083.0	12	45	70.66	1 + 0 part
GCA_948850205.1	103	103	81	56	31	9	2099169	2099169	2024828	1840166	1440278	687524	103	118168	2099169	35.03	35421	8630	43603.4	18	62	0.00	2 + 0 part
GCA_948896515.1	50	50	42	34	28	14	2373415	2373415	2348239	2290792	2197786	1709451	50	329849	2373415	34.93	101547	28668	127976.1	7	26	22.29	1 + 0 part
GCA_948995465.1	54	54	45	38	30	15	2391178	2391178	2362646	2314754	2188680	1657130	54	254688	2391178	34.90	81734	28671	105958.9	9	29	45.00	1 + 0 part
GCA_949006045.1	173	173	99	62	25	2	2044191	2044191	1836931	1572317	961560	158353	173	97176	2044191	35.26	23596	4968	27443.8	28	100	323.21	1 + 0 part
GCA_949028585.1	71	71	57	45	31	14	2472138	2472138	2424313	2330754	2112837	1506971	71	255769	2472138	34.81	74035	16466	94976.8	10	37	35.92	1 + 0 part
GCA_949428005.1	167	167	98	60	20	6	2036534	2036534	1821834	1549277	940529	447604	167	96259	2036534	35.22	20749	4749	31832.9	24	101	0.00	1 + 0 part
GCA_949439745.1	100	100	75	60	27	10	2183980	2183980	2114351	2004107	1471293	894540	100	225756	2183980	35.10	36713	11220	61340.7	15	57	0.00	1 + 0 part
GCA_949444485.1	133	133	90	61	27	7	2098968	2098968	1976823	1754864	1231251	536497	133	142021	2098968	35.28	30909	7879	39263.0	21	76	0.00	1 + 0 part
GCA_949460315.1	169	169	97	60	18	7	2077038	2077038	1861476	1585150	862618	490481	169	135086	2077038	35.19	21320	4819	32848.6	26	99	0.00	1 + 0 part
GCA_949462505.1	311	311	116	58	11	1	2094108	2094108	1560320	1130542	402025	67663	311	67663	2094108	35.09	11083	2630	15925.9	50	208	0.00	0 + 0 part
GCA_949470665.1	170	170	100	60	22	6	2061101	2061101	1854241	1578023	926526	374696	170	90804	2061101	35.22	22908	4922	28553.1	27	101	0.00	0 + 0 part
GCA_949840595.1	82	82	60	51	29	12	2117040	2117040	2069381	2001373	1623375	1000829	82	144422	2117040	35.01	49326	15612	59395.1	14	44	0.00	1 + 1 part
GCA_958421465.1	80	80	66	54	31	10	2230498	2230498	2174368	2086087	1710756	947414	80	192938	2230498	35.00	45111	12441	64163.4	14	48	0.00	1 + 0 part
GCF_001672265.1	17	17	17	17	15	8	2486648	2486648	2486648	2486648	2444335	2178896	17	684602	2486648	35.32	422793	47288	385762.4	3	10	291.76	17 + 3 part
GCF_003472365.1	11	10	10	10	9	8	2363031	2362474	2362474	2362474	2348577	2312340	10	580512	2362474	34.90	355599	112055	367484.7	3	7	1.69	4 + 0 part
GCF_009497135.1	43	38	32	30	23	16	2485026	2482196	2466342	2447790	2333759	2073991	38	324790	2482196	34.85	149613	37338	147509.2	6	20	0.00	2 + 1 part
GCF_014334715.1	1	1	1	1	1	1	2375093	2375093	2375093	2375093	2375093	2375093	1	2375093	2375093	35.01	2375093	2375093	2375093.0	1	1	0.00	19 + 0 part
GCF_014830215.1	55	55	48	36	22	14	2330865	2330865	2313757	2223322	1980217	1708952	55	202685	2330865	35.01	99892	18874	110658.9	8	28	0.00	4 + 0 part
GCF_015551225.1	9	9	8	7	6	5	2324176	2324176	2321254	2316099	2301921	2263582	9	1141128	2324176	34.85	461787	206490	736936.9	2	4	29.04	5 + 0 part
GCF_015552555.1	30	30	23	20	14	10	2509912	2509912	2498136	2476531	2388971	2242987	30	500127	2509912	34.84	233853	49582	262814.8	4	11	0.00	4 + 0 part
GCF_015666905.1	71	71	47	32	22	13	2555576	2555576	2500744	2400865	2239048	1932909	71	447126	2555576	35.04	131967	17265	182173.4	6	25	7.83	6 + 1 part
GCF_015667015.1	54	54	28	26	18	13	2523744	2523744	2469951	2456619	2327152	2153338	54	308752	2523744	34.85	202293	33473	184873.1	5	17	19.73	5 + 2 part
GCF_015667075.1	43	43	28	20	18	11	2574289	2574289	2537156	2483693	2459087	2190074	43	671580	2574289	34.96	197749	39157	296982.8	4	14	21.79	6 + 1 part
GCF_018916825.1	44	38	27	20	17	13	2445684	2441322	2420296	2370384	2315740	2182092	38	389303	2441322	34.92	162520	36383	202513.3	5	14	0.00	8 + 0 part
GCF_020553675.1	102	76	46	37	29	17	2470174	2456730	2386148	2327720	2186394	1742101	76	219188	2456730	34.91	77832	21394	94674.3	10	31	0.00	4 + 0 part
GCF_020782925.1	53	29	24	21	15	11	2893565	2881835	2869730	2844930	2749187	2602767	29	752471	2881835	34.51	488067	50585	437290.7	3	11	0.00	1 + 1 part
GCF_021961665.1	12	11	11	10	9	7	2416341	2415886	2415886	2410713	2396665	2315883	11	657160	2415886	34.84	551574	123493	446501.1	2	6	0.00	4 + 0 part
GCF_024461915.1	49	16	14	13	12	9	2483607	2474552	2468139	2458872	2444911	2353867	16	458410	2474552	34.83	354844	133362	307182.6	4	8	0.00	4 + 0 part
GCF_024461935.1	55	18	14	12	11	9	2497795	2484667	2474494	2460482	2446548	2384397	18	487316	2484667	34.86	368922	133362	317114.4	3	8	0.00	5 + 0 part
GCF_025128595.1	130	70	41	28	20	16	2720045	2688837	2614673	2520648	2399369	2242317	70	254005	2688837	34.80	132662	17663	139041.8	8	22	0.00	4 + 1 part
GCF_027661125.1	19	18	16	14	11	9	2343593	2342856	2338392	2323073	2273695	2214017	18	770996	2342856	34.86	322920	85580	403782.4	3	8	1.71	4 + 0 part
GCF_027672645.1	27	24	18	17	14	9	2435131	2433389	2420865	2415692	2376674	2200886	24	651558	2433389	34.73	280763	62606	343127.9	3	9	2.47	4 + 0 part
GCF_027672665.1	49	45	31	25	22	14	2436786	2434175	2398807	2356507	2302186	1992249	45	248922	2434175	34.88	158057	39382	146875.4	6	19	3.29	1 + 2 part
GCF_027672695.1	50	43	31	25	19	14	2435804	2430704	2405980	2364337	2256914	2061769	43	248662	2430704	34.87	157849	37552	152399.2	6	18	3.70	1 + 1 part
GCF_027672725.1	48	47	26	23	17	13	2467394	2466802	2420604	2399569	2290646	2158673	47	491766	2466802	34.91	136750	34791	220974.5	5	15	796.25	4 + 0 part
GCF_027672785.1	28	27	20	19	18	13	2450535	2449859	2435421	2430249	2416364	2233231	27	459344	2449859	34.86	198425	51344	212083.9	5	13	1.63	4 + 0 part
GCF_027672865.1	55	50	33	25	19	13	2499458	2495800	2466103	2415839	2324814	2086253	50	339903	2495800	34.90	171381	38112	172341.9	6	17	5.61	4 + 1 part
GCF_027672965.1	28	24	20	20	18	14	2450569	2447927	2441018	2441018	2402193	2261220	24	464581	2447927	34.85	174398	53661	209446.8	5	13	1.63	4 + 0 part
GCF_027673065.1	76	66	34	27	18	12	2584305	2578068	2499342	2451515	2334003	2115606	66	337758	2578068	34.74	199591	27966	197046.9	5	18	6.21	4 + 0 part
GCF_027673085.1	31	28	23	20	19	13	2448497	2446475	2434448	2414204	2400331	2175038	28	458243	2446475	34.86	203056	45712	206644.8	5	14	2.04	4 + 0 part
GCF_027673155.1	28	25	21	19	18	10	2446733	2444578	2435776	2423395	2410346	2134001	25	458586	2444578	34.85	209321	40580	236151.6	4	12	1.64	1 + 1 part
GCF_027673225.1	31	26	20	19	18	12	2448653	2445191	2435339	2430181	2416308	2198937	26	416948	2445191	34.86	202727	44773	213497.7	5	13	2.04	4 + 0 part
GCF_027673305.1	58	42	34	25	17	12	2500523	2489380	2476605	2408257	2291115	2110239	42	295381	2489380	34.78	172498	30943	171424.0	6	16	3.62	3 + 0 part
GCF_027673485.1	43	39	26	23	17	12	2438718	2435812	2406175	2386396	2291773	2115047	39	358954	2435812	34.88	209122	37863	202573.1	5	14	2.05	1 + 2 part
GCF_027674205.1	53	48	31	25	19	15	2439777	2436281	2396683	2352050	2237975	2097627	48	494000	2436281	34.92	122867	31406	207066.8	5	18	4.10	3 + 1 part
GCF_027674325.1	64	58	41	35	22	14	2448466	2444290	2408765	2366456	2141425	1846919	58	409574	2444290	34.93	118575	21289	152779.2	6	25	5.77	4 + 0 part
GCF_027674405.1	54	48	31	25	17	14	2443528	2438916	2402176	2366443	2218155	2121463	48	494607	2438916	34.91	174257	30483	246718.0	4	17	4.10	4 + 0 part
GCF_027674685.1	53	47	29	25	19	12	2438854	2434004	2394183	2367557	2265606	2036409	47	491779	2434004	34.92	202615	30471	229995.0	4	17	4.11	4 + 0 part
GCF_027676035.1	44	38	28	26	18	15	2342781	2338171	2316409	2300151	2186034	2076027	38	435164	2338171	34.84	145229	46749	192348.5	5	16	3.85	4 + 0 part
GCF_027676135.1	49	43	33	30	24	15	2705918	2702378	2673901	2653059	2539470	2234162	43	382987	2702378	34.71	190609	30601	175610.5	6	21	4.44	4 + 0 part
GCF_027676165.1	50	45	31	26	20	16	2598384	2595010	2555961	2526711	2436507	2302925	45	479082	2595010	34.78	176329	39498	201450.6	5	17	5.39	4 + 0 part
GCF_027679985.1	39	35	26	22	16	9	2480645	2477740	2458923	2431032	2341733	2118205	35	550090	2477740	34.81	233983	30645	281955.2	4	12	1.61	4 + 0 part
GCF_027688475.1	54	45	30	27	24	15	2338687	2331600	2299966	2274354	2220241	1885163	45	478294	2331600	34.92	117869	38493	172982.3	6	20	3.86	4 + 0 part
GCF_030480465.1	1	1	1	1	1	1	2527090	2527090	2527090	2527090	2527090	2527090	1	2527090	2527090	35.03	2527090	2527090	2527090.0	1	1	0.00	19 + 0 part
GCF_030545485.1	50	42	28	23	16	10	2406846	2401817	2369963	2334370	2217450	2007027	42	646150	2401817	34.79	201476	32865	288765.4	4	15	0.00	4 + 0 part
GCF_039060945.1	20	20	15	11	10	8	2426307	2426307	2413005	2386404	2372335	2296086	20	556869	2426307	34.93	327116	143633	349094.9	3	7	4.04	4 + 0 part
GCF_039061015.1	27	27	19	15	10	8	2487692	2487692	2464362	2437918	2372943	2296133	27	556869	2487692	34.92	327116	68213	340798.2	3	8	5.11	4 + 0 part
GCF_040516025.1	1	1	1	1	1	1	2484036	2484036	2484036	2484036	2484036	2484036	1	2484036	2484036	34.91	2484036	2484036	2484036.0	1	1	0.00	19 + 0 part
GCF_050408585.1	8	7	7	6	5	4	2419058	2418495	2418495	2413323	2399079	2362612	7	1515888	2418495	34.88	1515888	210292	1097195.4	1	3	0.08	5 + 0 part
GCF_902364565.1	11	10	10	10	9	8	2363031	2362474	2362474	2362474	2348577	2312340	10	580512	2362474	34.90	355599	112055	367484.7	3	7	1.69	4 + 0 part
GCF_932750895.1	70	70	30	27	22	15	2582571	2582571	2497329	2477019	2403731	2152320	70	315187	2582571	34.89	161421	33686	156343.3	7	20	0.00	4 + 0 part
