Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N90	auN	L50	L90	# N's per 100 kbp	# predicted rRNA genes
GCF_003438705.1	102	96	75	67	50	33	4814735	4810028	4750763	4690699	4402831	3744875	96	300669	4810028	41.97	94343	27027	121585.6	15	48	4.07	5 + 0 part
GCF_003438765.1	135	127	100	86	57	30	4755585	4749603	4683399	4574124	4104648	3049255	127	270410	4749603	41.60	76950	18242	95944.8	19	65	6.51	3 + 0 part
GCF_003438835.1	122	116	97	83	56	36	4772657	4768107	4721554	4615180	4172877	3391644	116	270446	4768107	41.63	77182	20520	96872.9	20	62	7.34	4 + 1 part
GCF_003439275.1	141	125	90	81	59	34	5009031	4997543	4895980	4834743	4435941	3567565	125	206892	4997543	42.33	83429	23201	97631.1	18	62	9.88	4 + 0 part
GCF_003439595.1	84	78	73	62	47	31	4966393	4962399	4949000	4879941	4642660	4027919	78	366010	4962399	42.40	127154	33452	143032.2	13	42	4.53	4 + 0 part
GCF_003439605.1	85	82	72	61	46	33	4965918	4963592	4937984	4867016	4630032	4156994	82	366031	4963592	42.40	127166	33366	142422.3	13	41	1.81	4 + 0 part
GCF_003457705.1	129	117	94	75	57	36	4910436	4901875	4836415	4693485	4395629	3607061	117	229861	4901875	42.13	87668	23920	96698.3	18	58	11.83	3 + 0 part
GCF_003457755.1	105	97	71	63	45	33	4862492	4857573	4793295	4724282	4419806	3993400	97	306472	4857573	41.87	119560	26762	125534.0	15	44	14.99	4 + 0 part
GCF_003458265.1	81	77	66	58	46	36	4716014	4713077	4685397	4625912	4432872	4035746	77	362346	4713077	42.10	121418	40274	134334.9	14	41	10.42	1 + 1 part
GCF_003458385.1	248	212	142	109	68	35	5408603	5381451	5210923	4964075	4276192	3053707	212	207400	5381451	42.34	60594	12551	68397.1	29	99	21.83	5 + 0 part
GCF_003459365.1	96	91	74	62	46	31	4940631	4937275	4896848	4812537	4560363	4007310	91	285360	4937275	42.25	123135	31466	134828.6	14	43	11.12	3 + 0 part
GCF_003459535.1	135	117	90	77	60	31	4853285	4840152	4782510	4696053	4429312	3340585	117	252599	4840152	41.90	88239	26945	103190.3	17	58	28.18	3 + 0 part
GCF_003459715.1	138	137	102	85	57	41	5104182	5103651	5010063	4881524	4432279	3851136	137	194194	5103651	42.17	82865	19088	91053.2	21	65	8.66	4 + 0 part
GCF_003460125.1	110	97	69	61	47	33	4896085	4887348	4802458	4745175	4484096	3931464	97	506834	4887348	42.11	95098	33748	165374.6	13	44	17.68	3 + 0 part
GCF_003460305.1	84	80	64	55	41	33	5126472	5123944	5090121	5020135	4771870	4473605	80	320245	5123944	41.76	134400	39084	158668.9	12	37	2.54	4 + 0 part
GCF_003462865.1	149	135	101	84	61	40	5220172	5209615	5120265	4982583	4601040	3847928	135	263620	5209615	42.56	76789	22141	99655.0	21	65	5.37	4 + 0 part
GCF_003464205.1	144	132	98	82	58	38	5154681	5146922	5064250	4932814	4524953	3822542	132	431942	5146922	42.55	77283	20384	120233.7	19	63	8.84	4 + 0 part
GCF_003464405.1	206	183	129	107	68	37	5511576	5494992	5364457	5205158	4556188	3417647	183	201646	5494992	42.50	67998	16030	78432.4	26	87	5.15	4 + 1 part
GCF_003465015.1	111	98	77	70	60	39	5195636	5186816	5135335	5082564	4916568	4137314	98	261290	5186816	42.50	101239	32106	108200.8	18	52	5.01	4 + 0 part
GCF_003465305.1	126	110	78	64	51	33	5149126	5137955	5056166	4956133	4740406	4042331	110	273658	5137955	42.47	126402	32387	129038.4	14	48	10.55	4 + 0 part
GCF_003465695.1	159	150	119	99	69	29	5180448	5172736	5094374	4950380	4424794	3001255	150	274730	5172736	42.27	70061	20862	94040.4	22	80	18.91	3 + 0 part
GCF_003465765.1	136	120	87	76	56	39	5105661	5094738	5020465	4942182	4640812	3995589	120	365905	5094738	42.01	83739	31344	123134.1	17	54	8.05	3 + 0 part
GCF_003466785.1	86	82	62	57	47	36	5111905	5108638	5057244	5021826	4870328	4462245	82	332959	5108638	42.28	138748	43122	141850.9	14	39	4.72	3 + 0 part
GCF_003466945.1	115	102	81	65	47	31	5155765	5147235	5094182	4984761	4678552	4136847	102	336906	5147235	42.00	142291	25308	150079.8	12	46	20.55	5 + 0 part
GCF_003467465.1	119	104	75	66	46	37	4824919	4814637	4749948	4678273	4344380	4024981	104	306497	4814637	41.94	102842	25016	113793.9	17	46	12.94	4 + 0 part
GCF_003467565.1	101	95	84	72	53	34	5106187	5101819	5071214	4987155	4666121	3980242	95	261860	5101819	42.19	115327	27152	116417.6	16	51	15.74	4 + 0 part
GCF_003468295.1	104	91	68	58	46	34	4712457	4703053	4646236	4574033	4389202	3980474	91	341607	4703053	41.85	112294	33098	130363.8	14	41	6.21	5 + 0 part
GCF_003468345.1	161	150	111	98	66	35	5107081	5099674	5006667	4910875	4395706	3281021	150	254001	5099674	42.12	69432	18118	86103.1	23	76	11.63	5 + 0 part
GCF_003468905.1	213	193	142	117	80	38	5529599	5515491	5404405	5217968	4573461	3138154	193	282635	5515491	42.67	53639	17982	70636.4	31	99	41.43	3 + 1 part
GCF_003469035.1	107	98	79	65	46	35	4774296	4768657	4723200	4627141	4359599	3950697	98	282791	4768657	42.11	102564	29626	118467.4	15	44	4.82	3 + 0 part
GCF_003469225.1	128	111	93	78	51	32	4752890	4741060	4694007	4588855	4112534	3426186	111	390883	4741060	41.90	86259	20407	115998.0	17	58	3.97	3 + 2 part
GCF_003469525.1	60	55	52	50	37	29	4817791	4814360	4807409	4791213	4554523	4242125	55	483826	4814360	42.05	145209	48607	213405.4	9	31	42.39	4 + 1 part
GCF_003470745.1	139	107	79	63	46	34	5058264	5035711	4979137	4858832	4602699	4123673	107	324455	5035711	42.29	111303	28867	136940.3	14	44	29.89	2 + 0 part
GCF_003471225.1	111	106	86	78	55	37	4835546	4832015	4777261	4716488	4347611	3698785	106	293752	4832015	42.12	92449	24833	102228.6	18	56	3.27	5 + 0 part
GCF_003471285.1	113	105	89	78	56	35	4867986	4861582	4820360	4740417	4394501	3647042	105	293758	4861582	42.11	92861	25091	105341.5	17	56	3.97	5 + 0 part
GCF_003471705.1	70	66	61	59	43	32	4498174	4495321	4484396	4470988	4211200	3799324	66	385775	4495321	41.98	122019	39186	156480.0	11	38	14.66	5 + 1 part
GCF_003471775.1	91	77	62	56	44	36	5075555	5065617	5024099	4973811	4784785	4495914	77	267763	5065617	42.50	132609	46158	133117.9	14	38	13.54	3 + 0 part
GCF_003472125.1	124	110	73	63	51	33	4998238	4987947	4892847	4824457	4636005	3909911	110	344376	4987947	42.31	99124	34168	125551.9	15	47	17.28	3 + 0 part
GCF_003472225.1	84	80	65	61	50	32	4664749	4661754	4625202	4591051	4393869	3719850	80	304808	4661754	42.05	102565	35197	128038.4	14	44	8.30	4 + 0 part
GCF_003473085.1	71	68	63	57	51	38	5243870	5241612	5229124	5177472	5060763	4498973	68	296747	5241612	42.04	121643	47476	130229.3	15	43	17.13	2 + 1 part
GCF_003473265.1	167	155	120	102	63	37	5412187	5403829	5304974	5163371	4458445	3544032	155	240666	5403829	42.29	69017	19349	85462.6	23	82	7.59	3 + 0 part
GCF_003474225.1	78	72	60	58	47	31	5001746	4997515	4962939	4951758	4751774	4162205	72	400503	4997515	42.17	139984	38237	154375.9	12	40	3.60	5 + 0 part
GCF_003474595.1	88	83	66	63	44	28	5031441	5028002	4981667	4964822	4616776	4029564	83	400624	5028002	42.17	144864	28999	156146.1	12	41	17.92	4 + 0 part
GCF_003474845.1	132	118	91	79	54	36	4936332	4926610	4858302	4761912	4336690	3667750	118	413846	4926610	42.20	90292	22432	112384.2	19	59	6.70	3 + 0 part
GCF_003474985.1	98	91	71	59	44	33	5015331	5009789	4968124	4884925	4635900	4204069	91	292362	5009789	42.32	132399	38051	136313.2	13	40	11.42	3 + 0 part
GCF_003475045.1	98	91	71	61	45	35	5021465	5016458	4967426	4895838	4643816	4238179	91	292444	5016458	42.32	119785	38051	132805.5	14	42	15.61	3 + 0 part
GCF_003475135.1	176	161	118	100	66	39	5321019	5310381	5183459	5041489	4496033	3452245	161	238685	5310381	42.35	72542	16763	79234.9	25	80	12.41	3 + 0 part
GCF_003475435.1	161	146	117	103	64	30	5112322	5101431	5014495	4904546	4236459	2976987	146	213845	5101431	41.95	60242	18685	83343.4	23	81	8.88	3 + 0 part
GCF_003475695.1	61	56	48	42	34	30	4679233	4675600	4655799	4615739	4488924	4353908	56	345503	4675600	42.17	201008	56068	184873.5	9	28	7.25	3 + 0 part
GCF_003568805.2	222	152	99	76	53	32	4918368	4872242	4754482	4579389	4198151	3419778	152	445114	4872242	42.09	81590	18353	118389.6	17	62	41.75	2 + 1 part
GCF_004167625.1	100	100	72	59	45	33	5352199	5352199	5282149	5184430	4943256	4516911	100	406448	5352199	42.60	128927	31706	166078.7	12	41	0.00	5 + 1 part
GCF_005844385.1	89	89	63	52	46	35	5204063	5204063	5139767	5061242	4965055	4559030	89	407128	5204063	42.48	147814	43678	162843.8	12	38	34.05	5 + 0 part
GCF_005844725.1	100	100	76	61	46	36	5255533	5255533	5195885	5087155	4834623	4458643	100	386074	5255533	42.54	122179	32808	150151.7	14	43	19.01	3 + 0 part
GCF_007556395.1	172	158	122	105	71	32	5312574	5303149	5216009	5088259	4516537	3147112	158	347115	5303149	41.83	66919	20347	90065.8	24	83	48.42	1 + 0 part
GCF_007556405.1	161	150	116	100	69	38	5294760	5287403	5198127	5078636	4569772	3415047	150	240444	5287403	41.84	70692	20243	81036.7	25	78	22.43	1 + 0 part
GCF_009696545.1	123	122	97	78	65	39	5371334	5370433	5309068	5168420	4947329	3919203	122	311245	5370433	42.19	77295	32557	104240.2	20	62	0.00	3 + 0 part
GCF_012976295.1	139	135	105	89	68	38	5450031	5446916	5368119	5244801	4879509	3843104	135	278108	5446916	42.39	73482	24398	104055.7	21	69	1.05	1 + 1 part
GCF_012976365.1	91	84	73	65	49	29	5005480	5001273	4970712	4914410	4641487	3929125	84	346220	5001273	42.10	160864	29751	157443.4	11	44	0.14	3 + 1 part
GCF_012976375.1	73	67	60	52	42	29	4988618	4984960	4960392	4904206	4760719	4287188	67	523080	4984960	42.05	170288	40337	197077.3	10	34	0.62	4 + 1 part
GCF_012976745.1	81	75	65	55	45	30	5039783	5035986	5001776	4923902	4764789	4221503	75	449145	5035986	42.19	134464	38079	182729.9	10	38	1.61	3 + 1 part
GCF_012976765.1	121	95	77	65	48	35	4952174	4938013	4896739	4805016	4506992	4040974	95	393792	4938013	42.23	114292	25901	135313.2	14	46	0.45	2 + 1 part
GCF_012976775.1	94	92	85	76	55	35	5074337	5073491	5056357	4987201	4618273	3900976	92	331097	5073491	42.47	94798	26246	118813.0	17	53	0.45	1 + 3 part
GCF_012976785.1	62	59	53	48	40	33	4659970	4658605	4637019	4605855	4472090	4241708	59	530974	4658605	42.09	125755	51184	185433.2	10	33	0.24	3 + 0 part
GCF_013361175.1	218	156	122	97	68	36	5334651	5307279	5224892	5044094	4544485	3361102	156	235812	5307279	42.11	66034	19286	80831.8	25	79	11.31	4 + 0 part
GCF_015547315.1	149	149	110	90	60	38	5333618	5333618	5222768	5076058	4579523	3775525	149	211656	5333618	42.27	74358	18879	95327.4	20	71	15.54	3 + 0 part
GCF_015547385.1	112	112	87	66	56	37	5084182	5084182	5020046	4872911	4711265	4049220	112	269663	5084182	42.27	95958	28741	113205.3	17	52	16.62	4 + 0 part
GCF_015548125.1	137	137	101	82	59	32	5167629	5167629	5089157	4957427	4550119	3547215	137	265361	5167629	42.17	81602	20333	102821.7	19	64	12.85	3 + 0 part
GCF_015549725.1	217	217	151	111	68	33	5155725	5155725	5002959	4712114	4001639	2724254	217	163210	5155725	42.22	53315	11793	60690.4	31	105	30.24	2 + 1 part
GCF_015550745.1	126	126	93	79	54	42	5253037	5253037	5179059	5073406	4651902	4182640	126	182798	5253037	42.58	99546	22097	97967.2	20	58	18.88	5 + 0 part
GCF_015551975.1	89	89	74	61	43	32	4829875	4829875	4788899	4691617	4378779	3910573	89	312208	4829875	42.17	124377	32953	125894.6	15	42	0.97	3 + 0 part
GCF_015552105.1	104	104	77	62	45	32	4805327	4805327	4746691	4637672	4348131	3849109	104	334353	4805327	42.24	120730	27304	129726.0	14	45	6.24	8 + 0 part
GCF_015552815.1	149	149	103	86	61	32	5178817	5178817	5071552	4952090	4518024	3454591	149	265361	5178817	42.18	79867	20116	99185.1	20	68	12.80	1 + 1 part
GCF_015553265.1	117	117	95	82	59	42	4968374	4968374	4914392	4815362	4433185	3830242	117	233087	4968374	42.28	81808	23993	89573.1	22	61	13.93	3 + 0 part
GCF_015554325.1	147	147	106	88	65	43	5315501	5315501	5217605	5082829	4713547	3937568	147	269260	5315501	42.58	74918	20872	94538.5	23	69	8.77	1 + 1 part
GCF_015555055.1	126	126	96	76	53	33	5428890	5428890	5355557	5209638	4836741	4086761	126	322574	5428890	42.61	121553	22081	119391.2	16	56	15.55	4 + 0 part
GCF_015555305.1	128	128	100	86	66	38	5162811	5162811	5098476	5004932	4703958	3736778	128	329273	5162811	42.12	78038	27035	102721.6	20	64	6.66	2 + 1 part
GCF_015555435.1	149	149	112	89	64	35	4732148	4732148	4649959	4490549	4101917	3096682	149	199144	4732148	42.12	70187	17073	74867.0	23	72	8.98	3 + 0 part
GCF_015555645.1	140	140	100	79	55	40	5243663	5243663	5145714	4988597	4577966	4000255	140	319726	5243663	42.06	86894	21264	104114.4	20	62	45.58	3 + 0 part
GCF_015555885.1	139	139	106	89	66	38	5276615	5276615	5208251	5075239	4680099	3658314	139	203564	5276615	42.28	77503	23321	84641.1	23	69	8.34	3 + 0 part
GCF_015556625.1	100	100	76	61	46	36	5255533	5255533	5195885	5087155	4834623	4458643	100	386074	5255533	42.54	122179	32808	150151.7	14	43	19.01	3 + 0 part
GCF_015556815.1	90	90	72	60	43	32	5128134	5128134	5084780	4998330	4710231	4302330	90	467361	5128134	42.33	115053	27507	169869.9	12	40	5.69	5 + 0 part
GCF_015557255.1	272	272	194	139	55	15	4851501	4851501	4642765	4245992	2819930	1315644	272	178958	4851501	42.35	33507	8769	45582.3	42	152	4.25	3 + 0 part
GCF_015557505.1	460	460	275	160	39	8	4619110	4619110	4150061	3306239	1490877	503070	460	72700	4619110	42.06	15613	4978	21970.2	81	277	4.29	1 + 0 part
GCF_015557525.1	85	85	64	52	41	30	4592878	4592878	4541683	4455834	4294498	3896039	85	377344	4592878	41.88	129185	35511	151642.6	12	36	2.16	3 + 0 part
GCF_015558775.1	142	142	101	82	55	37	5112724	5112724	5014478	4868768	4412438	3721904	142	186471	5112724	42.48	86162	20739	88935.3	21	64	7.63	4 + 0 part
GCF_015559115.1	115	115	96	86	65	34	4639260	4639260	4604937	4530944	4134970	2967246	115	186530	4639260	42.02	67801	23694	75125.6	23	67	4.25	3 + 0 part
GCF_015559475.1	105	105	84	66	50	33	4873017	4873017	4821709	4689881	4434856	3801161	105	328852	4873017	42.05	107798	26187	125870.1	15	49	10.18	3 + 0 part
GCF_015559705.1	94	94	62	56	46	34	5219329	5219329	5146901	5101924	4930798	4474786	94	555277	5219329	42.43	139347	35779	174617.0	12	39	38.18	4 + 0 part
GCF_015559725.1	92	92	71	64	51	35	4842586	4842586	4786936	4739766	4511033	3913850	92	237887	4842586	42.06	96583	34020	117419.7	16	46	9.33	3 + 0 part
GCF_015561035.1	141	141	96	85	65	47	5689505	5689505	5589957	5514212	5158514	4485520	141	269187	5689505	42.72	82694	27063	98761.2	22	64	14.45	3 + 0 part
GCF_015561305.1	92	92	75	68	47	36	4962968	4962968	4919022	4865138	4547670	4148103	92	293225	4962968	42.23	111193	33612	122190.7	15	44	18.66	2 + 1 part
GCF_015667255.1	99	99	68	56	46	38	5291814	5291814	5228483	5146145	4965345	4675802	99	407172	5291814	42.48	138934	46434	152798.3	13	40	13.15	5 + 0 part
GCF_015667615.1	125	125	92	82	58	40	5391288	5391288	5315839	5241562	4828346	4174368	125	242669	5391288	42.47	90749	24293	104617.5	19	59	7.29	3 + 0 part
GCF_015667825.1	536	536	320	177	36	2	4978558	4978558	4368767	3346359	1206569	122486	536	71811	4978558	42.28	14855	4407	17628.6	106	344	0.00	2 + 1 part
GCF_015668105.1	97	97	69	60	46	37	5066084	5066084	4999176	4933738	4718559	4380430	97	292221	5066084	42.05	115318	42636	131958.6	14	41	13.42	4 + 0 part
GCF_015668525.1	534	534	295	172	41	6	5044012	5044012	4421906	3529097	1472902	368522	534	79381	5044012	42.00	16030	4499	20255.7	94	320	0.00	4 + 0 part
GCF_018289355.1	2	2	2	1	1	1	5306031	5306031	5306031	5298614	5298614	5298614	2	5298614	5306031	42.38	5298614	5298614	5291217.7	1	1	0.00	22 + 0 part
GCF_018492915.1	5	5	5	5	5	5	5658824	5658824	5658824	5658824	5658824	5658824	5	3000950	5658824	42.78	3000950	717489	1992845.7	1	4	0.00	24 + 0 part
GCF_018785805.1	255	132	102	92	66	36	5341009	5285462	5225721	5151213	4716234	3657761	132	202928	5285462	42.31	89443	23515	89561.7	22	68	11.86	1 + 2 part
GCF_018785835.1	232	143	98	81	56	36	4997371	4960995	4875026	4746903	4347015	3616091	143	269636	4960995	42.18	85947	19131	97832.4	19	62	16.93	3 + 1 part
GCF_019041415.1	248	165	107	86	53	41	5489325	5443569	5310360	5163338	4575255	4165118	165	229173	5443569	42.51	87938	18918	99685.4	20	69	0.00	2 + 0 part
GCF_019041435.1	252	167	108	86	54	41	5480937	5433835	5305895	5148992	4596619	4161352	167	229173	5433835	42.51	87938	18580	99682.0	20	68	0.00	3 + 1 part
GCF_019041475.1	143	109	89	75	51	35	4622539	4604851	4556100	4465510	4077677	3495512	109	259857	4604851	42.23	87836	21531	99018.6	18	54	0.00	3 + 1 part
GCF_019041515.1	254	166	107	89	55	40	5498148	5449537	5314104	5187804	4618649	4137272	166	320400	5449537	42.51	87938	18895	105213.0	19	69	0.00	4 + 0 part
GCF_019041535.1	184	140	102	79	51	39	5354974	5331749	5231830	5059406	4552837	4073115	140	237601	5331749	42.39	82523	21173	104089.2	19	62	0.00	2 + 1 part
GCF_019041605.1	243	163	105	87	54	40	5496305	5452123	5306045	5178316	4604656	4137871	163	321211	5452123	42.51	87938	18918	106883.7	19	69	0.00	2 + 1 part
GCF_019041655.1	241	158	100	81	52	39	5416577	5370144	5235351	5100420	4613400	4173773	158	320400	5370144	42.51	101772	18980	113913.3	17	63	0.00	7 + 0 part
GCF_019041715.1	251	169	106	83	54	41	5491817	5445607	5301726	5135937	4642297	4207284	169	320400	5445607	42.51	87938	18578	107291.9	19	67	0.00	3 + 1 part
GCF_019041755.1	232	153	102	84	57	40	5496515	5452529	5339828	5208703	4762965	4202054	153	407395	5452529	42.48	98161	19824	117211.7	18	64	0.00	3 + 1 part
GCF_019041765.1	254	168	110	87	54	41	5500183	5452655	5323750	5160737	4597784	4178082	168	229173	5452655	42.50	87938	17857	100256.1	20	70	0.00	3 + 1 part
GCF_019041815.1	254	167	107	86	55	41	5488120	5440417	5302524	5157780	4599213	4120170	167	229173	5440417	42.51	87938	18980	97406.7	20	69	0.00	3 + 1 part
GCF_019041855.1	243	161	109	85	54	41	5479380	5434564	5310912	5141482	4607825	4169480	161	229172	5434564	42.51	87938	18775	100003.4	20	68	0.00	4 + 0 part
GCF_019042015.1	215	153	94	79	60	36	5335520	5302224	5160699	5059000	4744288	3882877	153	478473	5302224	42.32	86901	23479	129600.6	18	62	0.00	3 + 0 part
GCF_019042075.1	125	96	74	62	51	38	4837999	4823324	4777714	4691408	4507802	4059949	96	339774	4823324	42.08	96712	33946	120633.0	16	45	0.00	3 + 0 part
GCF_019042195.1	154	98	76	64	50	35	5040743	5017664	4970106	4882732	4663462	4163237	98	360826	5017664	42.20	110126	29364	128637.5	15	45	0.00	4 + 0 part
GCF_019052755.1	295	198	137	117	69	38	5382286	5332393	5171810	5022193	4234659	3110624	198	164578	5332393	41.96	58639	14661	64294.3	30	99	0.00	4 + 0 part
GCF_019061335.1	110	97	81	69	51	30	4568200	4561958	4520605	4434157	4135628	3325730	97	283655	4561958	42.38	95716	28762	110386.6	15	50	0.00	3 + 0 part
GCF_019125635.1	173	145	106	88	55	31	4611900	4597437	4504016	4380855	3815635	3026864	145	259857	4597437	42.26	73636	18249	87671.1	20	71	0.00	3 + 1 part
GCF_019125675.1	141	111	88	75	52	35	4623717	4608200	4560369	4475961	4112549	3505209	111	259857	4608200	42.23	87836	21531	99464.3	18	54	0.00	4 + 0 part
GCF_019125895.1	205	170	123	93	57	33	4588018	4568473	4464400	4257320	3667043	2852678	170	177239	4568473	42.32	64891	13594	73581.0	23	81	0.00	3 + 1 part
GCF_019125935.1	145	114	89	75	51	35	4624178	4608558	4553299	4462812	4075730	3493518	114	259857	4608558	42.23	87836	21136	98826.2	18	55	0.00	4 + 0 part
GCF_019125945.1	143	114	89	75	51	35	4622470	4607883	4552998	4462435	4074492	3492326	114	259857	4607883	42.23	87836	21116	98790.8	18	55	0.00	4 + 0 part
GCF_019125995.1	147	115	90	76	52	36	4622762	4606964	4550633	4460062	4072258	3489924	115	216646	4606964	42.23	87836	21116	91643.9	19	56	0.00	2 + 1 part
GCF_019126015.1	156	122	92	79	52	34	4622827	4605710	4540448	4455684	4023275	3412563	122	259857	4605710	42.23	85286	19656	97285.7	18	58	0.00	3 + 0 part
GCF_019126025.1	143	115	89	75	51	35	4622681	4608604	4551820	4461168	4073247	3490868	115	259857	4608604	42.23	87836	21136	98701.9	18	55	0.00	4 + 0 part
