bacterial_species	ID	source	species	gtdb_taxonomy	host_species	host_order	host_class	isolation_source	host	host_summary	country	locality	completeness	contamination	genome_size	GC	N50	contigs	collection_date	ncbi_biosample	mag_name	eha_number	gtdb_representative	mimag_high_quality	mimag_medium_quality	common_name	sample_name	external_id	submitter_id	env_broad	env_medium	env_local	env_local_context	host_status	disease	diagnosis	latitude	longitude	accession	host_type	country_simple	country_normalized	continent	ID_clean	host_disease	host_age	country_grouped
bacteroides_uniformis	GCF_003460085.1	GTDB	NA	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	Homo sapiens	Primates	Mammalia	feces	Homo sapiens	NA	China: Shenzhen	NA	100	0.21	4957414	46.51477526945274	148719	NA	2013-11-01	SAMN09734330	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RS_GCF_003460085.1	human	China	China	Asia	GCF_003460085.1	NA	NA	China
bacteroides_uniformis	GCF_009020815.1	GTDB	NA	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	Homo sapiens	Primates	Mammalia	fecal material [ENVO:00002003]	Homo sapiens	NA	USA: Boston	NA	100	0.21	4918178	46.36304190821964	140587	NA	2015-04-01	SAMN11944032	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	bodily fluid material biome [ENVO:02000019]	fecal material [ENVO:00002003]	excreta material [ENVO:02000022]	NA	NA	NA	NA	NA	NA	RS_GCF_009020815.1	human	USA	United States	Americas	GCF_009020815.1	NA	NA	United States
bacteroides_uniformis	GCF_003468325.1	GTDB	NA	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	Homo sapiens	Primates	Mammalia	feces	Homo sapiens	NA	China: Shenzhen	NA	100	0.22	4425574	46.05414556501509	141682	NA	2013-12-01	SAMN09736495	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RS_GCF_003468325.1	human	China	China	Asia	GCF_003468325.1	NA	NA	China
bacteroides_uniformis	GCF_020558575.1	GTDB	NA	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	Homo sapiens	Primates	Mammalia	fecal sample	Homo sapiens	NA	USA: Chicago	NA	100	0.24	4849867	46.07006748844865	206985	NA	NA	SAMN22167526	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	not applicable	NA	NA	NA	NA	NA	NA	NA	NA	RS_GCF_020558575.1	human	USA	United States	Americas	GCF_020558575.1	NA	NA	United States
bacteroides_uniformis	GCF_009020315.1	GTDB	NA	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	Homo sapiens	Primates	Mammalia	fecal material [ENVO:00002003]	Homo sapiens	NA	USA: Boston	NA	100	0.25	4906995	46.40274303415037	271127	NA	2015-12-09	SAMN11944059	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	bodily fluid material biome [ENVO:02000019]	fecal material [ENVO:00002003]	excreta material [ENVO:02000022]	NA	NA	NA	NA	NA	NA	RS_GCF_009020315.1	human	USA	United States	Americas	GCF_009020315.1	NA	NA	United States
bacteroides_uniformis	GCF_009020155.1	GTDB	NA	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	Homo sapiens	Primates	Mammalia	fecal material [ENVO:00002003]	Homo sapiens	NA	USA: Boston	NA	100	0.26	4995965	46.33795126075584	271127	NA	2015-12-09	SAMN11944065	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	bodily fluid material biome [ENVO:02000019]	fecal material [ENVO:00002003]	excreta material [ENVO:02000022]	NA	NA	NA	NA	NA	NA	RS_GCF_009020155.1	human	USA	United States	Americas	GCF_009020155.1	NA	NA	United States
bacteroides_uniformis	GCF_027671165.1	GTDB	NA	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	Homo sapiens	Primates	Mammalia	fecal material [ENVO:00002003]	Homo sapiens	NA	China: Shenzhen	NA	100	0.26	4672098	46.18218002507685	231214	NA	2014-02-01	SAMN31809101	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	microbial community [PCO:1000004]	fecal material [ENVO:00002003]	fecal material [ENVO:00002003]	NA	NA	NA	NA	NA	NA	RS_GCF_027671165.1	human	China	China	Asia	GCF_027671165.1	NA	NA	China
citrobacter_braakii	EHM042977	EHI	s__Citrobacter braakii	NA	Podarcis liolepis	Squamata	Reptilia	host-associated	NA	NA	Spain	Catalunya	100	0.06	4628168	52	76921	99	NA	NA	EHA02875_bin.42.fa	EHA02875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	animal	Spain	Spain	Europe	EHM042977	NA	NA	Spain
citrobacter_braakii	GCF_030131705.1	GTDB	NA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter braakii	Homo sapiens	Primates	Mammalia	feces	Homo sapiens	NA	Ireland	NA	100	0.11	4901856	52.206388763766206	951793	54	2021	SAMN33657869	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RS_GCF_030131705.1	human	Ireland	Ireland	Europe	GCF_030131705.1	NA	NA	NA
citrobacter_braakii	EHM034508	EHI	s__Citrobacter braakii	NA	Lissotriton helveticus	Urodela	Amphibia	host-associated	NA	NA	Spain	Irun	100	0.15	4944607	52	95467	89	NA	NA	EHA02345_bin.1.fa	EHA02345	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	animal	Spain	Spain	Europe	EHM034508	NA	NA	Spain
citrobacter_braakii	EHM066268	EHI	s__Citrobacter braakii	NA	Plecotus auritus	Chiroptera	Mammalia	host-associated	NA	NA	Spain	León	100	0.16	4961447	52	363331	34	NA	NA	EHA04718_bin.4.fa	EHA04718	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	animal	Spain	Spain	Europe	EHM066268	NA	NA	Spain
citrobacter_braakii	EHM081080	EHI	s__Citrobacter braakii	NA	Chalcides striatus	Squamata	Reptilia	host-associated	NA	NA	Portugal	Arouca	100	0.17	5241026	52	191787	62	NA	NA	EHA05449_bin.8.fa	EHA05449	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	animal	Portugal	Portugal	Europe	EHM081080	NA	NA	Portugal
citrobacter_braakii	EHM082134	EHI	s__Citrobacter braakii	NA	Timon lepidus	Squamata	Reptilia	host-associated	NA	NA	Portugal	Arouca	100	0.28	5272071	52	452413	29	NA	NA	EHA05495_bin.11.fa	EHA05495	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	animal	Portugal	Portugal	Europe	EHM082134	NA	NA	Portugal
citrobacter_braakii	EHM036539	EHI	s__Citrobacter braakii	NA	Lissotriton helveticus	Urodela	Amphibia	host-associated	NA	NA	Spain	Irun	100	0.33	5061706	52	101425	92	NA	NA	EHA02398_bin.58.fa	EHA02398	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	animal	Spain	Spain	Europe	EHM036539	NA	NA	Spain
citrobacter_braakii	GCF_014230105.1	GTDB	NA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter braakii	Vulpes zerda	Carnivora	Mammalia	feces	Vulpes zerda	NA	China: Tianjin	NA	100	0.51	5297304	51.99367451820776	627142	216	2018-11-01	SAMN15770406	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RS_GCF_014230105.1	animal	China	China	Asia	GCF_014230105.1	NA	NA	China
citrobacter_braakii	GCF_030357945.1	GTDB	NA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter braakii	Homo sapiens	Primates	Mammalia	feces	Homo sapiens	NA	Japan	NA	100	0.54	4959775	52.197629932809456	156118	227	2014	SAMN35654568	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RS_GCF_030357945.1	human	Japan	Japan	Asia	GCF_030357945.1	NA	NA	Japan
citrobacter_braakii	GCF_018138525.1	GTDB	NA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter braakii	Homo sapiens	Primates	Mammalia	feces	Homo sapiens	NA	Russia: Moscow region	NA	100	0.74	5142092	51.92791183043789	120908	108	2019-04-19	SAMN18437201	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RS_GCF_018138525.1	human	Russia	Russia	Europe	GCF_018138525.1	NA	NA	NA
enterococcus_faecalis	GCF_027690295.1	GTDB	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	Homo sapiens	Primates	Mammalia	fecal material [ENVO:00002003]	Homo sapiens	NA	China: Shenzhen	NA	100	0.03	2829318	37.56493660264843	1469965	20	2014-02-01	SAMN31809840	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	microbial community [PCO:1000004]	fecal material [ENVO:00002003]	fecal material [ENVO:00002003]	NA	NA	NA	NA	NA	NA	RS_GCF_027690295.1	human	China	China	Asia	GCF_027690295.1	NA	NA	China
enterococcus_faecalis	GCF_027690315.1	GTDB	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	Homo sapiens	Primates	Mammalia	fecal material [ENVO:00002003]	Homo sapiens	NA	China: Shenzhen	NA	100	0.03	2829198	37.56007108853973	232725	25	2014-02-01	SAMN31809836	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	microbial community [PCO:1000004]	fecal material [ENVO:00002003]	fecal material [ENVO:00002003]	NA	NA	NA	NA	NA	NA	RS_GCF_027690315.1	human	China	China	Asia	GCF_027690315.1	NA	NA	China
enterococcus_faecalis	GCF_027690375.1	GTDB	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	Homo sapiens	Primates	Mammalia	fecal material [ENVO:00002003]	Homo sapiens	NA	China: Shenzhen	NA	100	0.03	2825875	37.555253970978285	1450887	29	2014-02-01	SAMN31809833	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	microbial community [PCO:1000004]	fecal material [ENVO:00002003]	fecal material [ENVO:00002003]	NA	NA	NA	NA	NA	NA	RS_GCF_027690375.1	human	China	China	Asia	GCF_027690375.1	NA	NA	China
enterococcus_faecalis	GCF_027690955.1	GTDB	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	Homo sapiens	Primates	Mammalia	fecal material [ENVO:00002003]	Homo sapiens	NA	China: Shenzhen	NA	100	0.03	2827454	37.55758054202106	380834	30	2014-02-01	SAMN31809832	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	microbial community [PCO:1000004]	fecal material [ENVO:00002003]	fecal material [ENVO:00002003]	NA	NA	NA	NA	NA	NA	RS_GCF_027690955.1	human	China	China	Asia	GCF_027690955.1	NA	NA	China
enterococcus_faecalis	GCF_030405205.1	GTDB	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	Ciconia ciconia	Ciconiiformes	Aves	feces	Ciconia ciconia	NA	Poland	NA	100	0.03	2827465	37.63049233147006	321540	76	2020	SAMN33575959	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RS_GCF_030405205.1	animal	Poland	Poland	Europe	GCF_030405205.1	NA	NA	Poland
enterococcus_faecalis	GCF_020783075.1	GTDB	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	Rhinolophus capensis	Chiroptera	Mammalia	feces	Rhinolophus capensis	NA	South Africa: Northwest of Grahamstown	NA	100	0.05	3267333	37.01263385152355	68684	144	2019-04	SAMN22307044	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RS_GCF_020783075.1	animal	South Africa	South Africa	Africa	GCF_020783075.1	NA	NA	NA
enterococcus_faecalis	GCF_027678445.1	GTDB	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	Homo sapiens	Primates	Mammalia	fecal material [ENVO:00002003]	Homo sapiens	NA	China: Shenzhen	NA	100	0.05	2815158	37.5300099257452	218324	41	2014-02-01	SAMN31809387	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	microbial community [PCO:1000004]	fecal material [ENVO:00002003]	fecal material [ENVO:00002003]	NA	NA	NA	NA	NA	NA	RS_GCF_027678445.1	human	China	China	Asia	GCF_027678445.1	NA	NA	China
enterococcus_faecalis	GCF_002141395.1	GTDB	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	Corallus caninus	Squamata	Reptilia	feces	Corallus caninus	NA	Netherlands: Utrecht	NA	100	0.06	2953354	37.60545819179536	434022	19	unknown	SAMN04634022	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RS_GCF_002141395.1	animal	Netherlands	Netherlands	Europe	GCF_002141395.1	missing	missing	Netherlands
enterococcus_faecalis	GCF_014243495.1	GTDB	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	Spheniscus magellanicus	Sphenisciformes	Aves	feces	Spheniscus magellanicus (Magellanic Penguin)	NA	Brazil: Cidreira	NA	100	0.06	2742168	37.57292741720792	530379	12	2013-10-14	SAMN10983398	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RS_GCF_014243495.1	animal	Brazil	Brazil	Americas	GCF_014243495.1	NA	NA	Brazil
enterococcus_faecalis	GCF_027672675.1	GTDB	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	Homo sapiens	Primates	Mammalia	fecal material [ENVO:00002003]	Homo sapiens	NA	China: Shenzhen	NA	100	0.06	2813407	37.40746296563555	231641	50	2014-02-01	SAMN31809028	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	microbial community [PCO:1000004]	fecal material [ENVO:00002003]	fecal material [ENVO:00002003]	NA	NA	NA	NA	NA	NA	RS_GCF_027672675.1	human	China	China	Asia	GCF_027672675.1	NA	NA	China
enterococcus_hirae	EHM042775	EHI	s__Enterococcus_B hirae	NA	Apodemus sylvaticus	Rodentia	Mammalia	host-associated	NA	NA	NA	NA	100	0.12	2716568	36	152864	37	NA	NA	EHA02748_bin.94.fa	EHA02748	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	animal	NA	None	NA	EHM042775	NA	NA	None
enterococcus_hirae	EHM028451	EHI	s__Enterococcus_B hirae	NA	Apodemus sylvaticus	Rodentia	Mammalia	host-associated	NA	NA	NA	NA	100	0.13	2718048	36	143989	40	NA	NA	EHA01270_bin.16.fa	EHA01270	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	animal	NA	None	NA	EHM028451	NA	NA	None
enterococcus_hirae	EHM030672	EHI	s__Enterococcus_B hirae	NA	Canis lupus	Carnivora	Mammalia	host-associated	NA	NA	NA	NA	100	0.18	2862920	37	160051	41	NA	NA	EHA01904_bin.9.fa	EHA01904	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	animal	NA	None	NA	EHM030672	NA	NA	None
enterococcus_hirae	EHM073018	EHI	s__Enterococcus_B hirae	NA	Podarcis muralis	Squamata	Reptilia	host-associated	NA	NA	NA	NA	100	0.45	3608305	37	67690	310	NA	NA	EHA05014_bin.275.fa	EHA05014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	animal	NA	None	NA	EHM073018	NA	NA	None
enterococcus_hirae	EHM042200	EHI	s__Enterococcus_B hirae	NA	Mops thersites	Chiroptera	Mammalia	host-associated	NA	NA	NA	NA	100	0.46	3035989	36	84928	92	NA	NA	EHA02805_bin.2.fa	EHA02805	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	animal	NA	None	NA	EHM042200	NA	NA	None
enterococcus_hirae	EHM043802	EHI	s__Enterococcus_B hirae	NA	Podarcis muralis	Squamata	Reptilia	host-associated	NA	NA	NA	NA	100	0.7	2834520	37	98937	49	NA	NA	EHA02910_bin.45.fa	EHA02910	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	animal	NA	None	NA	EHM043802	NA	NA	None
